region;sppName;latinName;RFMO;RFMO_Stock_ID;X3A_CODE;FIDES_AREA;area;areaBis;TAC area description;Comments;;
Baltic Sea;European Eel;Anguilla anguilla;ICES;;ELE;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;;;
Baltic Sea;Herring;Clupea harengus;ICES;;HER;3BC+24;22-24;27_3_C_22,27_3_B_23,27_3_D_24;;;;
Baltic Sea;Herring;Clupea harengus;ICES;;HER;3D-R30;25-27, 28.2, 29, 32;27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28_2,27_3_D_29,27_3_D_32;;;;
Baltic Sea;Herring;Clupea harengus;ICES;;HER;03D.RG;28.1;27_3_D_28_1;;;;
Baltic Sea;Herring;Clupea harengus;ICES;;HER;30/31.;30-31;27_3_D_30,27_3_D_31;;;;
Baltic Sea;Vendace;Coregonus albula;ICES;;FVE;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;;;
Baltic Sea;Common Whitefish/houting;Coregonus lavaretus;ICES;;PLN;No TAC;3d;27_3_D;;;;
Baltic Sea;Cod;Gadus morhua;ICES;;COD;3BC+24;22-24;27_3_C_22, 27_3_B_23,27_3_D_24;IIIb)c)d) (1) - Sub Divisions 22 to 24;;;
Baltic Sea;Cod;Gadus morhua;ICES;;COD;3DX32.;25-32;27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30, 27_3_D_31,27_3_D_32;IIId) (1) - Sub Divisions 25-32;;;
Baltic Sea;Dab;Limanda limanda;ICES;;DAB;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24, 27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;;;
Baltic Sea;Perch;Perca fluviatilis;ICES;;FPE;No TAC;3d;27_3_D;;;;
Baltic Sea;Flounder;Platichthys flesus;ICES;;FLE;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;;;
Baltic Sea;Plaice;Pleuronectes platessa;ICES;;PLE;3BCD-C;21-23;27_3_A_21,27_3_C_22,27_3_B_23;;;;
Baltic Sea;Plaice;Pleuronectes platessa;ICES;;PLE;3BCD-C;24-32;27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;;;
Baltic Sea;Salmon;Salmo salar;ICES;;SAL;3BCD-F;22-31;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31;;;;
Baltic Sea;Salmon;Salmo salar;ICES;;SAL;3D32.;32;27_3_D_32;;;;
Baltic Sea;Sea trout;Salmo trutta;ICES;;TRS;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;;;
Baltic Sea;Pike-perch;Sander lucioperca;ICES;;FPP;No TAC;3d;27_3_D;;;;
Baltic Sea;Turbot;Scophtalmus maximus;ICES;;TUR;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;;;
Baltic Sea;Brill;Scophthalmus rhombus;ICES;;BLL;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;;;
Baltic Sea;Sole;Solea solea;ICES;;SOL;No TAC;20-24;27_3_A_20,27_3_A_21,27_3_C_22,27_3_B_23,27_3_D_24;;;;
Baltic Sea;Sprat;Sprattus sprattus;ICES;;SPR;3BCD-C;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;To be checked;;
North Sea and Eastern Arctic;European Eel;Anguilla anguilla;ICES;;ELE;No TAC;1, 2;27_1,27_2;;;;
North Sea and Eastern Arctic;Greater silver smelt;Argentina silus;ICES;;ARU;1/2.;1, 2, 5a, 14;27_1,27_2,27_5_A,27_14;;;;
North Sea and Eastern Arctic;Tusk;Brosme brosme;ICES;;USK;1214EI;1, 2;27_1,27_2;EC and International Waters of I-II and XIV;;;
North Sea and Eastern Arctic;Herring;Clupea harengus;ICES;;HER;1/2-;1, 2;27_1,27_2;;;;
North Sea and Eastern Arctic;Cod;Gadus morhua;ICES;;COD;1/2B.;1, 2;27_1,27_2;I-IIb);;;
North Sea and Eastern Arctic;Tope;Galeorhinus galeus;ICES;;GAG;No TAC;1, 2;27_1,27_2;;;;
North Sea and Eastern Arctic;American plaice;Hippoglossoides platessoides;ICES;;PLA;No TAC;1, 2;27_1,27_2;;;;
North Sea and Eastern Arctic;Capelin;Mallotus villosus;ICES;;CAP;02B.;1, 2;27_1,27_2;ICES division IIb - Spitzbergen and Bear Island;;;
North Sea and Eastern Arctic;Haddock;Melanogrammus aeglefinus;ICES;;HAD;1N2AB.;1, 2;27_1,27_2;I-II (Norwegian waters);;;
North Sea and Eastern Arctic;Blue whiting;Micromesistius poutassou;ICES;;WHB;1X14;1, 2;27_1,27_2;;;;
North Sea and Eastern Arctic;Blue ling;Molva dypterygia;ICES;;BLI;24-;2;27_2;;;;
North Sea and Eastern Arctic;Ling;Molva molva;ICES;;LIN;1/2.;1, 2;27_1,27_2;;;;
North Sea and Eastern Arctic;Smooth-hound;Mustelus spp.;ICES;;SKH;;1, 2, 14;27_1,27_2,27_14;;;;
North Sea and Eastern Arctic;Northern shrimp;Pandalus borealis;ICES;;PRA;2AC4-C;1, 2;27_1,27_2;EC waters of IIa) and IV;;;
North Sea and Eastern Arctic;Saithe;Pollachius virens;ICES;;POK;1/2INT,1N2AB.;1, 2;27_1,27_2;I-II (International waters);;;
North Sea and Eastern Arctic;Greenland halibut;Reinhardtius hippoglossoides;ICES;;GHL;1/2INT;1, 2;27_1,27_2;I-II (International waters);;;
North Sea and Eastern Arctic;Salmon;Salmo salar;ICES;;SAL;No TAC;1, 2;27_1,27_2;;;;
North Sea and Eastern Arctic;Sea trout;Salmo trutta;ICES;;TRS;;1, 2;27_1,27_2;;;;
North Sea and Eastern Arctic;Mackerel;Scomber scombrus;ICES;;MAC;2A34.;2;27_2;IIa;;;
North Sea and Eastern Arctic;Beaked redfish;Sebastes mentella;ICES;;REB;1N2AB.;1, 2;27_1,27_2;;;;
North Sea and Eastern Arctic;Golden Redfish;Sebastes norvegicus;ICES;;REG;XXX;1, 2;27_1,27_2;NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures;;;
North Sea and Eastern Arctic;Picked dogfish;Squalus acanthias;ICES;;DGS;15X14;all areas;27_4,27_7_D;;;;
North Sea and Eastern Arctic;Horse mackerel;Trachurus trachurus;ICES;;JAX;2A-14;2a;27_2_A;NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures;;;
North Sea and Eastern Arctic;Sand eel;Ammodytidae;ICES;;SAN;2A3A4.;3a, 4;27_3_A,27_4;IIIa,   EC waters of IIa and IV;;;
North Sea and Eastern Arctic;Catfish;Anarhichas spp;ICES;;CAT;No TAC;4;27_4;;;;
North Sea and Eastern Arctic;European Eel;Anguilla anguilla;ICES;;ELE;No TAC;3a, 4, 7d;27_3_A,27_4,27_7_D;;;;
North Sea and Eastern Arctic;Greater silver smelt;Argentina silus;ICES;;ARU;3A4-C;3a, 4;27_3_A,27_4;;;;
North Sea and Eastern Arctic;Argentine;Argentina spp;ICES;;ARU;3A4-C;4;27_4;;;;
North Sea and Eastern Arctic;Red gurnard;Aspitrigla cuculus;ICES;;GUR;No TAC;3a;27_3_A;;;;
North Sea and Eastern Arctic;Tusk;Brosme brosme;ICES;;USK;03A.,04-C.,04-N.;3a, 4;27_3_A,27_4;EU waters of IV;;;
North Sea and Eastern Arctic;Herring;Clupea harengus;ICES;;HER;03A.,03A-BC,2A47DX,4AB.;3a, 4, 7d;27_3_A,27_4,27_7_D;;;;
North Sea and Eastern Arctic;Roundnose grenadier;Coryphaenoides rupestris;ICES;;RNG;03-;3a;27_3_A;EU and international waters of III;;;
North Sea and Eastern Arctic;Common Shrimp;Crangon crangon;ICES;;CSH;No TAC;4, 7d;27_4,27_7_D;;;;
North Sea and Eastern Arctic;Sea bass;Dicentrarchus labrax;ICES;;BSS;No TAC;4, 7d;27_4,27_7_D;;;;
North Sea and Eastern Arctic;Grey gurnard;Eutrigla gurnardus;ICES;;GUG;No TAC;3a, 4, 7d;27_3_A,27_4,27_7_D;;;;
North Sea and Eastern Arctic;Cod;Gadus morhua;ICES;;COD;03AN.;3aN;27_3_A-4_AB_NK;Skagerrak (Division IIIa);;;
North Sea and Eastern Arctic;Cod;Gadus morhua;ICES;;COD;03AS.;3aS;27_3_A;Kattegat (Division IIIa);;;
North Sea and Eastern Arctic;Cod;Gadus morhua;ICES;;COD;2A3AX4,07D.;4, 7d;27_4,27_7_D;IV,   EC waters of Iia,   that part of IIIa not covered by the Skagerrak and the Kattegat, ICES division VIId - Eastern Channel;;;
North Sea and Eastern Arctic;Tope;Galeorhinus galeus;ICES;;GAG;No TAC;3a, 4, 7d;27_3_A,27_4,27_7_D;;;;
North Sea and Eastern Arctic;Witch flounder;Glyptocephalus cynoglossus;ICES;;WIT;No TAC;3a, 4;27_3_A,27_4;;;;
North Sea and Eastern Arctic;Blue-mouth rockfish;Helicolenus dactylopterus;ICES;;BRF;No TAC;4;27_4;;;;
North Sea and Eastern Arctic;Four-spot megrim;Lepidorhombus boscii;ICES;;LEZ,LDB;2AC4-C;4, 7d;27_4,27_7_D;EC waters of IIa) and IV;;;
North Sea and Eastern Arctic;Megrim;Lepidorhombus whiffiagonis;ICES;;LEZ,MEG;2AC4-C;4, 7d;27_4,27_7_D;EC waters of IIa) and IV;;;
North Sea and Eastern Arctic;Cuckoo ray;Leucoraja naevus;ICES;;RJN;03A-C.,2AC4-C;3a, 4;27_3_A,27_4;;;;
North Sea and Eastern Arctic;Dab;Limanda limanda;ICES;;DAB;2AC4-C;3a, 4, 7d;27_3_A,27_4,27_7_D;;;;
North Sea and Eastern Arctic;Black-bellied angler;Lophius budegassa;ICES;;ANF,MNZ;No TAC;3a, 4, 7d;27_3_A,27_4,27_7_D;;;;
North Sea and Eastern Arctic;Anglerfish;Lophius piscatorius;ICES;;MON,MNZ;2AC4-C,*2AC4-C,04-N.;3a, 4, 7d;27_3_A,27_4,27_7_D;;;;
North Sea and Eastern Arctic;Roughhead grenadier;Macrourus berglax;ICES;;RHG;;4;27_4;EU and international waters of I-II and IV;;;
North Sea and Eastern Arctic;Haddock;Melanogrammus aeglefinus;ICES;;HAD;03A.,04-N.,*04N-;3a, 4;27_3_A,27_4;IIIa) and EU waters of IIIbcd;;;
North Sea and Eastern Arctic;Whiting;Merlangius merlangus;ICES;;WHG;03A.,2AC4.;3a, 4, 7d;27_3_A,27_4,27_7_D;;;;
North Sea and Eastern Arctic;Hake;Merluccius merluccius;ICES;;HKE;2AC4-C,3A.;3a, 4, 7d;27_3_A,27_4,27_7_D;EC waters of IIa) and IV;;;
North Sea and Eastern Arctic;Blue whiting;Micromesistius poutassou;ICES;;WHB;1X14;3a, 4, 7d;27_3_A,27_4,27_7_D;;;;
North Sea and Eastern Arctic;Lemon sole;Microstomus kitt;ICES;;LEM;2AC4-C;4, 7d;27_4,27_7_D;EC waters of IIa) and IV;;;
North Sea and Eastern Arctic;Blue ling;Molva dypterygia;ICES;;BLI;03A-,*24X7C;3a, 4;27_3_A,27_4;EU and international waters of II and IV;;;
North Sea and Eastern Arctic;Ling;Molva molva;ICES;;LIN;03A-C.,04-C.,04-N.;3a, 4;27_3_A,27_4;EU waters of IV;;;
North Sea and Eastern Arctic;Red mullet;Mullus barbatus;ICES;;MUT;No TAC;4, 7d;27_4,27_7_D;;;;
North Sea and Eastern Arctic;Striped red mullet;Mullus surmuletus;ICES;;MUR;No TAC;4, 7d;27_4,27_7_D;;;;
North Sea and Eastern Arctic;Smooth-hound;Mustelus spp.;ICES;;SKH;;3a, 4, 7d;27_3_A,27_4,27_7_D;;;;
North Sea and Eastern Arctic;Norway lobster;Nephrops norvegicus;ICES;;NEP;03A.,04-N.2AC4-C;3a, 4 and 2a Union waters;27_2_A,27_3_A,27_4;IIIa) and EU waters of IIIbcd;;;
North Sea and Eastern Arctic;Northern shrimp;Pandalus borealis;ICES;;PRA;03A.,04-N.;3a, 4 and 2a Union waters;27_3_A,27_4,27_2_A;IIIa);;;
North Sea and Eastern Arctic;Northern shrimp;Pandalus borealis;ICES;;PRA;2AC4-C;4 Norwegian waters south of 62N;27_4;EC waters of IIa) and IV;;;
North Sea and Eastern Arctic;Common scallop;Pecten maximus;ICES;;SCE;No TAC;4, 7d;27_4,27_7_D;;;;
North Sea and Eastern Arctic;Greater Forkbeard;Phycis blennoides;ICES;;GFB;-1234;4;27_4;EU and international waters of I-II,  III and IV;;;
North Sea and Eastern Arctic;Forkbeard;Phycis phycis;ICES;;FOR;No TAC;4;27_4;;;;
