"region";"sppName";"latinName";"RFMO";"RFMO_Stock_ID";"X3A_CODE";"FIDES_AREA";"area";"areaBis";"TAC.area.description";"Comments";"areaRDB";"latinNameASFIS";"TAXOCODE";"latinNameJoin"
"Baltic Sea";"European Eel";"Anguilla anguilla";"ICES";NA;"ELE";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"Anguilla anguilla";"1430200201";"Anguilla anguilla"
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"3BC+24";"22-24";"27_3_C_22,27_3_B_23,27_3_D_24";"";"";"27.3.c.22,27.3.b.23,27.3.d.24";"Clupea harengus";"1210500105";"Clupea harengus"
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"3D-R30";"25-27, 28.2, 29, 32";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28_2,27_3_D_29,27_3_D_32";"";"";"27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28.2,27.3.d.29,27.3.d.32";"Clupea harengus";"1210500105";"Clupea harengus"
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"03D.RG";"28.1";"27_3_D_28_1";"";"";"27.3.d.28.1";"Clupea harengus";"1210500105";"Clupea harengus"
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"30/31.";"30-31";"27_3_D_30,27_3_D_31";"";"";"27.3.d.30,27.3.d.31";"Clupea harengus";"1210500105";"Clupea harengus"
"Baltic Sea";"Vendace";"Coregonus albula";"ICES";NA;"FVE";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"Coregonus albula";"1231200101";"Coregonus albula"
"Baltic Sea";"Common Whitefish/houting";"Coregonus lavaretus";"ICES";NA;"PLN";"No TAC";"3d";"27_3_D";"";"";"27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"Coregonus lavaretus";"1231200102";"Coregonus lavaretus"
"Baltic Sea";"Cod";"Gadus morhua";"ICES";NA;"COD";"3BC+24";"22-24";"27_3_C_22,27_3_B_23,27_3_D_24";"IIIb)c)d) (1) - Sub Divisions 22 to 24";"";"27.3.c.22,27.3.b.23,27.3.d.24";"Gadus morhua";"1480400202";"Gadus morhua"
"Baltic Sea";"Cod";"Gadus morhua";"ICES";NA;"COD";"3DX32.";"25-32";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"IIId) (1) - Sub Divisions 25-32";"";"27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"Gadus morhua";"1480400202";"Gadus morhua"
"Baltic Sea";"Dab";"Limanda limanda";"ICES";NA;"DAB";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"Limanda limanda";"1830202405";"Limanda limanda"
