year_seq	year	geo	IIIaN	IIIaS
3	2016	SE	0.849006623	0.150993377
2	2017	SE	0.868012422	0.131987578
1	2018	SE	0.94751773	0.05248227
3	2016	DK	0.952331873	0.047668127
2	2017	DK	0.946267114	0.053732886
1	2018	DK	0.960182025	0.039817975
3	2016	DE	1	0
2	2017	DE	1	0
1	2018	DE	1	0
3	2016	NL	1	0
2	2017	NL	1	0
1	2018	NL	1	0
3	2016	FR	1	0
2	2017	FR	1	0
1	2018	FR	1	0
