year	year_seq	geo	IIIaN	IIIaS
2017	1	DE	63	0
2017	1	DK	3663	208
2017	1	FR	0	0
2017	1	NL	37	0
2017	1	SE	559	85
2016	2	DE	94	0
2016	2	DK	3695	185
2016	2	FR	0	0
2016	2	NL	25	0
2016	2	SE	643	114
2015	3	DE	69	0
2015	3	DK	3024.587063	61.41293683
2015	3	FR	0	0
2015	3	NL	28	0
2015	3	SE	526.2801302	34.71986981
2014	4	DE	84	0
2014	4	DK	3427.170941	74.82905854
2014	4	FR	0	0
2014	4	NL	28	0
2014	4	SE	570.0000001	31.99999989
2013	5	DE	87	0
2013	5	DK	3345.833227	66.16677326
2013	5	FR	0	0
2013	5	NL	25.6	0
2013	5	SE	574.0545812	34.72541876
