species,fishreg,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
AES,21,TLW,EE	: 	: 	: 	: 	: 	: 	: 	857.598 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,21,TLW,EU28	: 	: 	: 	: 	: 	: 	: 	857.598 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,21_0,TLW,EE	: 	: 	: 	: 	: 	: 	: 	857.598 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,21_0,TLW,EU28	: 	: 	: 	: 	: 	: 	: 	857.598 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,21_0_B,TLW,EE	: 	: 	: 	: 	: 	: 	: 	857.598 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,21_0_B,TLW,EU28	: 	: 	: 	: 	: 	: 	: 	857.598 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,21,TLW,ES	: 	0.29 	0.1006 	1.12 	1.94 	0.74 	0.38 	0.1 	0.22 	: 	1.71 	: 	0.63 	0 	: 	: 	: 	: 	: 
ALB,21,TLW,EU28	: 	0.29 	0.1006 	1.12 	1.94 	0.74 	0.38 	2.2 	0.22 	: 	1.71 	: 	0.63 	0 	: 	: 	: 	: 	: 
ALB,21,TLW,PT	: 	: 	: 	: 	: 	: 	: 	2.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,21_3,TLW,ES	: 	0.05 	0.0615 	0.46 	0.28 	0.27 	0.25 	0.06 	0.17 	: 	0.41 	: 	0.01 	0 	: 	: 	: 	: 	: 
ALB,21_3,TLW,EU28	: 	0.05 	0.0615 	0.46 	0.28 	0.27 	0.25 	1.76 	0.17 	: 	0.41 	: 	0.01 	0 	: 	: 	: 	: 	: 
ALB,21_3,TLW,PT	: 	: 	: 	: 	: 	: 	: 	1.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,21_3_M,TLW,ES	: 	0.05 	0.0615 	0.41 	0.22 	0.24 	0.25 	0.03 	0.01 	: 	0.4 	: 	0.01 	0 	: 	: 	: 	: 	: 
ALB,21_3_M,TLW,EU28	: 	0.05 	0.0615 	0.41 	0.22 	0.24 	0.25 	1.73 	0.01 	: 	0.4 	: 	0.01 	0 	: 	: 	: 	: 	: 
ALB,21_3_M,TLW,PT	: 	: 	: 	: 	: 	: 	: 	1.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,21_3_N,TLW,ES	: 	: 	: 	0.05 	0.06 	0.01 	: 	0.03 	0.16 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,21_3_N,TLW,EU28	: 	: 	: 	0.05 	0.06 	0.01 	: 	0.03 	0.16 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,21_3_O,TLW,ES	: 	: 	: 	: 	: 	0.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,21_3_O,TLW,EU28	: 	: 	: 	: 	: 	0.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,21_4,TLW,ES	: 	0.01 	0.0221 	: 	0.02 	0.03 	: 	: 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 
ALB,21_4,TLW,EU28	: 	0.01 	0.0221 	: 	0.02 	0.03 	: 	: 	: 	: 	: 	: 	0.3 	0 	: 	: 	: 	: 	: 
ALB,21_4_S,TLW,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2 	0 	: 	: 	: 	: 	: 
ALB,21_4_S,TLW,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2 	0 	: 	: 	: 	: 	: 
ALB,21_4_V,TLW,ES	: 	0.01 	0.0221 	: 	0.02 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,21_4_V,TLW,EU28	: 	0.01 	0.0221 	: 	0.02 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
