Species;Area;RefYears;Croatia;Cyprus ;France;Greece;Italy;Malta;Slovenia;Spain;Romania;Bulgaria;Total average landings (t)
Trachurus spp.;All areas in the Med;2013-2015;317.5;2.8;295;315.8;2738.2;34.4;3.1;5601.1;0;0;9307.8
Chelidonichthys lucerna;1.3, 2.2, 3.1;2013-2015;0;0;6.9;0;206.4;0.3;0;0;0;0;213.6
Veneridae;2.1, 2.2;2013-2015;101.4;0;0.9;0;9.7;0;0.2;20.3;0;0;132.4
Aphia minuta;GSA 9,10,16 and 19;2013-2015;0;0;0;0;23;0;0;27.7;0;0;50.7
Atherina spp;GSA 9,10,16 and 19;2013-2015;0;0;0;0;34;0;0;80.7;0;0;114.8
Trisopterus minutus;All areas in the Med;2013-2015;0;0;500;0;458.3;0;0;830.7;0;0;1789
Selachii, Rajidae;All areas in the Med;2013-2015;188.8;9.4;136.1;294.9;1056.7;66.3;2.5;861.4;772;0;3388.2
Alopias vulpinus;All areas in the Med;2013-2015;;0;0.6;;8.3;0;0;0;0;0;9
Carcharhinidae;All areas in the Med;2013-2015;;0;0;;0;0;0;1.1;0;0;1.1
Centrophorus granulosus;All areas in the Med;2013-2015;;0;0;;0;0.4;0;1.4;0;0;1.8
Centrophorus squamosus;All areas in the Med;2013-2015;;0;0;;0;0;0;0.3;0;0;0.3
Centrophorus uyato;All areas in the Med;2013-2015;;0;0;;0;0.1;0;0;0;0;0.1
Cetorhinus maximus;All areas in the Med;2013-2015;;0;0;;0;0;0;0.2;0;0;0.2
Dalatias licha;All areas in the Med;2013-2015;;0;0.1;;0;0;0;5.1;0;0;5.3
Dasyatidae;All areas in the Med;2013-2015;;0;0;;5.1;0;0;0;0;0;5.1
Dasyatis pastinaca;All areas in the Med;2013-2015;;5.1;0.2;197.2;0;0;0;0;0.7;0;203.3
Elasmobranchii;All areas in the Med;2013-2015;;0;0;;0;0;0;1.3;0;0;1.3
Etmopterus spinax;All areas in the Med;2013-2015;;0;0;;0;0;0;0.1;0;0;0.1
Galeorhinus galeus;All areas in the Med;2013-2015;;0;0.3;;0;0;0;29.7;0;0;30
Galeus melastomus;All areas in the Med;2013-2015;;0;0.1;;0;0;0;103.7;0;0;103.8
Galeus spp.;All areas in the Med;2013-2015;;0;0;;0;0;0;0;0;0;0
Heptranchias perlo;All areas in the Med;2013-2015;;0;0;;5.2;0.1;0;2.7;0;0;8
Hexanchus griseus;All areas in the Med;2013-2015;;0;0.8;6.2;0.3;4.1;0;1.1;0;0;12.6
Isurus oxyrinchus;All areas in the Med;2013-2015;;0;0;;0;0;0;2.6;0;0;2.6
Lamna nasus;All areas in the Med;2013-2015;;0;0;;0.9;0;0;0;0;0;0.9
Mustelus asterias;All areas in the Med;2013-2015;;0;0;;0;0;0;0;0;0;0
Mustelus mustelus;All areas in the Med;2013-2015;;0;0.2;;0;5.3;1.6;31.5;0;0;38.6
Mustelus spp.;All areas in the Med;2013-2015;;0;0.4;;0;0;0;4.2;0;0;4.6
Myliobatis aquila;All areas in the Med;2013-2015;;0;0.1;17.9;0;0;0.2;13;0;0;31.1
Oxynotus centrina;All areas in the Med;2013-2015;;0;0;;0;0;0;0.8;0;0;0.8
Prionace glauca;All areas in the Med;2013-2015;;0.4;3.4;;92.7;2.6;0;50.4;0;0;149.5
Raja alba;All areas in the Med;2013-2015;;0;3.5;;61.6;0.8;0;0;0;0;65.9
Raja asterias;All areas in the Med;2013-2015;;0;13.3;5.6;155.2;0;0.3;6.2;0;0;180.6
Raja batis;All areas in the Med;2013-2015;;0;0;;0;0;0;0;0;0;0
Raja brachyura;All areas in the Med;2013-2015;;0;0.2;1.6;0;0.1;0;0;0;0;1.9
Raja circularis;All areas in the Med;2013-2015;;0;0;;0;0.1;0;0;0;0;0.1
Raja clavata;All areas in the Med;2013-2015;;0;24.2;1.8;418.4;14.3;0.3;62.9;79.8;0;601.7
Raja fullonica;All areas in the Med;2013-2015;;0;0;;0;0;0;0;0;0;0
Raja melitensis;All areas in the Med;2013-2015;;0;0;;0;0.2;0;0;0;0;0.2
Raja microocellata;All areas in the Med;2013-2015;;0;1.3;;0;0;0;0;0;0;1.3
Raja miraletus;All areas in the Med;2013-2015;;0;0;0.1;41.9;1.8;0;0;0;0;43.8
Raja montagui;All areas in the Med;2013-2015;;0;34;;31.2;2.2;0;0;0;0;67.3
Raja naevus;All areas in the Med;2013-2015;;0;5.6;;0;0;0;0;0;0;5.6
Raja oxyrinchus;All areas in the Med;2013-2015;;0;5.9;0.3;0;0.4;0;0;0;0;6.6
Raja polystigma;All areas in the Med;2013-2015;;0;0;;0;0.9;0;0;0;0;0.9
Raja radula;All areas in the Med;2013-2015;;0;0;;0;0.5;0;0;0;0;0.5
Raja spp.;All areas in the Med;2013-2015;;3.3;0;;0;5.7;0;34.6;0;0;43.5
Raja undulata;All areas in the Med;2013-2015;;0;0.5;;0;0;0;0;0;0;0.5
Rajidae;All areas in the Med;2013-2015;;0;7.9;;0;0;0;192.8;0;0;200.6
Scyliorhinus canicula;All areas in the Med;2013-2015;;0;30.3;58.7;153.8;0.6;0;295.8;0;0;539.2
Scyliorhinus spp.;All areas in the Med;2013-2015;;0;0.6;;0;0;0;0;0;0;0.6
Scyliorhinus stellaris;All areas in the Med;2013-2015;;0;0;;0.8;0.1;0;0;0;0;0.9
Sphyrna spp.;All areas in the Med;2013-2015;;0;0;;2.6;0;0;0;0;0;2.6
Squalidae;All areas in the Med;2013-2015;;0;0.4;;0;0;0;3.4;0;0;3.7
Squaliformes;All areas in the Med;2013-2015;;0;0;;0;0;0;2.8;0;0;2.8
Squalus acanthias;All areas in the Med;2013-2015;;0;2.2;;0;2.5;0;1.5;691.5;0;697.7
Squalus blainville;All areas in the Med;2013-2015;;0;0;;0;8.4;0;11.8;0;0;20.2
Squalus spp.;All areas in the Med;2013-2015;;0.1;0;;78.4;14.4;0;0.1;0;0;93.1
Squatina squatina;All areas in the Med;2013-2015;;0;0.2;5.6;0;0.7;0;0;0;0;6.5
Torpedo marmorata;All areas in the Med;2013-2015;;0;0;;0;0;0;0;0;0;0
Torpedo spp.;All areas in the Med;2013-2015;;0;0;;0;0;0;0.5;0;0;0.5
Triakidae;All areas in the Med;2013-2015;;0.6;0;;0;0;0;0;0;0;0.6
