region;sppName;latinName;RFMO;RFMO_Stock_ID;FIDES_stockID;area;areaBis;TAC area description;Comments;;;;;
Baltic Sea;European Eel;Anguilla anguilla;ICES;;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;;;;;;
Baltic Sea;Herring;Clupea harengus;ICES;;HER3BC+24;22-24;27_3_C_22,27_3_B_23,27_3_D_24;;;;;;;
Baltic Sea;Herring;Clupea harengus;ICES;;HER3D-R30;25-29,32;27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28_2,27_3_D_29,27_3_D_32;;;;;;;
Baltic Sea;Herring;Clupea harengus;ICES;;HER3D30.;30;27_3_D_30;;;;;;;
Baltic Sea;Herring;Clupea harengus;ICES;;HER3D31.;31;27_3_D_31;;;;;;;
Baltic Sea;Herring;Clupea harengus;ICES;;HER03D.RG;Gulf of Riga;27_3_D_28_1;;;;;;;
Baltic Sea;Vendace;Coregonus albula;ICES;;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;;;;;;
Baltic Sea;Common Whitefish/houting;Coregonus lavaretus;ICES;;No TAC;IIId;27_3_D;;;;;;;
Baltic Sea;Cod;Gadus morhua;ICES;;COD3BC+24;22-24;27_3_C_22, 27_3_B_23,27_3_D_24;IIIb)c)d) (1) - Sub Divisions 22 to 24;;;;;;
Baltic Sea;Cod;Gadus morhua;ICES;;COD3DX32.;25-32;27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30, 27_3_D_31,27_3_D_32;IIId) (1) - Sub Divisions 25-32;;;;;;
Baltic Sea;Dab;Limanda limanda;ICES;;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24, 27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;;;;;;
Baltic Sea;Perch;Perca fluviatilis;ICES;;No TAC;IIId;27_3_D;;;;;;;
Baltic Sea;Flounder;Platichthys flesus;ICES;;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;;;;;;
Baltic Sea;Plaice;Pleuronectes platessa;ICES;;PLE3BCD-C;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;IIIb)c)d)  Excluding MU3;;;;;;
Baltic Sea;Turbot;Psetta maxima;ICES;;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;;;;;;
Baltic Sea;Salmon;Salmo salar;ICES;;SAL3BCD-F;22-31;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31;;;;;;;
Baltic Sea;Salmon;Salmo salar;ICES;;SAL3D32.;32;27_3_D_32;;;;;;;
Baltic Sea;Sea trout;Salmo trutta;ICES;;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;;;;;;
Baltic Sea;Pike-perch;Sander lucioperca;ICES;;No TAC;IIId;27_3_D;;;;;;;
Baltic Sea;Brill;Scophthalmus rhombus;ICES;;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;;;;;;
Baltic Sea;Sole;Solea solea;ICES;;No TAC;22;27_3_C_22;;;;;;;
