Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
BEL;BEL000021964;;CEN;1989-01-01;1991-04-17;002;A.2;NANCY;ANTWE;OPAB;Y;N;N;Y;N;;FX;TBB;NO;;;;;21.39;18.66;53.00;50.72;0.00;213.00;0.00;2;1975-03-26;BIN;;;;1964-01-01
BEL;BEL000021964;;MOD;1991-04-18;1991-12-31;002;A.2;NANCY;ANTWE;OPAB;Y;N;N;Y;N;;FX;TBB;NO;;;;;21.39;18.66;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;BIN;;;;1964-01-01
BEL;BEL000021964;;MOD;1992-01-01;1994-07-28;002;O.2;NANCY;OOSTE;OPAB;Y;Y;N;Y;N;;FX;TBB;NO;;;;;21.39;19.94;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;E10;;;;1964-01-01
BEL;BEL000021964;;MOD;1994-07-29;1996-12-31;002;O.2;NANCY;OOSTE;OPAB;Y;Y;N;Y;N;;FX;TBB;NO;;;;;21.39;19.94;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;C10;;;;1964-01-01
BEL;BEL000021964;;MOD;1997-01-01;2002-12-31;002;O.2;NANCY;OOSTE;OPAB;Y;Y;Y;Y;N;;FX;TBB;NO;;;;;21.39;19.94;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;4A1;;;;1964-01-01
BEL;BEL000021964;;MOD;2003-01-01;2006-02-01;002;O.2;NANCY;OOSTE;OPAB;Y;Y;Y;Y;N;;FX;TBB;NO;;;;;21.39;19.94;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;MFL;;;;1964-01-01
BEL;BEL000021964;;MOD;2006-02-02;2015-03-26;002;O.2;NANCY;OOSTE;OPAB;Y;Y;Y;Y;N;;FX;TBB;OTB;;;;;21.39;18.66;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;MFL;;;;1964-01-01
BEL;BEL000021964;;MOD;2015-03-27;2100-12-31;002;O.2;MIKE MICHEL JR;OOSTE;OPAB;Y;Y;Y;Y;N;;FX;TBB;OTB;;;;;21.39;18.66;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;MFL;;;;1964-01-01
BEL;BEL000041982;;CEN;1989-01-01;1991-12-31;004;BOU 4;ASTRID;BOEKH;OPAD;Y;N;N;Y;N;;TU;TBB;NO;;;;;13.85;12.58;0.00;15.67;0.00;79.00;0.00;2;1982-09-06;EST;;;;1982-01-01
BEL;BEL000041982;;MOD;1992-01-01;1994-05-31;004;BOU 4;ASTRID;BOEKH;OPAD;Y;N;N;Y;N;;TU;TBB;NO;;;;;13.85;12.58;0.00;15.67;0.00;79.00;0.00;2;1982-09-06;E10;;;;1982-01-01
BEL;BEL000041982;;MOD;1994-06-01;1996-11-14;004;BOU 4;ASTRID;BOEKH;OPAD;Y;N;N;Y;N;;TU;TBB;NO;;;;;13.85;12.58;0.00;15.67;0.00;79.00;0.00;2;1982-09-06;C10;;;;1982-01-01
BEL;BEL000061930;;CEN;1989-01-01;1991-12-31;006;BOU 6;ANJA;BOEKH;OPAF;Y;N;N;Y;N;;FX;TBB;NO;;;;;16.62;13.56;0.00;29.79;0.00;103.00;0.00;2;1930-12-31;EST;;;;1930-01-01
BEL;BEL000061930;;MOD;1992-01-01;1994-05-31;006;BOU 6;ANJA;BOEKH;OPAF;Y;N;N;Y;N;;FX;TBB;NO;;;;;16.62;13.56;0.00;29.79;0.00;103.00;0.00;2;1930-12-31;E10;;;;1930-01-01
