Country of Registration,CFR,UVI,Event,Event Start Date,Event End Date,Registration Number,External marking,Name of vessel,Place of registration,IRCS,IRCS indicator,Licence indicator,VMS indicator,ERS indicator,AIS indicator,MMSI,Vessel Type,Main fishing gear,Subsidiary fishing gear 1,Subsidiary fishing gear 2,Subsidiary fishing gear 3,Subsidiary fishing gear 4,Subsidiary fishing gear 5,LOA,LBP,Tonnage GT,Other tonnage,GTs,Power of main engine,Power of auxiliary engine,Hull material,Date of entry into service,Segment,Country of importation/exportation,Type of export,Public aid,Year of construction
IRL,BEL010322007,,IMP,14/10/2015,23/06/2019,394,SO394,DONNA JULIE II,SO,EIQL8,Y,Y,N,N,N,,MO,OTB,GND,,,,,11.5,0,12.4,0,0,93.26,9.6,3,20/08/2007,MFL,BEL,,PA,01/01/2007
IRL,BEL010322007,,MOD,24/06/2019,02/07/2019,394,SO394,DONNA JULIE II,SO,EIQL8,Y,N,N,N,N,,MO,OTB,GND,GNS,FPO,,,11.5,0,12.4,0,0,93.26,9.6,3,20/08/2007,MFL,,,PA,01/01/2007
IRL,BEL010322007,,MOD,03/07/2019,31/12/2100,394,SO394,DONNA JULIE II,IESLI,EIQL8,Y,Y,N,N,N,,MO,OTB,FPO,GNS,DRB,,,11.5,0,12.4,0,0,93.26,9.6,3,20/08/2007,MFL,,,PA,01/01/2007
IRL,BEL010871987,,IMP,21/12/2012,07/08/2013,628,S628,SEAN ANTHONY,S,EIND4,Y,Y,Y,Y,Y,,TO,TBB,NK,,,,,20.06,0,68,0,0,221,0,2,01/01/1987,MFL,BEL,,PA,01/01/1986
IRL,BEL010871987,,MOD,08/08/2013,08/08/2013,628,S628,SEAN ANTHONY,S,EIND4,Y,N,Y,Y,Y,,TO,TBB,NK,,,,,20.06,0,68,0,0,221,0,2,01/01/1987,MFL,,,,01/01/1986
IRL,BEL010871987,,MOD,09/08/2013,10/07/2017,628,S628,SEAN ANTHONY,S,EIND4,Y,Y,Y,Y,Y,,TO,TBB,NK,,,,,20.06,0,68,0,0,221,0,2,01/01/1987,MFL,,,,01/01/1986
IRL,BEL010871987,,DES,11/07/2017,11/07/2017,628,S628,SEAN ANTHONY,IESKB,EIND4,Y,N,Y,Y,Y,,TO,TBB,NK,,,,,20.06,0,68,0,0,221,0,2,01/01/1987,MFL,,,PA,01/01/1986
IRL,BEL015181969,,IMP,13/07/1999,31/12/2002,118,WD118,KAREN ANN,WD,EI5539,Y,Y,N,Y,Y,,MO,DRB,NK,,,,,24.8,0,136,0,0,390,0,2,01/01/1969,4GZ,BEL,,,01/01/1969
IRL,BEL015181969,,MOD,01/01/2003,30/04/2003,118,WD118,KAREN ANN,WD,EI5539,Y,Y,Y,Y,Y,,MO,DRB,NK,,,,,24.8,0,136,0,0,390,0,2,01/01/1969,MFL,,,,01/01/1969
IRL,BEL015181969,,MOD,01/05/2003,20/12/2004,118,WD118,KAREN ANN,WD,EI5539,Y,Y,Y,Y,Y,,MO,DRB,NK,,,,,24.8,0,136,0,0,390,0,2,01/01/1969,MFL,,,,01/01/1969
