Country of Registration,CFR,UVI,Event,Event Start Date,Event End Date,Registration Number,External marking,Name of vessel,Place of registration,IRCS,IRCS indicator,Licence indicator,VMS indicator,ERS indicator,AIS indicator,MMSI,Vessel Type,Main fishing gear,Subsidiary fishing gear 1,Subsidiary fishing gear 2,Subsidiary fishing gear 3,Subsidiary fishing gear 4,Subsidiary fishing gear 5,LOA,LBP,Tonnage GT,Other tonnage,GTs,Power of main engine,Power of auxiliary engine,Hull material,Date of entry into service,Segment,Country of importation/exportation,Type of export,Public aid,Year of construction
NLD,BEL000041982,,IMP,12/01/2012,02/04/2012,BEL000041982,BR-9,ASTRID,NLBRS,,N,Y,N,N,N,,FX,OTB,LHP,,,,,14.36,0,14,0,0,83,0,2,12/01/2012,MFL,BEL,,,01/01/1982
NLD,BEL000041982,,MOD,03/04/2012,13/06/2012,BEL000041982,BR-9,ASTRID,NLBRS,,N,N,N,N,N,,FX,OTB,LHP,,,,,14.36,0,14,0,0,83,0,2,12/01/2012,MFL,,,,01/01/1982
NLD,BEL000041982,,MOD,14/06/2012,22/01/2015,BEL000041982,BR-9,ASTRID,NLBRS,,N,Y,Y,Y,N,,FX,OTB,LHP,,,,,14.36,0,14,0,0,83,0,2,12/01/2012,MFL,,,,01/01/1982
NLD,BEL000041982,,MOD,23/01/2015,21/01/2016,BEL000041982,BR-9,ASTRID,NLBRS,PA2442,Y,Y,Y,Y,N,,FX,OTB,LHP,,,,,14.36,0,14,0,0,83,0,2,12/01/2012,MFL,,,,01/01/1982
NLD,BEL000041982,,MOD,22/01/2016,29/11/2017,BEL000041982,BR-9,JACK.SON,NLBRS,PA2442,Y,Y,Y,N,N,,FX,GNS,OTB,,,,,14.36,0,14,0,0,83,0,2,12/01/2012,MFL,,,,01/01/1982
NLD,BEL000041982,,MOD,30/11/2017,31/12/2100,BEL000041982,BR-9,BOURIC,NLBRS,PA2442,Y,Y,Y,Y,N,,TU,OTB,FPO,,,,,14.36,0,14,0,0,83,0,2,12/01/2012,MFL,,,,01/01/1982
NLD,BEL000071985,,IMP,01/06/2018,31/07/2019,BEL000071985,OL-5,JACOB SR.,OL,PDKV,Y,Y,Y,Y,Y,244170523,TU,TBB,NO,,,,,19.1,0,57,0,0,187,0,2,22/03/1985,MFL,BEL,,,01/01/1985
NLD,BEL000071985,,MOD,01/08/2019,31/12/2100,BEL000071985,OL-5,JACOB SR.,OL,PDKV,Y,Y,Y,Y,Y,244170523,TU,TBB,NO,,,,,19.1,0,57,0,0,221,0,2,22/03/1985,MFL,,,,01/01/1985
NLD,BEL001191970,8432601,IMP,30/06/1992,31/12/1996,BEL001191970,WR-32,DEO VOLENTE,NLWRG,PDPG,Y,N,N,N,N,,MO,TBB,PTM,,,,,22.55,0,66,0,0,220,13,2,30/06/1992,E17,BEL,,,01/01/1970
NLD,BEL001191970,8432601,MOD,01/01/1997,30/01/2001,BEL001191970,WR-32,DEO VOLENTE,NLWRG,PDPG,Y,N,N,N,N,,MO,TBB,PTM,,,,,22.55,0,66,0,0,220,13,2,30/06/1992,4J4,,,,01/01/1970
NLD,BEL001191970,8432601,MOD,31/01/2001,27/11/2002,BEL001191970,WR-27,VISAREND,NLWRG,PDPG,Y,N,N,N,N,,MO,TBB,PTM,,,,,22.55,0,66,0,0,220,13,2,30/06/1992,4J4,,,,01/01/1970
NLD,BEL001191970,8432601,MOD,28/11/2002,31/12/2002,BEL001191970,WR-27,VISAREND,NLWRG,PDPG,Y,Y,N,N,N,,MO,TBB,PTM,,,,,22.55,0,66,0,0,220,13,2,30/06/1992,4J4,,,,01/01/1970
