Country of Registration,CFR,UVI,Event,Event Start Date,Event End Date,Registration Number,External marking,Name of vessel,Place of registration,IRCS,IRCS indicator,Licence indicator,VMS indicator,ERS indicator,AIS indicator,MMSI,Vessel Type,Main fishing gear,Subsidiary fishing gear 1,Subsidiary fishing gear 2,Subsidiary fishing gear 3,Subsidiary fishing gear 4,Subsidiary fishing gear 5,LOA,LBP,Tonnage GT,Other tonnage,GTs,Power of main engine,Power of auxiliary engine,Hull material,Date of entry into service,Segment,Country of importation/exportation,Type of export,Public aid,Year of construction
BEL,BEL000021964,8523448,CEN,01/01/1989,17/04/1991,2,A.2,NANCY,ANTWE,OPAB,Y,N,N,Y,N,,FX,TBB,NO,,,,,21.39,18.66,53,50.72,0,213,0,2,26/03/1975,BIN,,,,01/01/1964
BEL,BEL000021964,8523448,MOD,18/04/1991,31/12/1991,2,A.2,NANCY,ANTWE,OPAB,Y,N,N,Y,N,,FX,TBB,NO,,,,,21.39,18.66,53,0,0,213,0,2,26/03/1975,BIN,,,,01/01/1964
BEL,BEL000021964,8523448,MOD,01/01/1992,28/07/1994,2,O.2,NANCY,OOSTE,OPAB,Y,Y,N,Y,N,,FX,TBB,NO,,,,,21.39,19.94,53,0,0,213,0,2,26/03/1975,E10,,,,01/01/1964
BEL,BEL000021964,8523448,MOD,29/07/1994,31/12/1996,2,O.2,NANCY,OOSTE,OPAB,Y,Y,N,Y,N,,FX,TBB,NO,,,,,21.39,19.94,53,0,0,213,0,2,26/03/1975,C10,,,,01/01/1964
BEL,BEL000021964,8523448,MOD,01/01/1997,31/12/2002,2,O.2,NANCY,OOSTE,OPAB,Y,Y,Y,Y,N,,FX,TBB,NO,,,,,21.39,19.94,53,0,0,213,0,2,26/03/1975,4A1,,,,01/01/1964
BEL,BEL000021964,8523448,MOD,01/01/2003,01/02/2006,2,O.2,NANCY,OOSTE,OPAB,Y,Y,Y,Y,N,,FX,TBB,NO,,,,,21.39,19.94,53,0,0,213,0,2,26/03/1975,MFL,,,,01/01/1964
BEL,BEL000021964,8523448,MOD,02/02/2006,26/03/2015,2,O.2,NANCY,OOSTE,OPAB,Y,Y,Y,Y,N,,FX,TBB,OTB,,,,,21.39,18.66,53,0,0,213,0,2,26/03/1975,MFL,,,,01/01/1964
BEL,BEL000021964,8523448,MOD,27/03/2015,08/09/2020,2,O.2,MIKE MICHEL JR,OOSTE,OPAB,Y,Y,Y,Y,N,,FX,TBB,OTB,,,,,21.39,18.66,53,0,0,213,0,2,26/03/1975,MFL,,,,01/01/1964
BEL,BEL000021964,8523448,MOD,09/09/2020,09/09/2020,2,O.2,MIKE MICHEL JR,OOSTE,OPAB,Y,Y,Y,Y,Y,205308000,FX,TBB,OTB,,,,,21.39,18.66,53,0,0,213,0,2,26/03/1975,MFL,,,,01/01/1964
BEL,BEL000021964,8523448,MOD,10/09/2020,17/01/2021,2,O.2,MIKE MICHEL JR,OOSTE,OPAB,Y,Y,Y,Y,Y,205308000,FX,TBB,OTB,,,,,21.39,18.66,53,0,0,213,0,2,26/03/1975,MFL,,,,01/01/1964
BEL,BEL000021964,8523448,MOD,18/01/2021,26/02/2023,2,O.2,MIKE MICHEL JR,BEOST,OPAB,Y,Y,Y,Y,Y,205308000,FX,TBB,OTB,,,,,21.39,18.66,53,0,0,213,0,2,26/03/1975,MFL,,,,01/01/1964
BEL,BEL000021964,8523448,DES,27/02/2023,27/02/2023,2,O.2,MIKE MICHEL JR,BEOST,OPAB,Y,Y,Y,Y,Y,205308000,FX,TBB,OTB,,,,,21.39,18.66,53,0,0,213,0,2,26/03/1975,MFL,,,,01/01/1964
BEL,BEL000041982,,CEN,01/01/1989,31/12/1991,4,BOU 4,ASTRID,BOEKH,OPAD,Y,N,N,Y,N,,TU,TBB,NO,,,,,13.85,12.58,0,15.67,0,79,0,2,06/09/1982,EST,,,,01/01/1982
BEL,BEL000041982,,MOD,01/01/1992,31/05/1994,4,BOU 4,ASTRID,BOEKH,OPAD,Y,N,N,Y,N,,TU,TBB,NO,,,,,13.85,12.58,0,15.67,0,79,0,2,06/09/1982,E10,,,,01/01/1982
BEL,BEL000041982,,MOD,01/06/1994,14/11/1996,4,BOU 4,ASTRID,BOEKH,OPAD,Y,N,N,Y,N,,TU,TBB,NO,,,,,13.85,12.58,0,15.67,0,79,0,2,06/09/1982,C10,,,,01/01/1982
BEL,BEL000041982,,RET,15/11/1996,15/11/1996,4,BOU 4,ASTRID,BOEKH,OPAD,Y,N,N,Y,N,,TU,TBB,NO,,,,,13.85,12.58,0,15.67,0,79,0,2,06/09/1982,E10,,,PA,01/01/1982
BEL,BEL000061930,,CEN,01/01/1989,31/12/1991,6,BOU 6,ANJA,BOEKH,OPAF,Y,N,N,Y,N,,FX,TBB,NO,,,,,16.62,13.56,0,29.79,0,103,0,2,31/12/1930,EST,,,,01/01/1930
BEL,BEL000061930,,MOD,01/01/1992,31/05/1994,6,BOU 6,ANJA,BOEKH,OPAF,Y,N,N,Y,N,,FX,TBB,NO,,,,,16.62,13.56,0,29.79,0,103,0,2,31/12/1930,E10,,,,01/01/1930
BEL,BEL000061930,,MOD,01/06/1994,29/08/1996,6,BOU 6,ANJA,BOEKH,OPAF,Y,N,N,Y,N,,FX,TBB,NO,,,,,16.62,13.56,0,29.79,0,103,0,2,31/12/1930,C10,,,,01/01/1930
BEL,BEL000061930,,DES,30/08/1996,30/08/1996,6,BOU 6,ANJA,BOEKH,OPAF,Y,N,N,Y,N,,FX,TBB,NO,,,,,16.62,13.56,0,29.79,0,103,0,2,31/12/1930,E10,,,PA,01/01/1930
BEL,BEL000071985,,CEN,01/01/1989,31/12/1991,7,BOU.7,DE ENIGE ZOON,BOEKH,OPAG,Y,Y,N,Y,N,,TU,TBB,NO,,,,,16.67,13.17,57,0,0,219,0,2,06/06/1986,EST,,,,01/01/1985
BEL,BEL000071985,,MOD,01/01/1992,31/05/1994,7,BOU.7,DE ENIGE ZOON,BOEKH,OPAG,Y,Y,N,Y,N,,TU,TBB,NO,,,,,16.67,13.17,57,0,0,219,0,2,06/06/1986,E10,,,,01/01/1985
BEL,BEL000071985,,MOD,01/06/1994,31/12/1996,7,BOU.7,DE ENIGE ZOON,BOEKH,OPAG,Y,Y,N,Y,N,,TU,TBB,NO,,,,,16.67,13.17,57,0,0,219,0,2,06/06/1986,C10,,,,01/01/1985
BEL,BEL000071985,,MOD,01/01/1997,31/12/2002,7,BOU.7,DE ENIGE ZOON,BOEKH,OPAG,Y,Y,Y,Y,N,,TU,TBB,NO,,,,,16.67,13.17,57,0,0,219,0,2,06/06/1986,4A1,,,,01/01/1985
BEL,BEL000071985,,MOD,01/01/2003,28/02/2006,7,BOU.7,DE ENIGE ZOON,BOEKH,OPAG,Y,Y,Y,Y,N,,TU,TBB,NO,,,,,16.67,13.17,57,0,0,219,0,2,06/06/1986,MFL,,,,01/01/1985
BEL,BEL000071985,,MOD,01/03/2006,12/06/2006,7,BOU.7,DE ENIGE ZOON,BOEKH,OPAG,Y,Y,Y,Y,N,,TU,TBB,NO,,,,,19.1,16.67,57,0,0,218,0,2,06/06/1986,MFL,,,,01/01/1985
BEL,BEL000071985,,MOD,13/06/2006,23/04/2018,7,BOU.7,DE ENIGE ZOON,BOEKH,OPAG,Y,Y,Y,Y,N,,TU,TBB,NO,,,,,19.1,16.67,57,0,0,219,0,2,06/06/1986,MFL,,,,01/01/1985
BEL,BEL000071985,,EXP,24/04/2018,24/04/2018,7,BOU.7,DE ENIGE ZOON,BOEKH,OPAG,Y,Y,Y,Y,N,,TU,TBB,NO,,,,,19.1,16.67,57,0,0,219,0,2,06/06/1986,MFL,NLD,EX,PA,01/01/1985
BEL,BEL000081967,8341096,CEN,01/01/1989,30/03/1989,8,K.8,YVONNE,KIELD,OPAH,Y,N,N,Y,N,,FX,TBB,NO,,,,,21.91,19.31,56,0,0,220,0,2,01/07/1967,EST,,,,01/01/1967
BEL,BEL000081967,8341096,MOD,31/03/1989,31/12/1991,8,K.8,AQUARIUS,KIELD,OPAH,Y,N,N,Y,N,,FX,TBB,NO,,,,,21.91,19.31,56,0,0,220,0,2,01/07/1967,EST,,,,01/01/1967
BEL,BEL000081967,8341096,MOD,01/01/1992,04/02/1993,8,Z.8,AQUARIUS,ZEEBR,OPAH,Y,Y,N,Y,N,,FX,TBB,NO,,,,,21.91,19.31,56,0,0,220,0,2,01/07/1967,E10,,,,01/01/1967
BEL,BEL000081967,8341096,MOD,05/02/1993,03/11/1994,8,K.8,AQUARIUS,KIELD,OPAH,Y,N,N,Y,N,,FX,TBB,NO,,,,,21.91,19.31,56,0,0,220,0,2,01/07/1967,C10,,,,01/01/1967
BEL,BEL000081967,8341096,MOD,04/11/1994,31/12/1996,8,Z.8,AQUARIUS,ZEEBR,OPAH,Y,Y,N,Y,N,,FX,TBB,NO,,,,,21.91,19.31,56,0,0,220,0,2,01/07/1967,C10,,,,01/01/1967
BEL,BEL000081967,8341096,MOD,01/01/1997,31/12/2002,8,Z.8,AQUARIUS,ZEEBR,OPAH,Y,Y,Y,Y,N,,FX,TBB,NO,,,,,21.91,19.31,56,0,0,220,0,2,01/07/1967,4A1,,,,01/01/1967
BEL,BEL000081967,8341096,MOD,01/01/2003,05/02/2006,8,Z.8,AQUARIUS,ZEEBR,OPAH,Y,Y,Y,Y,N,,FX,TBB,NO,,,,,21.91,19.31,56,0,0,220,0,2,01/07/1967,MFL,,,,01/01/1967
BEL,BEL000081967,8341096,MOD,06/02/2006,06/11/2017,8,Z.8,AQUARIUS,ZEEBR,OPAH,Y,Y,Y,Y,N,,FX,TBB,OTB,,,,,21.91,19.31,56,0,0,220,0,2,01/07/1967,MFL,,,,01/01/1967
BEL,BEL000081967,8341096,MOD,07/11/2017,19/01/2020,8,Z.8,AQUARIUS,ZEEBR,OPAH,Y,Y,Y,Y,N,,FX,TBB,OTB,,,,,21.91,19.31,56,0,0,220,0,2,01/07/1967,MFL,,,,01/01/1967
BEL,BEL000081967,8341096,MOD,20/01/2020,08/09/2020,8,Z.8,AQUARIUS,ZEEBR,OPAH,Y,Y,Y,Y,N,,FX,TBB,OTB,,,,,21.91,19.31,56,0,0,220,0,2,01/07/1967,MFL,,,,01/01/1967
BEL,BEL000081967,8341096,MOD,09/09/2020,12/01/2021,8,Z.8,AQUARIUS,ZEEBR,OPAH,Y,Y,Y,Y,Y,205264000,FX,TBB,OTB,,,,,21.91,19.31,58,0,0,220,0,2,01/07/1967,MFL,,,,01/01/1967
BEL,BEL000081967,8341096,MOD,13/01/2021,31/12/2100,8,Z.8,AQUARIUS,BEZEE,OPAH,Y,Y,Y,Y,Y,205264000,FX,TBB,OTB,,,,,21.91,19.31,58,0,0,220,0,2,01/07/1967,MFL,,,,01/01/1967
BEL,BEL000091953,,CEN,01/01/1989,10/01/1991,9,A.9,STERN,ANTWE,OPAI,Y,N,N,Y,N,,FX,TBB,NO,,,,,26.14,23.1,91.95,0,0,221,0,2,22/02/1983,BIN,,,,01/01/1953
BEL,BEL000091953,,MOD,11/01/1991,18/02/1991,9,A.9,STERN,ANTWE,OPAI,Y,N,N,Y,N,,FX,TBB,NO,,,,,26.32,23.12,91.95,0,0,221,0,2,22/02/1983,BIN,,,,01/01/1953
BEL,BEL000091953,,MOD,19/02/1991,31/12/1991,9,A.9,STERN,ANTWE,OPAI,Y,N,N,Y,N,,FX,TBB,NO,,,,,26.32,23.12,97,0,0,221,0,2,22/02/1983,BIN,,,,01/01/1953
BEL,BEL000091953,,MOD,01/01/1992,29/12/1994,9,O.9,STERN,OOSTE,OPAI,Y,N,N,Y,N,,FX,TBB,NO,,,,,26.32,23.12,97,0,0,221,0,2,22/02/1983,E10,,,,01/01/1953
BEL,BEL000091953,,MOD,30/12/1994,29/01/1995,9,O.9,STERN,OOSTE,OPAI,Y,N,N,Y,N,,FX,TBB,NO,,,,,26.32,23.12,97,0,0,221,0,2,22/02/1983,C10,,,,01/01/1953
BEL,BEL000091953,,DES,30/01/1995,30/01/1995,9,O.9,STERN,OOSTE,OPAI,Y,N,N,Y,N,,FX,TBB,NO,,,,,26.32,23.12,97,0,0,221,0,2,22/02/1983,E10,,,AC,01/01/1953
BEL,BEL000131928,,CEN,01/01/1989,29/01/1989,13,K.13,VIJF GEBROEDERS,KIELD,OPAM,Y,N,N,Y,N,,FX,TBB,NO,,,,,16.26,13.57,0,19.05,0,154,0,2,01/07/1928,BIN,,,,01/01/1928
BEL,BEL000131928,,RET,30/01/1989,30/01/1989,13,K.13,VIJF GEBROEDERS,KIELD,OPAM,Y,N,N,Y,N,,FX,TBB,NO,,,,,16.26,13.57,0,19.05,0,154,0,2,01/07/1928,BIN,,,PA,01/01/1928
BEL,BEL000131989,8564404,CST,15/02/1989,31/12/1991,13,K.13,MORGENSTER,KIELD,OPAM,Y,N,N,Y,N,,FX,TBB,NO,,,,,23.94,21.14,94,0,0,218,0,2,15/02/1989,BIN,,,,01/01/1989
BEL,BEL000131989,8564404,MOD,01/01/1992,18/08/1994,13,Z.13,MORGENSTER,ZEEBR,OPAM,Y,Y,N,Y,N,,FX,TBB,NO,,,,,23.94,21.14,94,0,0,218,0,2,15/02/1989,E10,,,,01/01/1989
BEL,BEL000131989,8564404,MOD,19/08/1994,31/12/1996,13,Z.13,MORGENSTER,ZEEBR,OPAM,Y,Y,N,Y,N,,FX,TBB,NO,,,,,23.94,21.14,94,0,0,218,0,2,15/02/1989,C10,,,,01/01/1989
BEL,BEL000131989,8564404,MOD,01/01/1997,31/12/2002,13,Z.13,MORGENSTER,ZEEBR,OPAM,Y,Y,Y,Y,N,,FX,TBB,NO,,,,,23.94,21.14,94,0,0,218,0,2,15/02/1989,4A1,,,,01/01/1989
BEL,BEL000131989,8564404,MOD,01/01/2003,02/02/2006,13,Z.13,MORGENSTER,ZEEBR,OPAM,Y,Y,Y,Y,N,,FX,TBB,NO,,,,,23.94,21.14,94,0,0,218,0,2,15/02/1989,MFL,,,,01/01/1989
BEL,BEL000131989,8564404,MOD,03/02/2006,18/07/2011,13,Z.13,MORGENSTER,ZEEBR,OPAM,Y,Y,Y,Y,N,,FX,TBB,OTB,,,,,23.94,21.14,94,0,0,218,0,2,15/02/1989,MFL,,,,01/01/1989
BEL,BEL000131989,8564404,MOD,19/07/2011,18/01/2017,13,O.13,MORGENSTER,OOSTE,OPAM,Y,Y,Y,Y,N,,FX,TBB,OTB,,,,,23.94,21.14,94,0,0,218,0,2,15/02/1989,MFL,,,,01/01/1989
BEL,BEL000131989,8564404,MOD,19/01/2017,04/01/2021,13,O.13,MORGENSTER,OOSTE,OPAM,Y,Y,Y,Y,N,,FX,TBB,OTB,,,,,23.94,21.14,94,0,0,218,0,2,15/02/1989,MFL,,,,01/01/1989
BEL,BEL000131989,8564404,MOD,05/01/2021,17/01/2021,13,O.13,MORGENSTER,BEOST,OPAM,Y,Y,Y,Y,Y,205017000,FX,TBB,OTB,,,,,23.94,21.14,94,0,0,218,0,2,15/02/1989,MFL,,,,01/01/1989
BEL,BEL000131989,8564404,MOD,18/01/2021,21/08/2021,13,O.13,MORGENSTER,BEOST,OPAM,Y,Y,Y,Y,Y,205017000,FX,TBB,OTB,,,,,23.94,21.14,94,0,0,218,0,2,15/02/1989,MFL,,,,01/01/1989
BEL,BEL000131989,8564404,DES,22/08/2021,22/08/2021,13,O.13,MORGENSTER,BEOST,OPAM,Y,Y,Y,Y,Y,205017000,FX,TBB,OTB,,,,,23.94,21.14,94,0,0,218,0,2,15/02/1989,MFL,,,,01/01/1989
BEL,BEL000241964,8564480,CEN,01/01/1989,31/12/1991,24,BOU.24,BEATRIX,BOEKH,OPAX,Y,Y,N,Y,N,,FX,TBB,NO,,,,,19.04,17.67,44,41.38,0,202,0,2,01/07/1964,EST,,,,01/01/1964
BEL,BEL000241964,8564480,MOD,01/01/1992,31/12/1996,24,BOU.24,BEATRIX,BOEKH,OPAX,Y,Y,N,Y,N,,FX,TBB,NO,,,,,19.04,17.67,44,41.38,0,202,0,2,01/07/1964,E10,,,,01/01/1964
BEL,BEL000241964,8564480,MOD,01/01/1997,02/08/1998,24,BOU.24,BEATRIX,BOEKH,OPAX,Y,Y,Y,Y,N,,FX,TBB,NO,,,,,19.04,17.67,44,41.38,0,202,0,2,01/07/1964,4A1,,,,01/01/1964
BEL,BEL000241964,8564480,MOD,03/08/1998,31/12/2002,24,BOU.24,BEATRIX,BOEKH,OPAX,Y,Y,Y,Y,N,,FX,TBB,NO,,,,,19.04,17.67,44,0,0,202,0,2,01/07/1964,4A1,,,,01/01/1964
BEL,BEL000241964,8564480,MOD,01/01/2003,16/02/2006,24,BOU.24,BEATRIX,BOEKH,OPAX,Y,Y,Y,Y,N,,FX,TBB,NO,,,,,19.04,17.67,44,0,0,202,0,2,01/07/1964,MFL,,,,01/01/1964
BEL,BEL000241964,8564480,MOD,17/02/2006,25/06/2018,24,BOU.24,BEATRIX,BOEKH,OPAX,Y,Y,Y,Y,N,,FX,TBB,OTB,,,,,19.04,16.64,44,0,0,202,0,2,01/07/1964,MFL,,,,01/01/1964
BEL,BEL000241964,8564480,MOD,26/06/2018,08/09/2020,24,BOU.24,ZEEVONK,BOEKH,OPAX,Y,Y,Y,Y,N,,FX,TBB,OTB,,,,,19.04,16.64,44,0,0,202,0,2,01/07/1964,MFL,,,,01/01/1964
BEL,BEL000241964,8564480,MOD,09/09/2020,04/01/2021,24,BOU.24,ZEEVONK,BOEKH,OPAX,Y,Y,Y,Y,Y,205632000,FX,TBB,OTB,,,,,19.04,16.64,44,0,0,202,0,2,01/07/1964,MFL,,,,01/01/1964
BEL,BEL000241964,8564480,MOD,05/01/2021,11/01/2021,24,BOU.24,ZEEVONK,BEBHE,OPAX,Y,Y,Y,Y,Y,205632000,FX,TBB,OTB,,,,,19.04,16.64,44,0,0,202,0,2,01/07/1964,MFL,,,,01/01/1964
BEL,BEL000241964,8564480,MOD,12/01/2021,13/01/2021,24,BOU.24,ZEEVONK,BEBHE,OPAX,Y,Y,Y,Y,Y,205632000,FX,TBB,OTB,,,,,19.04,16.64,44,0,0,202,0,2,01/07/1964,MFL,,,,01/01/1964
BEL,BEL000241964,8564480,MOD,14/01/2021,06/09/2021,24,BOU.24,ZEEVONK,BEBHE,OPAX,Y,Y,Y,Y,Y,205632000,FX,TBB,OTB,,,,,19.04,16.64,44,0,0,202,0,2,01/07/1964,MFL,,,,01/01/1964
BEL,BEL000241964,8564480,RET,07/09/2021,07/09/2021,24,BOU.24,ZEEVONK,BEBHE,OPAX,Y,Y,Y,Y,Y,205632000,FX,TBB,OTB,,,,,19.04,16.64,44,0,0,202,0,2,01/07/1964,MFL,,,,01/01/1964
BEL,BEL000281932,,CEN,01/01/1989,31/12/1991,28,BOU 28,ANNIE,BOEKH,OPBB,Y,N,N,Y,N,,FX,TBB,NO,,,,,16.19,13.39,0,28.67,0,88,0,2,26/09/1932,BIN,,,,01/01/1932
BEL,BEL000281932,,MOD,01/01/1992,08/11/1993,28,Z.28,ANN,ZEEBR,OPBB,Y,Y,N,Y,N,,FX,TBB,NO,,,,,16.19,13.39,0,28.67,0,88,0,2,26/09/1932,E10,,,,01/01/1932
BEL,BEL000281932,,MOD,09/11/1993,11/01/1994,28,BOU 28,ANNIE,BOEKH,OPBB,Y,N,N,Y,N,,FX,TBB,NO,,,,,16.19,13.39,0,28.67,0,88,0,2,26/09/1932,C10,,,,01/01/1932
BEL,BEL000281932,,MOD,12/01/1994,16/01/1996,28,Z.28,ANN,ZEEBR,OPBB,Y,Y,N,Y,N,,FX,TBB,NO,,,,,16.19,13.39,0,28.67,0,88,0,2,26/09/1932,C10,,,,01/01/1932
