Country of Registration,CFR,UVI,Event,Event Start Date,Event End Date,Registration Number,External marking,Name of vessel,Place of registration,IRCS,IRCS indicator,Licence indicator,VMS indicator,ERS indicator,AIS indicator,MMSI,Vessel Type,Main fishing gear,Subsidiary fishing gear 1,Subsidiary fishing gear 2,Subsidiary fishing gear 3,Subsidiary fishing gear 4,Subsidiary fishing gear 5,LOA,LBP,Tonnage GT,Other tonnage,GTs,Power of main engine,Power of auxiliary engine,Hull material,Date of entry into service,Segment,Country of importation/exportation,Type of export,Public aid,Year of construction
POL,DEU000070300,,IMP,09/03/2006,29/03/2006,PL02006,WLA-127,<NO NAME GIVEN>,345,SPG2811,Y,Y,N,,,,FX,OTB,OTM,,,,,25.4,22.7,93,0,0,165,0,2,24/03/1972,MFL,DEU,,,01/01/1972
POL,DEU000070300,,MOD,30/03/2006,22/10/2007,PL02006,WLA-127,<NO NAME GIVEN>,345,SPG2811,Y,Y,Y,,,,FX,OTB,OTM,,,,,25.4,22.7,93,0,0,165,0,2,24/03/1972,MFL,,,,01/01/1972
POL,DEU000070300,,MOD,23/10/2007,09/11/2009,PL02006,WLA-127,<NO NAME GIVEN>,345,SPG2811,Y,Y,Y,,,,FX,OTB,OTM,,,,,25.4,22.7,93,0,0,165,0,2,24/03/1972,MFL,,,,01/01/1972
POL,DEU000070300,,DES,10/11/2009,10/11/2009,PL02006,WLA-127,<NO NAME GIVEN>,345,SPG2811,Y,N,Y,,,,FX,OTB,OTM,,,,,25.4,22.7,93,0,0,165,0,2,24/03/1972,MFL,,,PA,01/01/1972
POL,DEU000370606,,IMP,05/12/2006,21/05/2012,PL02018,SWI-48,<NO NAME GIVEN>,118,SPS2590,Y,Y,N,,,,FX,OTB,OTM,,,,,11.34,10.75,23.11,0,0,147,0,2,01/09/1998,MFL,DEU,,,01/01/1998
POL,DEU000370606,,MOD,22/05/2012,04/12/2016,PL02018,SWI-48,<NO NAME GIVEN>,118,SPS2590,Y,Y,N,,,,FX,OTB,OTM,,,,,11.34,10.75,23.11,0,0,147,0,2,01/09/1998,MFL,,,,01/01/1998
POL,DEU000370606,,DES,05/12/2016,05/12/2016,PL02018,?WI-48,,118,SPS2590,Y,N,N,N,N,,FX,OTB,SSC,FPO,OTM,GNS,LLS,11.34,10.75,23.11,0,0,147,0,2,01/09/1998,MFL,,,AC,01/01/1998
POL,DEU001280602,,IMP,08/04/2014,14/03/2022,PL02280,KO?-288,No name,225,SPS3130,Y,Y,Y,Y,N,,TTW,OTB,PTM,GNS,LLD,OTM,LLS,12.01,10.1,31.48,0,0,110,0,2,18/12/2001,MFL,DEU,,PA,01/01/2001
POL,DEU001280602,,MOD,15/03/2022,31/12/2100,PL02280,KO?-288,No name,PLKOL,SPS3130,Y,Y,Y,Y,N,,TTW,OTB,PTM,LLD,GNS,LLS,OTM,12.01,10.1,31.48,0,0,110,0,2,18/12/2001,MFL,,,,01/01/2001
POL,DEU002120300,9048902,IMP,02/10/2017,05/08/2018,PL02309,GDY-58,POLONUS,352,SNLE,Y,Y,Y,Y,Y,261536000,TTP,OTB,PTB,OTM,,,,80.35,73.65,2348,0,0,3000,536,2,31/12/1992,MFL,DEU,,PA,01/01/1992
