WoRMSAphiaID;Species;LatinName;EnglishName;Alpha3ID
126682;Alepocephalus bairdii;Alepocephalus bairdii;Baird's smooth-head;ALC
126751;Ammodytes marinus;Ammodytes marinus;Lesser sand-eel;QLH
126758;Anarhichas lupus;Anarhichas lupus;Wolf-fish;CAA
126281;Anguilla anguilla;Anguilla anguilla;European eel;ELE
126486;Antimora rostrata;Antimora rostrata;Blue antimora;ANT
127085;Aphanopus carbo;Aphanopus carbo;Black scabbardfish;BSF
126716;Argentina sphyraena;Argentina sphyraena;Argentine;ARY
127007;Argyrosomus regius;Argyrosomus regius;Meagre;MGR
107083;Aristeus antennatus;Aristeus antennatus;Aristeus antennatus;ARA
126375;Belone belone;Belone belone;Garfish;GAR
126395;Beryx splendens;Beryx splendens;Splendid alfonsino;BYS
126792;Callionymus lyra;Callionymus lyra;Dragonet;LYY
127419;Capros aper;Capros aper;Boarfish;BOC
127262;Chelidonichthys lucerna;Chelidonichthys lucerna;Tub gurnard;GUU
126417;Clupea harengus;Clupea harengus;Atlantic herring;HER
126285;Conger conger;Conger conger;European conger;COE
127178;Coregonus albula;Coregonus albula;Vendace;FVE
127180;Coregonus lavaretus;Coregonus lavaretus;European whitefish;PLN
158960;Coryphaenoides rupestris;Coryphaenoides rupestris;Roundnose grenadier;RNG
107552;Crangon crangon;Crangon crangon;Common shrimp;CSH
127214;Cyclopterus lumpus;Cyclopterus lumpus;Lumpfish (Lumpsucker);LUM
126975;Dicentrarchus labrax;Dicentrarchus labrax;European seabass;BSS
127154;Dicologlossa cuneata;Dicologlossa cuneata;Wedge sole;CET
126426;Engraulis encrasicolus;Engraulis encrasicolus;European anchovy;ANE
127017;Euthynnus alletteratus;Euthynnus alletteratus;Little tunny;LTA
150637;Eutrigla gurnardus;Eutrigla gurnardus;Grey gurnard;GUG
126435;Gadiculus argenteus;Gadiculus argenteus;Silvery pout;GDG
126436;Gadus morhua;Gadus morhua;Atlantic cod;COD
