Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
DNK;DEU302540207;9034080;MOD;2016-04-28;2100-12-31;DEU302540207;L153;MALLE;23001;OUOT;Y;Y;Y;Y;Y;220166000;TOX;OTB;NO;;;;;43.80;43.80;620.00;0.00;0.00;500.00;0.00;2;1992-01-01;MFL;;;;1992-01-01
DNK;DEU302640234;;MOD;2014-02-18;2100-12-31;DEU302640234;L124;PETER;23001;;N;Y;N;N;N;;WO;GNS;NO;;;;;7.28;6.56;2.90;0.00;0.00;42.00;0.00;3;2005-12-01;MFL;;;;1997-01-01
DNK;DNK000000032;;MOD;2015-02-24;2100-12-31;DNK000000032;FN168;GRÆSHOLM;12001;OU5721;Y;Y;N;N;N;219001553;FX;GNS;OTB;;;;;9.95;9.95;10.40;0.00;0.00;93.00;0.00;1;1968-01-01;MFL;;;;1968-01-01
DNK;DNK000000040;;MOD;2003-01-01;2100-12-31;FA50;FA50;INGRID;10016;5PHX;Y;Y;N;;;;FX;SDN;OTB;;;;;11.89;11.65;15.70;0.00;0.00;81.00;0.00;1;1944-01-01;MFL;;;;1944-01-01
DNK;DNK000000134;;MOD;2020-11-10;2021-08-31;DNK000000134;ND83;NANNA-METTE;DKKLH;XP3071;Y;Y;N;N;N;;WO;GNS;LLS;OTB;SDN;;;8.05;8.05;2.50;0.00;0.00;33.00;0.00;3;1973-01-01;MFL;;;;1973-01-01
DNK;DNK000000172;;CHA;2011-12-14;2100-12-31;KA83;KA83;VERITAS;32014;XP3156;Y;Y;N;;;;FX;GNS;LTL;;;;;7.75;0.00;4.00;0.00;0.00;16.00;0.00;3;1974-01-01;MFL;;;;1974-01-01
DNK;DNK000000174;;MOD;2013-08-27;2100-12-31;O40;O40;ILSE;08018;OU5901;Y;Y;N;;;;FX;GNS;OTB;;;;;7.55;0.00;1.90;0.00;0.00;22.00;0.00;3;1974-01-01;MFL;;;;1974-01-01
DNK;DNK000000249;;MOD;2017-03-31;2100-12-31;A201;A201;HEIAN;25035;XP3015;Y;Y;N;;;;FX;OTB;GNS;;;;;11.99;0.00;14.60;0.00;0.00;121.00;0.00;1;1972-01-01;MFL;;;;1972-01-01
DNK;DNK000000251;;MOD;2020-08-24;2022-01-06;DNK000000251;HM110;DOZER;DKHAN;XP2898;Y;Y;N;N;N;;MTG;OTB;GNS;SDN;LLS;;;11.98;11.98;11.50;0.00;0.00;125.00;0.00;1;1970-01-01;MFL;;;;1970-01-01
DNK;DNK000000569;;MOD;2007-01-01;2100-12-31;FN20;FN20;BRITTA AAEN;12001;XP2052;Y;Y;Y;;;;FX;SDN;NO;;;;;14.57;0.00;23.00;0.00;0.00;129.00;0.00;1;1928-01-01;MFL;;;;1928-01-01
DNK;DNK000000593;;CHA;2008-04-22;2021-09-19;DNK000000593;SG26;LIANCI;DKLUN;XP3475;Y;Y;N;N;N;;WO;GNS;NK;OTB;;;;7.98;7.98;4.30;0.00;0.00;56.00;0.00;3;1976-01-01;MFL;;;;1976-01-01
DNK;DNK000000595;;MOD;2008-02-05;2100-12-31;SG23;SG23;LILJEN;09040;5QDJ;Y;Y;N;;;;FX;GNS;OTB;;;;;10.07;0.00;8.60;0.00;0.00;53.00;0.00;1;1950-01-01;MFL;;;;1950-01-01
DNK;DNK000000754;;MOD;2020-10-27;2100-12-31;DNK000000754;L141;HIGH FIVE;23001;OU9714;Y;Y;N;N;N;;WO;GNS;LLS;;;;;8.65;8.65;4.10;0.00;0.00;47.00;0.00;3;1975-01-01;MFL;;;;1974-01-01
DNK;DNK000001042;;MOD;2007-01-01;2021-04-27;DNK000001042;FA10;CALYPSO;DKFRC;;N;Y;N;N;N;;WO;GNS;NK;NO;;;;7.70;7.70;4.10;0.00;0.00;51.00;0.00;3;1977-01-01;MFL;;;;1977-01-01
DNK;DNK000001082;;MOD;2012-09-07;2100-12-31;;MI228;JANNE;09010;OU7765;Y;Y;N;N;N;;MTG;OTB;SDN;GNS;;;;7.60;7.60;2.50;0.00;0.00;22.00;0.00;3;1976-01-01;MFL;;;;1976-01-01
DNK;DNK000001093;;MOD;2009-01-01;2100-12-31;H108;H108;SUSSI;29032;XPA8075;Y;Y;N;;;;FX;GNS;GNS;;;;;8.89;0.00;4.60;0.00;0.00;22.00;0.00;3;1979-01-01;MFL;;;;1979-01-01
DNK;DNK000001208;;CHA;2011-04-13;2100-12-31;A30;A30;ANJA JUST;14009;;N;Y;N;;;;FX;GNS;OTB;;;;;7.56;0.00;1.90;0.00;0.00;22.00;0.00;3;1977-01-01;MFL;;;;1977-01-01
DNK;DNK000001213;;MOD;2015-10-15;2100-12-31;RI89;RI89;BERTHA;20001;XP8749;Y;Y;N;;;;FX;GNS;NO;;;;;7.98;0.00;5.20;0.00;0.00;51.00;0.00;3;1976-01-01;MFL;;;;1976-01-01
DNK;DNK000001215;;CHA;2013-06-12;2022-02-13;DNK000001215;SG76;LINDA;DKNBG;XPA7313;Y;Y;N;N;N;;FX;GNS;LLS;NK;;;;7.61;7.61;2.00;0.00;0.00;16.00;0.00;3;1977-01-01;MFL;;;;1977-01-01
DNK;DNK000001224;;MOD;2007-09-18;2021-03-29;;KA91;JOLLY;32028;XP6369;Y;Y;N;N;N;;WO;LLS;GNS;;;;;7.70;7.70;4.10;0.00;0.00;16.00;0.00;3;1978-01-01;MFL;;;;1978-01-01
DNK;DNK000001231;;CHA;2010-03-31;2100-12-31;KA9;KA9;SNUBBI;32028;XP3318;Y;Y;N;;;;FX;GNS;GNS;;;;;7.99;0.00;4.40;0.00;0.00;54.00;0.00;3;1975-01-01;MFL;;;;1975-01-01
DNK;DNK000001232;;CHA;2008-04-16;2100-12-31;KA106;KA106;FLIPPER;32040;XP2994;Y;Y;N;;;;FX;GNS;GNS;;;;;7.93;0.00;3.20;6.29;0.00;26.00;0.00;3;1978-01-01;MFL;;;;1975-01-01
DNK;DNK000001247;;CHA;2011-12-22;2100-12-31;DNK000001247;KA43;JOHILE;32017;XP3361;Y;Y;N;N;N;;MTG;GNS;NK;LLS;;;;7.57;6.50;3.50;0.00;0.00;16.00;0.00;3;1974-01-01;MFL;;;;1974-01-01
DNK;DNK000001341;;MOD;2013-12-03;2100-12-31;SØ28;SØ28;HENRIETTE II;18018;OU7808;Y;Y;N;;;;FX;GNS;OTB;;;;;9.02;0.00;7.90;9.01;0.00;93.00;0.00;1;1964-01-01;MFL;;;;1964-01-01
DNK;DNK000001361;;MOD;2009-02-17;2100-12-31;FN27;FN27;LUKAS;12001;XP2116;Y;Y;N;;;;FX;GNS;LLS;;;;;7.04;0.00;4.10;0.00;0.00;16.00;0.00;3;1972-01-01;MFL;;;;1972-01-01
DNK;DNK000001373;;MOD;2015-10-20;2100-12-31;HG43;HG43;PLUTO;28001;XP2794;Y;Y;N;;;;FX;GNS;LLS;;;;;6.57;0.00;3.90;6.10;0.00;16.00;0.00;3;1972-01-01;MFL;;;;1972-01-01
DNK;DNK000001403;;MOD;2007-01-01;2100-12-31;DNK000001403;KR180;CAPRICORN;04015;XP2654;Y;Y;Y;Y;N;;TS;OTB;NK;NO;;;;14.75;14.75;23.80;0.00;0.00;202.00;0.00;1;1966-01-01;MFL;;;;1966-01-01
DNK;DNK000001442;;MOD;2019-06-07;2100-12-31;;L499;QUARK;25001;XP4111;Y;Y;N;N;N;;WO;GNS;DRB;;;;;8.23;8.23;5.30;0.00;0.00;37.00;0.00;3;1980-01-01;MFL;;;;1976-01-01
DNK;DNK000001699;;MOD;2007-01-01;2100-12-31;DNK000001699;AS110;JOHN VERNER;16026;XP2912;Y;Y;N;N;N;;WO;GNS;NK;;;;;9.54;9.54;6.60;0.00;0.00;88.00;0.00;3;1978-01-01;MFL;;;;1978-01-01
DNK;DNK000001946;;MOD;2003-11-17;2100-12-31;ND45;ND45;SØFELDT;06015;XP2732;Y;Y;Y;;;;FX;OTB;NO;;;;;14.95;0.00;28.80;0.00;0.00;160.00;0.00;1;1948-01-01;MFL;;;;1948-01-01
DNK;DNK000001960;;MOD;2003-01-01;2100-12-31;ND76;ND76;MAJA;06002;XP3474;Y;Y;N;;;;FX;GNS;NO;;;;;9.66;0.00;8.70;9.83;0.00;75.00;0.00;1;1977-01-01;MFL;;;;1977-01-01
DNK;DNK000001964;;MOD;2016-03-01;2021-11-18;DNK000001964;ND81;SKANSEN;DKRQD;OX2867;Y;Y;N;N;N;;WO;GNS;NO;;;;;9.01;9.01;8.00;0.00;0.00;48.00;0.00;1;1977-01-01;MFL;;;;1977-01-01
DNK;DNK000001982;;MOD;2018-12-19;2100-12-31;;KE81;JOSEFINE;01019;XP3470;Y;Y;N;N;N;;WO;GNS;GNS;LLS;GNS;;;9.40;9.40;8.70;0.00;0.00;70.61;0.00;1;1979-01-01;MFL;;;;1979-01-01
DNK;DNK000002001;;MOD;2008-06-10;2100-12-31;O59;O59;CHRISTA;08018;XP5187;Y;Y;N;;;;FX;GNS;OTB;;;;;10.40;0.00;7.50;8.30;0.00;80.00;0.00;1;1982-01-01;MFL;;;;1982-01-01
DNK;DNK000002004;;MOD;2008-05-06;2100-12-31;HG85;HG85;KARINA HARBO;28001;OU7700;Y;Y;N;;;;FX;LLS;GNS;;;;;8.30;0.00;6.00;0.00;0.00;45.00;0.00;3;1973-01-01;MFL;;;;1973-01-01
DNK;DNK000002029;;MOD;2012-10-17;2100-12-31;KR73;KR73;PACA;04015;XP2407;Y;Y;N;;;;FX;GNS;NO;;;;;9.00;0.00;6.30;7.40;0.00;53.00;0.00;1;1973-01-01;MFL;;;;1972-01-01
DNK;DNK000002038;;MOD;2019-06-14;2021-04-08;DNK000002038;RI120;JASMIN;20001;XP4334;Y;Y;N;N;N;;MTG;GNS;SDN;OTB;LLS;;;10.86;10.86;8.10;0.00;0.00;78.00;0.00;3;1982-01-01;MFL;;;;1982-01-01
DNK;DNK000002048;;MOD;2015-06-12;2021-10-19;FN19;FN19;MAVIVA;12001;5PCR;Y;Y;N;;;;MTG;GNS;OTB;;;;;9.12;0.00;7.10;0.00;0.00;48.00;0.00;1;1970-01-01;MFL;;;;1970-01-01
DNK;DNK000002054;;MOD;2007-01-01;2100-12-31;NF7;NF7;DYBVIG;31023;XP2484;Y;Y;N;;;;FX;GNS;GNS;;;;;8.53;0.00;6.20;0.00;0.00;57.00;0.00;1;1972-01-01;MFL;;;;1972-01-01
DNK;DNK000002055;;MOD;2019-01-21;2100-12-31;;HG21;TWONBY;28001;OU3144;Y;Y;N;N;N;;WO;GNS;LLS;FPO;;;;8.40;8.40;6.10;0.00;0.00;52.96;0.00;3;1975-01-01;MFL;;;;1975-01-01
DNK;DNK000002112;;MOD;2003-01-01;2100-12-31;N34;N34;INGE;31007;;N;Y;N;;;;FX;GNS;NO;;;;;8.30;0.00;4.20;5.08;0.00;33.00;0.00;1;1964-01-01;MFL;;;;1964-01-01
DNK;DNK000002143;;MOD;2003-01-01;2100-12-31;O33;O33;METTE;08018;;N;Y;N;;;;FX;GNS;GNS;;;;;7.70;0.00;4.10;5.65;0.00;22.00;0.00;3;1976-01-01;MFL;;;;1976-01-01
DNK;DNK000002161;;MOD;2003-01-01;2100-12-31;O80;O80;BIRGITTE;08018;;N;Y;N;;;;FX;GNS;GNS;;;;;7.70;0.00;4.10;5.65;0.00;16.00;0.00;3;1978-01-01;MFL;;;;1978-01-01
DNK;DNK000002241;;MOD;2010-01-12;2100-12-31;SØ70;SØ70;OILFIX;18034;OU8253;Y;Y;N;;;;FX;GNS;OTB;;;;;10.32;0.00;10.30;0.00;0.00;85.00;0.00;1;1975-01-01;MFL;;;;1955-01-01
DNK;DNK000002280;;MOD;2017-01-16;2021-03-16;DNK000002280;KR221;ANNA-IDA;04015;OXRH;Y;Y;Y;Y;N;;SN;SDN;NO;;;;;14.98;14.24;29.50;0.00;0.00;108.00;0.00;2;1968-01-01;MFL;;;;
DNK;DNK000002382;;MOD;2009-01-07;2100-12-31;SG77;SG77;LINEA;09083;XP2671;Y;Y;Y;;;;FX;OTB;OTB;;;;;13.81;12.62;20.70;0.00;0.00;125.00;0.00;1;1966-01-01;MFL;;;;1966-01-01
DNK;DNK000002389;;MOD;2003-01-01;2100-12-31;RU55;RU55;MARIE;09037;;N;Y;N;;;;FX;GNS;GNS;;;;;10.17;0.00;9.90;0.00;0.00;74.00;0.00;1;1964-01-01;MFL;;;;1964-01-01
DNK;DNK000002575;;MOD;2020-09-21;2100-12-31;;KE155;METTE;01024;XP2863;Y;Y;N;N;N;;WO;GNS;LLS;;;;;8.38;8.38;6.20;0.00;0.00;50.00;0.00;3;1978-01-01;MFL;;;;1976-01-01
DNK;DNK000002688;;MOD;2003-03-25;2100-12-31;SG2;SG2;HOU SAND;09048;XP3597;Y;Y;N;;;;FX;GNS;GNS;;;;;7.70;0.00;4.10;6.10;0.00;16.00;0.00;3;1977-01-01;MFL;;;;1977-01-01
DNK;DNK000002699;;MOD;2017-12-15;2100-12-31;DNK000002699;SG3;LÆRKE;09061;XP3105;Y;Y;N;N;N;;WO;GNS;LLS;OTB;;;;6.89;6.89;4.60;0.00;0.00;52.00;0.00;3;1973-01-01;MFL;;;;1973-01-01
DNK;DNK000002724;;MOD;2003-01-01;2100-12-31;SG71;SG71;ANNE-GITTE;09058;XP6694;Y;Y;N;;;;FX;GNS;LTL;;;;;7.70;0.00;4.10;6.10;0.00;16.00;0.00;3;1977-01-01;MFL;;;;1977-01-01
DNK;DNK000002745;;MOD;2003-01-01;2100-12-31;SG125;SG125;ADA;09037;;N;Y;N;;;;FX;GNS;LLS;;;;;7.04;0.00;4.10;5.65;0.00;51.00;0.00;3;1974-01-01;MFL;;;;1974-01-01
DNK;DNK000002753;;MOD;2010-05-05;2100-12-31;HV4;HV4;LINN;18002;XP3584;Y;Y;N;;;;FX;GNS;OTB;;;;;9.21;0.00;5.20;0.00;0.00;59.00;0.00;3;1977-01-01;MFL;;;;1977-01-01
DNK;DNK000002771;;MOD;2014-02-15;2021-09-30;L315;L315;GRETA SMITH;22011;XP4353;Y;Y;N;;;;WO;GNS;OTB;;;;;8.86;0.00;4.40;0.00;0.00;45.00;0.00;3;1982-01-01;MFL;;;;1982-01-01
DNK;DNK000002773;;MOD;2005-04-23;2100-12-31;SG185;SG185;ALBATROS;09040;XP3483;Y;Y;N;;;;FX;GNS;GNS;;;;;7.70;0.00;4.10;0.00;0.00;31.00;0.00;3;1976-01-01;MFL;;;;1976-01-01
DNK;DNK000002981;;MOD;2007-01-01;2100-12-31;DNK000002981;S538;SI-WU;11001;XP3434;Y;Y;N;N;N;;WO;GNS;LTL;NO;;;;8.62;8.62;4.40;0.00;0.00;22.00;0.00;3;1976-01-01;MFL;;;;1976-01-01
DNK;DNK000003001;;MOD;2016-09-07;2100-12-31;RI99;RI99;VETTE;20001;;N;Y;N;;;;FX;GNS;NO;;;;;8.40;0.00;2.00;0.00;0.00;32.00;0.00;3;2008-01-01;MFL;;;;1975-01-01
DNK;DNK000003371;;MOD;2005-04-08;2100-12-31;KE183;KE183;SPJÆT;01024;XP2418;Y;N;N;;;;FX;LLS;GNS;;;;;9.21;0.00;5.90;7.07;0.00;24.00;0.00;1;1965-01-01;MFL;;;;1964-01-01
DNK;DNK000003412;;MOD;2003-01-01;2100-12-31;L10;L10;HAVKATTEN;23001;OZWL;Y;Y;N;;;;FX;GNS;GNS;;;;;11.50;0.00;16.70;0.00;0.00;44.00;0.00;1;1940-01-01;MFL;;;;1940-01-01
DNK;DNK000003710;;MOD;2016-01-04;2100-12-31;K350;K350;CADIMO;32024;XP4027;Y;Y;N;;;;FX;GNS;GNS;;;;;10.60;0.00;7.30;0.00;0.00;88.00;0.00;3;1980-01-01;MFL;;;;1980-01-01
DNK;DNK000003776;;MOD;2018-02-15;2021-12-01;SG132;SG132;LILI-ANE;09034;XP3450;Y;Y;N;;;;WO;GNS;GNS;;;;;7.47;0.00;3.50;0.00;0.00;46.00;0.00;3;1976-01-01;MFL;;;;1976-01-01
