Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
LTU;LTU000000133;;MOD;2018-09-18;2100-12-31;KL 4330;KL 4330;BANGINIS;LTKLJ;;N;Y;N;N;N;;FX;GNS;FPO;;;;;10.70;0.00;9.04;0.00;0.00;65.00;0.00;2;1980-12-31;MFL;;;;1980-01-01
LTU;LTU000000134;;MOD;2014-06-16;2100-12-31;LT-P-624;LT-P-624;LT-P-624;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.20;0.00;0.59;0.00;0.00;22.00;0.00;2;1986-12-31;MFL;;;PA;1986-01-01
LTU;LTU000000141;;CEN;2004-05-01;2100-12-31;N 292;N 292;N 292;LTNID;;N;Y;N;N;N;;FX;GNS;GTR;;;;;5.00;0.00;0.37;0.00;0.00;40.00;0.00;1;1991-12-31;MFL;;;;1991-01-01
LTU;LTU000000142;;CEN;2004-05-01;2100-12-31;N 1627;N 1627;N 1627;LTKLJ;;N;Y;N;N;N;;FX;GNS;GTR;;;;;6.80;0.00;0.97;0.00;0.00;23.00;0.00;1;2003-03-26;MFL;;;;2003-01-01
LTU;LTU000000149;;MOD;2020-01-06;2100-12-31;LT-P-540;LT-P-540;LT-P-540;LTKLJ;;N;Y;N;N;N;;FX;GNS;FPO;;;;;10.70;0.00;11.88;0.00;0.00;44.16;0.00;2;1976-12-31;MFL;;;PA;1976-01-01
LTU;LTU000000151;;CEN;2004-05-01;2100-12-31;N 102;N 102;N 102;LTKLJ;;N;Y;N;N;N;;FX;GNS;GTR;;;;;5.75;0.00;1.26;0.00;0.00;60.00;0.00;2;1979-12-31;MFL;;;;1979-01-01
LTU;LTU000000152;;CEN;2004-05-01;2022-01-25;N 1779;N 1779;N 1779;LTKLJ;;N;Y;N;N;N;;FX;GNS;GTR;;;;;9.50;0.00;10.70;0.00;0.00;60.00;0.00;3;1991-12-31;MFL;;;;1991-01-01
LTU;LTU000000153;;MOD;2013-10-14;2100-12-31;LT-P-693;LT-P-693;LT-P-693;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.65;0.00;1.00;0.00;0.00;14.72;0.00;3;1997-12-31;MFL;;;;1997-01-01
LTU;LTU000000177;;MOD;2016-09-19;2100-12-31;LT-P-741;LT-P-741;LT-P-741;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.65;0.00;1.00;0.00;0.00;29.40;0.00;3;1998-12-31;MFL;;;;1998-01-01
LTU;LTU000000178;;MOD;2019-01-16;2100-12-31;LT-P-711;LT-P-711;LT-P-711;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.65;0.00;1.06;0.00;0.00;18.40;0.00;3;1997-07-22;MFL;;;PA;1996-01-01
LTU;LTU000000179;;MOD;2013-10-25;2100-12-31;658;LT-P-658;LT-P-658;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.00;0.00;1.16;0.00;0.00;14.70;0.00;3;2001-01-01;MFL;;;;1996-01-01
LTU;LTU000000180;;CEN;2004-05-01;2100-12-31;KL 2535;KL 2535;KL 2535;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;9.00;0.00;4.72;0.00;0.00;19.00;0.00;2;1972-12-29;MFL;;;;1972-01-01
LTU;LTU000000186;;MOD;2013-03-13;2021-09-21;KL 6698;KL 6698;KL 6698;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.50;0.00;1.13;0.00;0.00;36.80;0.00;3;2003-06-02;MFL;;;PA;2003-01-01
