Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
NLD;GBR000C17019;;MOD;2020-07-27;2100-12-31;GBR000C17019;IJM-22;BLACK JACK;IJM;PCPX;Y;Y;Y;Y;Y;244810301;MO;TBB;NO;;;;;14.10;0.00;24.00;0.00;0.00;221.00;0.00;2;2013-09-30;MFL;;;;1987-01-01
NLD;GBR000C17393;9222182;IMP;2017-10-12;2100-12-31;GBR000C17393;UK-272;ADRIAANTJE;UK;PDIG;Y;Y;Y;Y;Y;244140343;TU;OTT;NO;;;;;28.00;0.00;468.00;0.00;0.00;1060.00;360.00;2;2001-07-01;MFL;GBR;;;2001-01-01
NLD;GBR000C18147;;MOD;2015-05-01;2100-12-31;GBR000C18147;YE-117;DEN BREE�N;YE;;N;Y;N;;;;FX;DRB;DRH;;;;;21.00;0.00;99.00;0.00;0.00;587.00;625.00;2;2012-07-17;AQU;;;;2004-01-01
NLD;GBR000C18358;;MOD;2019-01-28;2100-12-31;GBR000C18358;UK-81;ALICE;UK;;N;Y;N;N;N;;GO;GNS;LHP;;;;;6.50;0.00;1.00;0.00;0.00;30.00;0.00;3;2011-04-15;MFL;;;;2004-01-01
NLD;GBR000C19588;9454371;IMP;2018-03-23;2100-12-31;GBR000C19588;UK-160;RIEMDA;NLURK;PDJX;Y;Y;Y;Y;Y;244170169;SN;OTT;SSC;;;;;32.90;0.00;300.00;0.00;0.00;720.00;344.00;2;2010-03-05;MFL;GBR;;;2007-01-01
NLD;IRL000I01444;;MOD;2015-12-09;2100-12-31;IRL000I01444;YE-243;CREADAN LADY;YE;PBHV;Y;Y;Y;Y;Y;244870246;DO;HMD;DRB;;;;;43.60;0.00;473.00;0.00;0.00;940.00;500.00;2;2015-11-30;MFL;;;;2004-01-01
NLD;IRL000I11722;8700802;MOD;2017-05-11;2021-03-15;IRL000I11722;UK-22;STELLA POLARIS;NLURK;PHSU;Y;Y;Y;Y;Y;245308000;SPE;SSC;OTB;;;;;29.80;0.00;224.00;0.00;0.00;736.00;450.00;2;2005-12-15;MFL;;;;1986-01-01
NLD;NLD000000114;;MOD;2010-04-07;2100-12-31;NLD000000114;UK-35;KORNELIS;UK;;N;Y;N;;;;FX;GNS;OTB;;;;;9.20;0.00;5.00;0.00;0.00;30.00;0.00;;2006-08-15;MFL;;;;
NLD;NLD000001107;;MOD;2009-06-22;2021-01-18;NLD000001107;IJM-6;ELISABETH;IJM;;N;Y;N;N;N;;FX;GNS;OTB;;;;;8.19;0.00;2.00;0.00;0.00;89.00;0.00;3;2009-05-07;MFL;;;;
NLD;NLD000002014;;CHA;2016-06-03;2100-12-31;NLD000002014;WR-60;MARINA MARGRETHA;WR;;N;Y;N;;;;FX;OTB;FPO;;;;;3.60;0.00;1.00;0.00;0.00;11.00;0.00;3;2016-06-03;MFL;;;;2010-01-01
NLD;NLD000002670;;MOD;2012-08-28;2100-12-31;NLD000002670;IJM-324;SYMEN;NLIJM;;N;Y;N;N;N;;GO;GNS;FPO;;;;;5.20;0.00;1.00;0.00;0.00;7.30;0.00;3;2003-08-11;MFL;;;;1990-01-01
NLD;NLD000002672;8571237;MOD;2020-10-02;2100-12-31;NLD000002672;TS-31;INTERNOS;TS;PC6732;Y;Y;Y;Y;N;;FX;FPO;GNS;;;;;35.97;0.00;122.00;0.00;0.00;127.00;17.50;2;2002-12-30;MFL;;;;1927-01-01
NLD;NLD000002690;;MOD;2011-06-24;2100-12-31;NLD000002690;IJM-7;ELISABETH MARIA;IJM;PBJA;Y;Y;N;;;;FX;GNS;OTB;;;;;11.35;0.00;12.00;0.00;0.00;112.00;0.00;3;2003-12-04;MFL;;;;2003-01-01
