Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
SWE;DEU000130630;;MOD;2017-03-02;2100-12-31;SFD2268;VY21;AXELIA;326;SFD2268;Y;Y;N;;;;FX;OTM;OTB;;;;;11.89;0.00;19.40;0.00;0.00;174.00;50.00;3;2015-03-12;MFL;;;PA;2000-01-01
SWE;DNK000001560;;MOD;2013-11-29;2022-02-15;SFC8575;LL15;FELICIA;606;SFC8575;Y;Y;N;;;;FX;FPO;FPO;;;;;8.84;0.00;4.46;0.00;0.00;58.00;0.00;3;2008-02-08;MFL;;;PA;2008-01-01
SWE;DNK000003274;;MOD;2014-06-03;2100-12-31;SFC8101;SG24;ANGELICA;361;SFC8101;Y;Y;N;;;;FX;FPO;FPO;;;;;9.24;0.00;5.04;0.00;0.00;63.00;0.00;3;2006-11-14;MFL;;;PA;1970-01-01
SWE;DNK000003300;;MOD;2020-11-30;2100-12-31;SMBP;SD341;SUNDLAND II;SEGRE;SMBP;Y;Y;Y;Y;Y;266086000;FX;OTB;TBN;;;;;18.01;0.00;45.00;0.00;0.00;246.00;0.00;1;2009-06-02;MFL;;;PA;1969-01-01
SWE;DNK000004968;;MOD;2020-08-09;2100-12-31;SFC8728;HG3;JENNY;404;SFC8728;Y;Y;N;N;N;;WO;GNS;GND;;;;;9.90;0.00;7.15;0.00;0.00;62.00;0.00;1;2008-06-16;MFL;;;PA;1980-01-01
SWE;DNK000006100;;IMP;2017-09-01;2100-12-31;SFD2564;HG79;HILD;477;SFD2564;Y;Y;N;;;;FX;FPO;GNS;;;;;9.67;0.00;4.37;0.00;0.00;96.00;0.00;1;2017-06-07;MFL;DNK;;PA;1985-01-01
SWE;DNK000006137;8331833;MOD;2020-02-25;2100-12-31;SBAM;SM53;GLOMSKÄR;132;SBAM;Y;Y;Y;Y;Y;265020000;TT;OTM;NO;;;;;39.30;0.00;373.00;0.00;0.00;700.00;0.00;2;2020-02-05;MFL;;;PA;1983-01-01
SWE;DNK000006333;;MOD;2020-09-23;2021-10-04;SFC8535;GG477;AERÖ;593;SFC8535;Y;Y;N;N;N;;FX;TBN;OTB;;;;;10.23;0.00;8.80;0.00;0.00;98.00;0.00;1;2007-12-11;MFL;;;PA;1964-01-01
SWE;DNK000006457;;MOD;2019-02-12;2100-12-31;SFE2773;LL161;SVAN;592;SFE2773;Y;Y;Y;Y;Y;266354000;FX;TBN;OTB;;;;;14.86;0.00;28.00;0.00;0.00;153.00;0.00;1;2019-02-05;MFL;;;PA;1956-01-01
SWE;DNK000006974;;MOD;2020-07-28;2100-12-31;SFE2009;SIN77;MELINA;410;SFE2009;Y;Y;Y;Y;Y;265005000;FX;OTB;TBN;;;;;14.84;0.00;25.00;0.00;0.00;224.00;0.00;1;2018-02-02;MFL;;;PA;1992-01-01
SWE;DNK000007161;8424680;MOD;2016-07-25;2100-12-31;SHRM;VG59;LIPTON;534;SHRM;Y;Y;Y;Y;Y;265703000;FX;OTM;OTB;;;;;27.25;0.00;181.00;0.00;0.00;508.00;0.00;2;2016-02-23;MFL;;;PA;1984-01-01
SWE;DNK000007166;;CHA;2017-08-14;2100-12-31;SFD2583;HG20;HELLE;453;SFD2583;Y;Y;N;;;;FX;FPO;FPO;;;;;9.88;0.00;6.65;0.00;0.00;81.00;0.00;1;2017-07-04;MFL;;;PA;1976-01-01
SWE;DNK000007176;;MOD;2018-04-26;2021-05-05;SFD2124;GG31;EVA;518;SFD2124;Y;Y;N;;;;FX;OTB;FPO;;;;;9.99;0.00;14.00;0.00;0.00;154.45;0.00;3;2014-04-07;MFL;;;PA;1977-01-01
SWE;DNK000007223;;MOD;2020-11-02;2021-08-25;SGUN;LL677;OCEAN;SESMO;SGUN;Y;Y;Y;Y;Y;266083000;FX;OTB;TBN;;;;;19.06;0.00;64.00;0.00;0.00;276.00;0.00;1;2008-07-22;MFL;;;PA;1961-01-01
SWE;DNK000008105;;MOD;2018-11-08;2021-06-22;SFD2109;TG12;RÖNNSKÄR;475;SFD2109;Y;Y;N;N;N;;FX;OTB;NO;;;;;11.98;0.00;12.53;0.00;0.00;125.00;0.00;1;2014-02-25;MFL;;;PA;1977-01-01
