Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction,
PRT;DEU110000301;7234636;MOD;2021-01-01;2021-05-31;A-3911-N;A-3911-N;PRINCESA SANTA JOANA;A;CUIY6;Y;Y;Y;Y;Y;263588000;TTP;OTB;OTM;;;;;92.01;84.90;3104.00;0.00;0.00;3530.00;0.00;2;1973-02-01;MFL;;;PA;1973-01-01,
PRT;ESP000015586;8619687;MOD;2021-01-01;2021-05-31;A-3888-N;A-3888-N;NOVO VIRGEM DA BARCA;A;CUKB8;Y;Y;Y;Y;Y;263587000;TTP;OTB;NO;;;;;56.20;47.99;966.00;0.00;0.00;1879.00;0.00;2;1988-01-01;MFL;;;PA;1988-01-01,
PRT;ESP000023312;9148702;MOD;2019-05-31;2021-05-09;A-3902-C;A-3902-C;MAR DE ÁGUEDA;A;CUIX2;Y;Y;Y;Y;Y;263434960;TTW;OTB;NO;;;;;28.30;0.00;209.00;0.00;0.00;203.60;0.00;2;1996-10-28;MFL;;;PA;1996-01-01,
PRT;ESP000024061;9192844;MOD;2020-07-01;2021-05-31;L-2094-C;L-2094-C;MONTELOURO;L;CUZY3;Y;Y;Y;Y;Y;263436270;TTW;OTB;LLS;FPO;;;;28.00;23.32;227.24;0.00;0.00;315.50;172.00;2;1998-08-06;MFL;;;PA;1998-01-01,
PRT;ESP000024184;9192870;MOD;2019-01-28;2021-05-31;L-2091-C;L-2091-C;CRISTINA PEDROSA;L;CUIX5;Y;Y;Y;Y;Y;263435250;TTW;OTB;NO;;;;;28.00;0.00;217.82;0.00;0.00;544.20;0.00;2;1999-04-20;MFL;;;PA;1999-04-20,
PRT;ESP000024233;;MOD;2020-01-15;2021-05-31;CS-877-C;CS-877-C;VIRGEM DA PIEDADE;CS;CUJO7;Y;Y;Y;Y;Y;263436480;TTW;OTB;NO;;;;;16.31;13.83;25.59;0.00;0.00;95.62;0.00;3;1999-05-05;MFL;;;PA;1999-05-05,
PRT;ESP000024358;2858815;MOD;2021-01-01;2021-05-31;AN-197-C;AN-197-C;CARLOS CUNHA;AN;CUET2;Y;Y;Y;Y;Y;263422240;LL;GNS;LLD;;;;;20.50;17.38;87.03;0.00;0.00;317.00;0.00;2;1999-10-29;MFL;;;PA;1999-10-14,
PRT;ESP000024804;9223978;MOD;2020-02-21;2021-05-31;L-2092-C;L-2092-C;PRAIA SÃO FRANCISCO;L;CUXT7;Y;Y;Y;Y;Y;263434780;TTF;OTB;NO;;;;;28.00;23.32;227.11;0.00;0.00;538.70;242.70;2;2000-09-18;MFL;;;PA;2000-01-01,
PRT;ESP000024882;8687476;MOD;2021-01-01;2021-05-31;V-1097-C;V-1097-C;NOSSA;V;CUIC7;Y;Y;Y;Y;Y;263427750;LL;LLS;NO;;;;;26.10;22.67;210.32;0.00;0.00;128.70;0.00;2;2001-03-13;MFL;;;PA;2001-03-13,
PRT;ESP000025478;;MOD;2019-12-27;2021-05-31;O-2253-C;O-2253-C;CASADO MARTIN;O;CUIY5;Y;Y;Y;Y;Y;263435370;TTW;OTB;NO;;;;;23.00;19.65;75.58;0.00;0.00;165.50;41.22;3;2003-01-01;MFL;;;PA;2003-01-01,
PRT;ESP000025499;9313319;MOD;2021-01-01;2021-05-31;L-2093-C;L-2093-C;SIMON BALAYO SAMBADE;L;CUZY2;Y;Y;Y;Y;Y;263436260;TTW;OTB;NO;;;;;30.35;0.00;249.00;0.00;0.00;559.20;0.00;2;2003-03-05;MFL;;;PA;2003-01-01,
PRT;ESP000027665;8609357;MOD;2021-01-01;2021-05-31;V-1108-N;V-1108-N;SANTA PRINCESA;V;CUIZ5;Y;Y;Y;Y;Y;263589000;TTP;OTB;OTM;;;;;65.50;0.00;2165.00;0.00;0.00;3000.00;0.00;2;2014-12-05;MFL;;;PA;1986-02-01,
PRT;FRA000424711;8229470;MOD;2020-01-17;2021-05-31;C-1307-C;C-1307-C;SILMAR;C;CUZW6;Y;Y;Y;Y;Y;263435960;MOX;GNS;LLS;FPO;;;;22.00;19.38;142.47;0.00;0.00;323.00;0.00;3;1981-01-01;MFL;;;PA;1980-01-01,
PRT;GBR000C16878;;MOD;2020-05-25;2100-12-31;O-2249-L;O-2249-L;RUMO NOVO;O;;N;Y;N;N;N;;MOX;GNS;FPO;;;;;6.13;0.00;1.70;0.00;0.00;37.28;0.00;3;2006-06-06;MFL;;;PA;1989-01-01,
PRT;PRT000000077;7413153;MOD;2018-01-01;2021-05-31;LX-78-N;LX-78-N;SANDRO CUNHA;LX;CUZF;Y;N;N;N;Y;263506000;TTF;OTB;NO;;;;;36.50;33.90;324.00;288.42;0.00;809.03;0.00;2;1980-01-01;MFL;;;PA;1980-01-01,
PRT;PRT000000087;7385198;MOD;2021-01-01;2021-05-31;A-2701-N;A-2701-N;CALVAO;A;CUZD;Y;N;Y;Y;Y;263517000;TTP;OTB;NO;;;;;61.42;56.14;1084.00;1106.98;0.00;1471.00;0.00;2;1977-01-01;MFL;;;PA;1977-01-01,
PRT;PRT000000092;7362823;MOD;2020-01-01;2021-04-19;A-2318-N;A-2318-N;AVEIRENSE;A;CUFV;Y;N;Y;Y;Y;263502000;TTP;OTB;NO;;;;;80.02;72.67;1990.00;1995.35;0.00;2648.00;0.00;2;1974-01-01;MFL;;;PA;1974-01-01,
PRT;PRT000000095;7228091;MOD;2021-01-01;2021-05-31;A-2204-N;A-2204-N;COIMBRA;A;CUFT;Y;Y;Y;Y;Y;263555000;TTP;OTB;NO;;;;;80.30;72.53;1926.00;1598.29;0.00;2207.00;0.00;2;1972-01-01;MFL;;;PA;1972-01-01,
PRT;PRT000000099;6805268;MOD;2021-01-01;2021-05-31;A-1940-N;A-1940-N;SANTA MAFALDA;A;CUFH;Y;Y;Y;Y;Y;263528000;TTP;OTB;NO;;;;;80.30;72.48;1944.00;1640.70;0.00;2181.00;0.00;2;1968-01-01;MFL;;;PA;1968-01-01,
PRT;PRT000000100;6711390;MOD;2018-01-01;2021-05-31;A-3337-N;A-3337-N;LUTADOR;A;CUFG;Y;Y;Y;Y;Y;263503000;TTP;OTB;NO;;;;;80.35;72.53;1917.00;1576.94;0.00;1750.00;0.00;2;1967-01-01;MFL;;;PA;1967-01-01,
PRT;PRT000000101;6608309;MOD;2021-01-01;2021-05-31;A-1827-N;A-1827-N;SANTA CRISTINA;PTAVE;CUFE;Y;Y;Y;Y;Y;263531000;TTP;OTB;NO;;;;;80.30;72.48;1919.00;1673.10;0.00;1853.00;0.00;2;1966-01-01;MFL;;;PA;1966-01-01,
PRT;PRT000000104;8506103;MOD;2018-01-01;2021-05-31;LX-74-N;LX-74-N;FRAPEC;LX;CUGB;Y;N;N;N;N;;TTF;OTB;NO;;;;;35.08;32.40;373.00;263.73;0.00;809.03;0.00;2;1988-01-01;MFL;;;PA;1987-01-01,
PRT;PRT000000115;5158802;MOD;2021-01-01;2021-05-31;L-3-N;L-3-N;ILHA BRAVA;L;CSPI;Y;Y;Y;Y;Y;263564000;LL;LLD;NO;;;;;45.50;40.15;453.00;336.63;0.00;544.00;0.00;2;1951-01-01;MFL;;;PA;1951-01-01,
PRT;PRT000000123;8411712;MOD;2018-01-01;2021-05-31;A-3246-C;A-3246-C;LUISA BALSEIRO;A;CUSJ;Y;Y;Y;Y;Y;263438000;TTW;OTB;NO;;;;;24.23;0.00;155.54;133.49;0.00;515.00;0.00;2;1986-01-01;MFL;;;PA;1986-01-01,
PRT;PRT000000133;;MOD;2021-01-01;2021-03-14;N-2176-C;N-2176-C;FORTUNA DO MAR;N;CUGB3;Y;N;Y;Y;Y;263322000;MOX;LLS;GNS;;;;;15.98;0.00;22.52;28.76;0.00;141.68;0.00;1;1966-12-22;MFL;;;PA;1966-01-01,
PRT;PRT000000141;;MOD;2010-10-29;2021-05-31;O-2218-C;O-2218-C;VILA DO MAR;O;CUGR5;Y;Y;N;;;;MOX;GNS;GTR;;;;;14.05;0.00;20.45;22.11;0.00;110.00;0.00;1;1985-12-31;MFL;;;PA;1985-01-01,
PRT;PRT000000142;;MOD;2015-01-01;2021-05-31;SB-1154-C;SB-1154-C;CARLOS E GASPAR;SB;CUFC2;Y;Y;Y;;;;LL;GNS;LLS;;;;;17.00;0.00;30.55;35.04;0.00;145.41;0.00;1;1980-01-01;MFL;;;PA;1979-01-01,
PRT;PRT000000145;;MOD;2007-05-29;2021-05-31;PM-105-C;PM-105-C;BARRINHA;PM;CUPT4;Y;Y;Y;;;;MOX;GNS;FPO;;;;;15.34;0.00;23.78;18.68;0.00;102.97;0.00;1;1969-12-31;MFL;;;PA;1969-01-01,
PRT;PRT000000155;;MOD;2015-01-01;2021-05-31;VR-516-C;VR-516-C;PIRATA DO MAR;VR;CUQM2;Y;Y;Y;;;;LL;LLD;GTR;;;;;14.96;12.96;23.00;22.43;0.00;119.31;0.00;1;1981-01-01;MFL;;;PA;1981-01-01,
PRT;PRT000000161;;MOD;2018-01-01;2021-07-01;SB-319-C;SB-319-C;PAI DO CEU;SB;CUKF6;Y;Y;N;N;Y;263402570;MOX;GNS;GTR;;;;;14.12;0.00;20.77;20.77;0.00;111.85;0.00;1;1971-01-01;MFL;;;PA;1971-01-01,
