Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
IRL;BEL010322007;;MOD;2019-07-03;2100-12-31;394;SO394;DONNA JULIE II;IESLI;EIQL8;Y;Y;N;N;N;;MO;OTB;FPO;GNS;DRB;;;11.50;0.00;12.40;0.00;0.00;93.26;9.60;3;2007-08-20;MFL;;;PA;2007-01-01
IRL;BEL030471980;7902441;MOD;2007-03-30;2100-12-31;47;WD47;SATURNUS;IEWEX;EI8999;Y;Y;Y;Y;Y;;TO;DRB;NK;;;;;27.55;0.00;187.00;0.00;0.00;524.00;0.00;3;1998-10-07;MFL;;;PA;1980-01-01
IRL;DEU302620207;9107617;MOD;2019-07-16;2021-11-24;86;WD86;LADY LU;WD;EITI9;Y;Y;Y;Y;Y;;DO;DRB;NK;;;;;24.00;0.00;154.00;0.00;0.00;221.00;0.00;2;1995-01-01;MFL;;;PA;1995-01-01
IRL;DEU401220101;9019353;MOD;2018-02-14;2100-12-31;30;WD30;MARY KATE;IEWEX;EIDY9;Y;Y;Y;Y;Y;;TO;TBB;OTB;;;;;28.05;0.00;196.00;0.00;0.00;221.00;0.00;2;1992-01-01;MFL;;;;1992-01-01
IRL;DEU500310102;8404848;MOD;2020-10-22;2100-12-31;323A;WD323A;EDE CUNZE;IEWEX;EIUA6;Y;Y;Y;N;Y;;DO;DRB;NK;;;;;33.10;0.00;134.00;0.00;0.00;292.00;0.00;2;1984-01-01;AQU;;;PA;1984-01-01
IRL;DEU500830113;8702094;IMP;2019-09-24;2100-12-31;182A;DA182A;EX MARE GRATIA;IEDRO;EIVR2;Y;Y;Y;N;Y;;DO;DRB;NK;;;;;36.00;0.00;186.00;0.00;0.00;383.00;0.00;2;1987-01-01;AQU;GBR;;PA;1986-01-01
IRL;DNK000003296;8108626;MOD;2019-02-01;2021-01-03;626;S626;ANDERS NEES;IESKB;EINC6;Y;Y;Y;Y;Y;;TO;OTB;SDN;;;;;26.27;0.00;215.00;0.00;0.00;423.00;0.00;2;1982-01-01;MFL;;;PA;1981-01-01
IRL;DNK000011569;8802569;MOD;2019-01-14;2021-11-21;70;DA70;MIANDA;DA;EI8697;Y;Y;Y;Y;Y;;TO;OTB;NK;;;;;25.45;0.00;170.00;0.00;0.00;180.00;0.00;2;2006-01-01;MFL;;;PA;1987-01-01
IRL;DNK000029627;9152686;IMP;2008-02-07;2100-12-31;74;WD74;WILLIE JOE;IEWEX;EIEI3;Y;Y;Y;Y;Y;;DO;DRB;NK;;;;;23.95;0.00;139.00;0.00;0.00;220.00;85.00;2;1997-06-01;MFL;DNK;;PA;1997-01-01
IRL;FIN000101242;9189330;MOD;2016-08-24;2100-12-31;135;S135;MENHADEN;IESKB;EIVT;Y;Y;Y;Y;Y;;TO;PTM;OTM;;;;;49.70;0.00;816.00;0.00;0.00;895.00;0.00;2;1999-06-15;MFL;;;;1999-01-01
IRL;FRA000317605;8557683;MOD;2019-10-14;2021-11-21;69;DA69;LE DOLMEN;DA;EI8578;Y;Y;Y;Y;Y;;TO;OTB;NK;;;;;20.45;0.00;97.00;0.00;0.00;309.00;0.00;3;1975-01-01;MFL;;;PA;1975-01-01
IRL;FRA000492696;8577190;MOD;2016-07-05;2100-12-31;434;S434;BONNE CHANCE;IESKB;EI6880;Y;Y;Y;Y;Y;;TO;OTB;NK;;;;;17.04;0.00;44.00;0.00;0.00;228.00;0.00;2;1982-01-30;MFL;;;PA;1980-01-01
IRL;FRA000506967;8319809;MOD;2019-11-19;2021-09-22;48;DA48;FRAGRANT CLOUD;IEDRO;EI2495;Y;Y;Y;Y;Y;;MO;OTM;NK;;;;;24.95;0.00;172.00;0.00;0.00;324.00;0.00;3;1984-06-20;MFL;;;PA;1984-01-01
IRL;FRA000514575;8580185;MOD;2020-11-03;2021-06-10;700;S700;MEN-SCOEDEC;IESKB;EIBG8;Y;Y;Y;Y;Y;;TO;GNS;FPO;;;;;19.25;0.00;85.00;0.00;0.00;96.00;0.00;2;1982-12-19;MFL;;;PA;1982-06-01
IRL;FRA000514596;8586567;MOD;2018-04-19;2021-12-06;447;S447;EDELWEISS;S;EI8471;Y;Y;Y;Y;N;;MO;OTB;GNS;;;;;14.99;0.00;31.20;0.00;0.00;220.00;0.00;3;1982-01-01;MFL;;;;1982-01-01
IRL;FRA000531363;8581000;MOD;2017-02-24;2100-12-31;895;SO895;THE BOY CONOR;IESLI;EI7478;Y;Y;Y;Y;Y;;TO;OTB;NK;;;;;20.50;0.00;94.00;0.00;0.00;272.33;0.00;2;1981-01-01;MFL;;;;1981-01-01
IRL;FRA000546676;8558508;MOD;2019-10-29;2100-12-31;325;C325;JENNY M;IEORK;EIBN6;Y;Y;Y;Y;Y;;GO;FPO;OTB;GND;;;;19.20;0.00;79.00;0.00;0.00;298.44;104.00;2;1982-02-01;MFL;;;PA;1981-01-01
IRL;FRA000555235;8576768;IMP;2019-11-29;2100-12-31;137;DA137;EMERALD SHORE;IEDRO;EIWG4;Y;Y;Y;Y;Y;;TO;OTB;NK;;;;;16.89;0.00;55.00;0.00;0.00;269.00;0.00;2;1982-10-07;MFL;FRA;;PA;1982-01-01
IRL;FRA000555504;9098050;MOD;2017-03-02;2100-12-31;511;S511;KRISTEL PATRICK;IESKB;EICH5;Y;Y;Y;Y;Y;;TO;OTM;GNS;;;;;20.30;0.00;117.00;0.00;0.00;368.00;0.00;2;1984-01-01;MFL;;;;1984-01-01
IRL;FRA000555508;8650980;MOD;2020-09-22;2100-12-31;57;S57;JERH O'D;IESKB;EICX6;Y;Y;Y;Y;Y;;TO;OTM;GNS;SSC;OTB;;;20.40;0.00;110.00;0.00;0.00;324.00;0.00;2;1984-03-01;MFL;;;PA;1984-01-01
IRL;FRA000555516;8558118;MOD;2020-07-21;2021-03-09;885;G885;CHALLENGER;IEGWY;EITL3;Y;Y;Y;Y;Y;;TO;OTB;OTM;;;;;16.94;0.00;62.00;0.00;0.00;298.00;0.00;2;1983-01-01;MFL;;;PA;1983-01-01
IRL;FRA000584767;8502339;MOD;2020-07-03;2021-04-29;80;DA80;VIRTUOUS;IEDRO;EIDC6;Y;Y;Y;Y;Y;;TO;OTB;NK;;;;;23.40;0.00;163.00;0.00;0.00;400.00;0.00;2;1984-12-03;MFL;;;PA;1984-01-01
IRL;FRA000584826;9098189;MOD;2017-03-13;2100-12-31;688;G688;OCEAN HARVESTER II;IEGWY;EIDI4;Y;Y;Y;Y;Y;;TO;OTB;NK;;;;;22.90;0.00;156.00;0.00;0.00;400.00;0.00;2;1986-01-01;MFL;;;;1986-01-01
IRL;FRA000584850;8705175;MOD;2020-12-10;2021-07-26;18;DA18;COURAGEOUS;IEDRO;EIGP4;Y;Y;Y;Y;Y;;TO;OTB;NK;;;;;23.40;0.00;163.00;0.00;0.00;399.00;60.00;2;1986-09-22;MFL;;;PA;1986-01-01
IRL;FRA000585033;9068598;MOD;2015-03-02;2100-12-31;483;S483;HANNAH J;IESKB;EI8715;Y;Y;Y;Y;Y;;TO;GNS;OTM;;;;;20.40;0.00;103.00;0.00;0.00;360.00;0.00;2;1990-01-01;MFL;;;;1990-01-01
IRL;FRA000590122;8319811;MOD;2017-10-05;2100-12-31;59;DA59;DEVOTION;IEDRO;EI7060;Y;Y;Y;Y;Y;;TO;OTM;OTB;;;;;25.22;0.00;159.00;0.00;0.00;403.00;0.00;2;2004-01-30;MFL;;;;1984-01-01
IRL;FRA000627917;8705163;IMP;2019-04-08;2021-01-27;5;DA5;CELTIC ORIEL;DA;EIUX6;Y;Y;Y;Y;Y;;TO;OTB;SPR;OTM;;;;23.40;0.00;157.00;0.00;0.00;515.00;0.00;2;1986-10-07;MFL;FRA;;PA;1985-12-18
