"region";"sppName";"latinName";"RFMO";"RFMO_Stock_ID";"FIDES_stockID";"area";"areaBis";"TAC.area.description";"Comments";"reportingName";"latinName_old";"FIDES_stockID_old"
"Other regions";"Sharks, rays & skates, Shark-like Selachii";" Rajidae";"WECAFC";NA;"No TAC";"West Central Atlantic";"31";"";"";" Rajidae";" Rajidae";"No TAC"
"Other regions";"Wahoo";"Acanthocybium solandri";"WCPFC";NA;"No TAC";"West Central Pacific Ocean";"71";"";"";"Acanthocybium solandri";"Acanthocybium solandri";"No TAC"
"Other regions";"Wahoo";"Acanthocybium solandri";"ICCAT";NA;"No TAC";"Atlantic Ocean and adjacent seas";"21,31,27,34,37";"";"";"Acanthocybium solandri";"Acanthocybium solandri";"No TAC"
"North Atlantic";"Queen scallop";"Aequipecten opercularis";"ICES";NA;"No TAC";"VII";"27_7";"";"";"Aequipecten opercularis";"Aequipecten opercularis";"No TAC"
"North Atlantic";"Smoothhead";"Alepocephalus bairdii";"ICES";NA;"No TAC";"VI,XII";"27_6,27_12";"";"";"Alepocephalus bairdii";"Alepocephalus bairdii";"No TAC"
"Other regions";"";"Allocyttus guineensis";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Allocyttus guineensis";"Allocyttus guineensis";"No TAC"
"Other regions";"Oreo dories";"Allocyttus verucossus";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Allocyttus verucossus";"Allocyttus verucossus";"No TAC"
"Other regions";"Pelagic thresher shark";"Alopias pelagicus";"IOTC";NA;"No TAC";"Indian Ocean Western and Eastern";"51,57";"";"";"Alopias pelagicus";"Alopias pelagicus";"No TAC"
"Other regions";"Pelagic thresher";"Alopias pelagicus";"WCPFC";NA;"No TAC";"West Central Pacific Ocean";"71";"";"";"Alopias pelagicus";"Alopias pelagicus";"No TAC"
"Other regions";"Bigeye thresher shark";"Alopias superciliosus";"IOTC";NA;"No TAC";"Indian Ocean Western and Eastern";"51,57";"";"";"Alopias superciliosus";"Alopias superciliosus";"No TAC"
"Other regions";"big eye thresher";"Alopias superciliosus";"WCPFC";NA;"No TAC";"West Central Pacific Ocean";"71";"";"";"Alopias superciliosus";"Alopias superciliosus";"No TAC"
"Other regions";"Common thresher";"Alopias vulpinus";"WCPFC";NA;"No TAC";"West Central Pacific Ocean";"71";"";"";"Alopias vulpinus";"Alopias vulpinus";"No TAC"
"North Sea and Eastern Arctic";"Thresher";"Alopias vulpinus";"ICES";NA;"No TAC";"all areas";"27_4,27_7_D";"";"";"Alopias vulpinus";"Alopias vulpinus";"No TAC"
"Mediterranean and Black Sea";"Thresher";"Alopias vulpinus";"GFCM";NA;"No TAC";"All areas";"all areas in the Med";"";"";"Alopias vulpinus";"Alopias vulpinus";"No TAC"
"Other regions";"Thorny skate";"Amblyraja radiata";"NAFO 3LNOPs";NA;"";"21";"";"";"";"Amblyraja radiata";"Amblyraja radiata";""
"North Sea and Eastern Arctic";"Starry ray";"Amblyraja radiata";"ICES";NA;"No TAC";"IV";"27_4";"";"";"Amblyraja radiata";"Amblyraja radiata";"No TAC"
"North Sea and Eastern Arctic";"Sand eel";"Ammodytes spp,Ammodytes tobianus";"ICES";NA;"SAN2A3A4.,SAN04-N.";"IV";"27_4";"IIIa,   EC waters of IIa and IV";"";"Ammodytes spp";"Ammodytidae";"SAN2A3A4."
"North Sea and Eastern Arctic";"Sand eel";"Ammodytes spp,Ammodytes tobianus";"ICES";NA;"SAN2A3A4.";"IIIa";"27_3_A";"IIIa,   EC waters of IIa and IV";"";"Ammodytes spp";"Ammodytidae";"SAN2A3A4."
