Catch_group	Section	Subsection	Subsubsection	Graph_type	Graph_variant	var	groupBy	groupBy2	facet	func	type_of_threshold	value_of_threshold	points_coord	plot_labels	png_dir	png_name	txt_dir	txt_name	newVarName	addExtraShp	extraShp
NULL	2	2.1	2.1.8	3		OfficialLandingCatchWeight	Harbour		Year	sum	top_n	20	Harbours	TRUE	outputs\RCG_NA\Annual_Overview\figures	2.1.8_3_1	outputs\RCG_NA\Annual_Overview\tables	2.1.8_3_1	Landings	TRUE	FAOshp
NULL	2	2.1	2.1.8	3		OfficialLandingCatchWeight	Harbour		Year	sum	percent	95	Harbours	FALSE	outputs\RCG_NA\Annual_Overview\figures	2.1.8_3_2	outputs\RCG_NA\Annual_Overview\tables	2.1.8_3_2	Landings	TRUE	FAOshp
NULL	2	2.1	2.1.8	3		OfficialLandingCatchWeight	Harbour		Year	sum	percent	100	Harbours	FALSE	outputs\RCG_NA\Annual_Overview\figures	2.1.8_3_3	outputs\RCG_NA\Annual_Overview\tables	2.1.8_3_3	Landings	TRUE	FAOshp
NULL	2	2.1	2.1.5	4		OfficialLandingCatchWeight	Area		Year	sum	percent	100	FAOshp	TRUE	outputs\RCG_NA\Annual_Overview\figures	2.1.5_4	outputs\RCG_NA\Annual_Overview\tables	2.1.5_4	Landings	FALSE	
NULL	2	2.1	2.1.10	4		OfficialLandingCatchWeight	StatisticalRectangle		Year	sum	percent	100	StatRectshp	FALSE	outputs\RCG_NA\Annual_Overview\figures	2.1.10_4	outputs\RCG_NA\Annual_Overview\tables	2.1.10_4	Landings	TRUE	FAOshp
NULL	2	2.1	2.1.6	4		OfficialLandingCatchWeight	FishingGround		Year	sum	percent	100	FAOshpFG	TRUE	outputs\RCG_NA\Annual_Overview\figures	2.1.6_4	outputs\RCG_NA\Annual_Overview\tables	2.1.6_4	Landings	FALSE	
NULL	2	2.1	2.1.5	5		OfficialLandingCatchWeight	Area	FlagCountry	Year	sum	percent	100	FAOshp	TRUE	outputs\RCG_NA\Annual_Overview\figures	2.1.5_5	outputs\RCG_NA\Annual_Overview\tables	2.1.5_5	Landings	FALSE	
NULL	2	2.1	2.1.8	5		OfficialLandingCatchWeight	Harbour	FlagCountry	Year	sum	percent	95	Harbours	FALSE	outputs\RCG_NA\Annual_Overview\figures	2.1.8_5	outputs\RCG_NA\Annual_Overview\tables	2.1.8_5	Landings	TRUE	FAOshp
NULL	2	2.1	2.1.10	5		OfficialLandingCatchWeight	StatisticalRectangle	FlagCountry	Year	sum	percent	95	StatRectshp	FALSE	outputs\RCG_NA\Annual_Overview\figures	2.1.10_5	outputs\RCG_NA\Annual_Overview\tables	2.1.10_5	Landings	TRUE	FAOshp
NULL	2	2.1	2.1.6	5		OfficialLandingCatchWeight	FishingGround	FlagCountry	Year	sum	percent	100	FAOshpFG	TRUE	outputs\RCG_NA\Annual_Overview\figures	2.1.6_5	outputs\RCG_NA\Annual_Overview\tables	2.1.6_5	Landings	FALSE	
small pelagic	2	2.2	2.2.7	3		OfficialLandingCatchWeight	Harbour		Year	sum	top_n	20	Harbours	TRUE	outputs\RCG_NA\Annual_Overview\figures	2.2.7_3	outputs\RCG_NA\Annual_Overview\tables	2.2.7_3	Landings	TRUE	FAOshp
small pelagic	2	2.2	2.2.9	4		OfficialLandingCatchWeight	StatisticalRectangle		Year	sum	percent	100	StatRectshp	FALSE	outputs\RCG_NA\Annual_Overview\figures	2.2.9_4	outputs\RCG_NA\Annual_Overview\tables	2.2.9_4	Landings	TRUE	FAOshp
small pelagic	2	2.2	2.2.9	5		OfficialLandingCatchWeight	StatisticalRectangle	FlagCountry	Year	sum	percent	95	StatRectshp	FALSE	outputs\RCG_NA\Annual_Overview\figures	2.2.9_5	outputs\RCG_NA\Annual_Overview\tables	2.2.9_5	Landings	TRUE	FAOshp
demersal	2	2.3	2.3.7	3		OfficialLandingCatchWeight	Harbour		Year	sum	top_n	20	Harbours	TRUE	outputs\RCG_NA\Annual_Overview\figures	2.3.7_3	outputs\RCG_NA\Annual_Overview\tables	2.3.7_3	Landings	TRUE	FAOshp
demersal	2	2.3	2.3.10	4		OfficialLandingCatchWeight	StatisticalRectangle		Year	sum	percent	100	StatRectshp	FALSE	outputs\RCG_NA\Annual_Overview\figures	2.3.10_4	outputs\RCG_NA\Annual_Overview\tables	2.3.10_4	Landings	TRUE	FAOshp
demersal	2	2.3	2.3.10	5		OfficialLandingCatchWeight	StatisticalRectangle	FlagCountry	Year	sum	percent	95	StatRectshp	FALSE	outputs\RCG_NA\Annual_Overview\figures	2.3.10_5	outputs\RCG_NA\Annual_Overview\tables	2.3.10_5	Landings	TRUE	FAOshp
flatfish	2	2.4	2.4.9	5		OfficialLandingCatchWeight	StatisticalRectangle	FlagCountry	Year	sum	percent	95	StatRectshp	FALSE	outputs\RCG_NA\Annual_Overview\figures	2.4.9_5	outputs\RCG_NA\Annual_Overview\tables	2.4.9_5	Landings	TRUE	FAOshp
flatfish	2	2.4	2.4.7	3		OfficialLandingCatchWeight	Harbour		Year	sum	top_n	20	Harbours	TRUE	outputs\RCG_NA\Annual_Overview\figures	2.4.7_3	outputs\RCG_NA\Annual_Overview\tables	2.4.7_3	Landings	TRUE	FAOshp
flatfish	2	2.4	2.4.9	4		OfficialLandingCatchWeight	StatisticalRectangle		Year	sum	percent	100	StatRectshp	FALSE	outputs\RCG_NA\Annual_Overview\figures	2.4.9_4	outputs\RCG_NA\Annual_Overview\tables	2.4.9_4	Landings	TRUE	FAOshp
