"SpeciesAphiaID";"Species";"SpeciesDesc";"Family";"Order";"Class"
125946;"Trachurus";"Horse mackerel. WoRMS 125946";"Carangidae";"Carangiformes";"Actinopteri"
127023;"Scomber scombrus";"Atlantic mackerel";"Scombridae";"Scombriformes";"Actinopteri"
126421;"Sardina pilchardus";"European pilchard(=Sardine)";"Clupeidae";"Clupeiformes";"Actinopteri"
126422;"Sardinella aurita";"Spanish sardine";"Clupeidae";"Clupeiformes";"Actinopteri"
127022;"Scomber japonicus";"Chub mackerel";"Scombridae";"Scombriformes";"Actinopteri"
126823;"Trachurus trecae";"Cunene horse mackerel";"Carangidae";"Carangiformes";"Actinopteri"
273962;"Dentex dentex";"Common dentex";"Sparidae";"Eupercaria incertae sedis";"Actinopteri"
126426;"Engraulis encrasicolus";"European anchovy";"Engraulidae";"Clupeiformes";"Actinopteri"
127018;"Katsuwonus pelamis";"Skipjack tuna";"Scombridae";"Scombriformes";"Actinopteri"
125546;"Mugilidae";"Mullets";"Mugilidae";"Mugiliformes";"Actinopteri"
126945;"Parapristipoma octolineatum";"Parapristipoma octolineatum";"Haemulidae";"Eupercaria incertae sedis";"Actinopteri"
127021;"Sarda sarda";"Atlantic bonito";"Scombridae";"Scombriformes";"Actinopteri"
125564;"Sparidae";"porgies. WoRMS AphiaID 125564";"Sparidae";"Eupercaria incertae sedis";"Actinopteri"
125617;"Zeidae";"St. Peter fish (Zeidae)";"Zeidae";"Zeiformes";"Actinopteri"
126484;"Merluccius merluccius";"European hake";"Merlucciidae";"Gadiformes";"Actinopteri"
125721;"Sardinella";"Sardinella sp.";"Clupeidae";"Clupeiformes";"Actinopteri"
126064;"Scomberomorus";"Scomberomorus sp.";"Scombridae";"Scombriformes";"Actinopteri"
125571;"Trichiuridae";"Cutlassfishes (Trichiuridae)";"Trichiuridae";"Scombriformes";"Actinopteri"
273303;"Trachurus murphyi";"Pacific horse Mackerel";"Carangidae";"Carangiformes";"Actinopteri"
