"region";"sppName";"latinName";"RFMO";"RFMO_Stock_ID";"X3A_CODE";"FIDES_AREA";"area";"areaBis";"TAC.area.description";"Comments";"areaRDB"
"Baltic Sea";"European Eel";"Anguilla anguilla";"ICES";NA;"ELE";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32"
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"3BC+24";"22-24";"27_3_C_22,27_3_B_23,27_3_D_24";"";"";"27_3_C_22,27_3_B_23,27_3_D_24"
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"3D-R30";"25-27, 28.2, 29, 32";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28_2,27_3_D_29,27_3_D_32";"";"";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28_2,27_3_D_29,27_3_D_32"
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"03D.RG";"28.1";"27_3_D_28_1";"";"";"27_3_D_28_1"
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"30/31.";"30-31";"27_3_D_30,27_3_D_31";"";"";"27_3_D_30,27_3_D_31"
"Baltic Sea";"Vendace";"Coregonus albula";"ICES";NA;"FVE";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32"
"Baltic Sea";"Common Whitefish/houting";"Coregonus lavaretus";"ICES";NA;"PLN";"No TAC";"3d";"27_3_D";"";"";"27_3_D,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32"
"Baltic Sea";"Cod";"Gadus morhua";"ICES";NA;"COD";"3BC+24";"22-24";"27_3_C_22, 27_3_B_23,27_3_D_24";"IIIb)c)d) (1) - Sub Divisions 22 to 24";"";"27_3_C_22,27_3_B_23,27_3_D_24"
"Baltic Sea";"Cod";"Gadus morhua";"ICES";NA;"COD";"3DX32.";"25-32";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30, 27_3_D_31,27_3_D_32";"IIId) (1) - Sub Divisions 25-32";"";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32"
"Baltic Sea";"Dab";"Limanda limanda";"ICES";NA;"DAB";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24, 27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32"
