"region";"sppName";"latinName";"RFMO";"RFMO_Stock_ID";"X3A_CODE";"FIDES_AREA";"area";"areaBis";"TAC.area.description";"Comments";"areaRDB";"latinNameJoin"
"Baltic Sea";"European Eel";"Anguilla anguilla";"ICES";NA;"ELE";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"Anguilla anguilla"
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"3BC+24";"22-24";"27_3_C_22,27_3_B_23,27_3_D_24";"";"";"27_3_C_22,27_3_B_23,27_3_D_24";"Clupea harengus"
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"3D-R30";"25-27, 28.2, 29, 32";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28_2,27_3_D_29,27_3_D_32";"";"";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28_2,27_3_D_29,27_3_D_32";"Clupea harengus"
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"03D.RG";"28.1";"27_3_D_28_1";"";"";"27_3_D_28_1";"Clupea harengus"
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER";"30/31.";"30-31";"27_3_D_30,27_3_D_31";"";"";"27_3_D_30,27_3_D_31";"Clupea harengus"
"Baltic Sea";"Vendace";"Coregonus albula";"ICES";NA;"FVE";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"Coregonus albula"
"Baltic Sea";"Common Whitefish/houting";"Coregonus lavaretus";"ICES";NA;"PLN";"No TAC";"3d";"27_3_D";"";"";"27_3_D,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"Coregonus lavaretus"
"Baltic Sea";"Cod";"Gadus morhua";"ICES";NA;"COD";"3BC+24";"22-24";"27_3_C_22, 27_3_B_23,27_3_D_24";"IIIb)c)d) (1) - Sub Divisions 22 to 24";"";"27_3_C_22,27_3_B_23,27_3_D_24";"Gadus morhua"
"Baltic Sea";"Cod";"Gadus morhua";"ICES";NA;"COD";"3DX32.";"25-32";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30, 27_3_D_31,27_3_D_32";"IIId) (1) - Sub Divisions 25-32";"";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"Gadus morhua"
"Baltic Sea";"Dab";"Limanda limanda";"ICES";NA;"DAB";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24, 27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"Limanda limanda"
"Baltic Sea";"Perch";"Perca fluviatilis";"ICES";NA;"FPE";"No TAC";"3d";"27_3_D";"";"";"27_3_D,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"Perca fluviatilis"
"Baltic Sea";"Flounder";"Platichthys flesus";"ICES";NA;"FLE";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"Platichthys flesus"
"Baltic Sea";"Plaice";"Pleuronectes platessa";"ICES";NA;"PLE";"3BCD-C";"21-23";"27_3_A_21,27_3_C_22,27_3_B_23";"";"";"27_3_A_21,27_3_C_22,27_3_B_23";"Pleuronectes platessa"
"Baltic Sea";"Plaice";"Pleuronectes platessa";"ICES";NA;"PLE";"3BCD-C";"24-32";"27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"Pleuronectes platessa"
"Baltic Sea";"Salmon";"Salmo salar";"ICES";NA;"SAL";"3BCD-F";"22-31";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31";"";"";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31";"Salmo salar"
"Baltic Sea";"Salmon";"Salmo salar";"ICES";NA;"SAL";"3D32.";"32";"27_3_D_32";"";"";"27_3_D_32";"Salmo salar"
"Baltic Sea";"Sea trout";"Salmo trutta";"ICES";NA;"TRS";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"Salmo trutta"
"Baltic Sea";"Pike-perch";"Sander lucioperca";"ICES";NA;"FPP";"No TAC";"3d";"27_3_D";"";"";"27_3_D,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"Sander lucioperca"
"Baltic Sea";"Turbot";"Scophtalmus maximus";"ICES";NA;"TUR";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"Scophthalmus maximus"
"Baltic Sea";"Brill";"Scophthalmus rhombus";"ICES";NA;"BLL";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"Scophthalmus rhombus"
"Baltic Sea";"Sole";"Solea solea";"ICES";NA;"SOL";"No TAC";"20-24";"27_3_A_20,27_3_A_21,27_3_C_22,27_3_B_23,27_3_D_24";"";"";"27_3_A_20,27_3_A_21,27_3_C_22,27_3_B_23,27_3_D_24";"Solea solea"
"Baltic Sea";"Sprat";"Sprattus sprattus";"ICES";NA;"SPR";"3BCD-C";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"To be checked";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"Sprattus sprattus"
"North Sea and Eastern Arctic";"European Eel";"Anguilla anguilla";"ICES";NA;"ELE";"No TAC";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Anguilla anguilla"
