"TAXOCODE";"X3A_CODE";"Scientific_name";"AphiaID";"Match.type";"ScientificName";"AphiaID_accepted";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Subgenus";"Species";"Subspecies";"WoRMSname";"English_name";"ISSCAAP"
"17503005XX";"BXQ";"Makaira spp";"126013";"exact";"Makaira";"126013";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Istiophoridae";"Makaira";"";"";NA;"Makaira";"Marlins nei";36
"69401003XX";"WBX";"Holothuria spp";"123456";"exact";"Holothuria";"123456";"Animalia";"Echinodermata";"Holothuroidea";"Aspidochirotida";"Holothuriidae";"Holothuria";"";"";NA;"Holothuria";"";76
"22810XXXXX";"VWX";"Oplophoridae";"106786";"exact";"Oplophoridae";"106786";"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Oplophoridae";"";"";"";NA;"Oplophoridae";"";45
"22830XXXXX";"WJX";"Nematocarcinidae";"106784";"exact";"Nematocarcinidae";"106784";"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Nematocarcinidae";"";"";"";NA;"Nematocarcinidae";"";45
"77110001XX";"QWX";"Sargassum spp";"144132";"exact";"Sargassum";"144132";"Chromista";"Ochrophyta";"Phaeophyceae";"Fucales";"Sargassaceae";"Sargassum";"";"";NA;"Sargassum";"";91
"78705015XX";"QVX";"Meristotheca spp";"144179";"exact";"Meristotheca";"144179";"Plantae";"Rhodophyta";"Florideophyceae";"Gigartinales";"Solieriaceae";"Meristotheca";"";"";NA;"Meristotheca";"";92
"14002016XX";"WDX";"Carassius spp";"154296";"exact";"Carassius";"154296";"Animalia";"Chordata";"Actinopterygii";"Cypriniformes";"Cyprinidae";"Carassius";"";"";NA;"Carassius";"";11
"14118087XX";"WIX";"Heterobranchus spp";"269389";"exact";"Heterobranchus";"269389";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Clariidae";"Heterobranchus";"";"";NA;"Heterobranchus";"Heterobranchus catfish nei";13
"17719002XX";"QRX";"Parachanna spp";"270193";"exact";"Parachanna";"270193";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Channidae";"Parachanna";"";"";NA;"Parachanna";"Parachanna snakeheads nei";13
"32111015XX";"FQX";"Histioteuthis spp";"138074";"exact";"Histioteuthis";"138074";"Animalia";"Mollusca";"Cephalopoda";"Oegopsida";"Histioteuthidae";"Histioteuthis";"";"";NA;"Histioteuthis";"";57
"14806021XX";"QMX";"Nezumia spp";"125754";"exact";"Nezumia";"125754";"Animalia";"Chordata";"Actinopterygii";"Gadiformes";"Macrouridae";"Nezumia";"";"";NA;"Nezumia";"";32
"14806022XX";"QKX";"Malacocephalus spp";"125753";"exact";"Malacocephalus";"125753";"Animalia";"Chordata";"Actinopterygii";"Gadiformes";"Macrouridae";"Malacocephalus";"";"";NA;"Malacocephalus";"";32
"15103022XX";"IXX";"Notopogon spp";"206571";"exact";"Notopogon";"206571";"Animalia";"Chordata";"Actinopterygii";"Syngnathiformes";"Centriscidae";"Notopogon";"";"";NA;"Notopogon";"";34
"17002208XX";"IWX";"Plectropomus spp";"205015";"exact";"Plectropomus";"205015";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Serranidae";"Plectropomus";"";"";NA;"Plectropomus";"Coralgroupers nei";33
"10901017XX";"QUX";"Scymnodon spp";"105778";"exact";"Scymnodon";"105778";"Animalia";"Chordata";"Elasmobranchii";"Squaliformes";"Somniosidae";"Scymnodon";"";"";NA;"Scymnodon";"Scymnodon dogfishes nei";38
"12105013XX";"JNX";"Sardinops spp";"203974";"exact";"Sardinops";"203974";"Animalia";"Chordata";"Actinopterygii";"Clupeiformes";"Clupeidae";"Sardinops";"";"";NA;"Sardinops";"Pilchards nei";35
"23143088XX";"GYX";"Geryon spp";"106918";"exact";"Geryon";"106918";"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Geryonidae";"Geryon";"";"";NA;"Geryon";"Geryons nei";42
"17213XXXXX";"VYX";"Uranoscopidae";"125573";"exact";"Uranoscopidae";"125573";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Uranoscopidae";"";"";"";NA;"Uranoscopidae";"Stargazers nei";34
"17713XXXXX";"VVX";"Tripterygiidae";"125572";"exact";"Tripterygiidae";"125572";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Tripterygiidae";"";"";"";NA;"Tripterygiidae";"Threefin blennies nei";33
"17602021XX";"QJX";"Tetragonurus spp";"126093";"exact";"Tetragonurus";"126093";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Tetragonuridae";"Tetragonurus";"";"";NA;"Tetragonurus";"Squaretails nei";37
"15106XXXXX";"VUX";"Syngnathidae";"125606";"exact";"Syngnathidae";"125606";"Animalia";"Chordata";"Actinopterygii";"Syngnathiformes";"Syngnathidae";"";"";"";NA;"Syngnathidae";"Pipefishes, seahorses nei";33
"17208XXXXX";"JIX";"Percophidae";"151412";"exact";"Percophidae";"151412";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Percophidae";"";"";"";NA;"Percophidae";"Duckbills nei";33
"14502XXXXX";"JDX";"Notacanthidae";"125501";"exact";"Notacanthidae";"125501";"Animalia";"Chordata";"Actinopterygii";"Notacanthiformes";"Notacanthidae";"";"";"";NA;"Notacanthidae";"Deep-sea spiny eels nei";34
"17606XXXXX";"VTX";"Nomeidae";"125548";"exact";"Nomeidae";"125548";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Nomeidae";"";"";"";NA;"Nomeidae";"Driftfishes nei";37
"14308XXXXX";"IVX";"Moringuidae";"151813";"exact";"Moringuidae";"151813";"Animalia";"Chordata";"Actinopterygii";"Anguilliformes";"Moringuidae";"";"";"";NA;"Moringuidae";"Spaghetti eels nei";33
"14309XXXXX";"IKX";"Muraenesocidae";"125430";"exact";"Muraenesocidae";"125430";"Animalia";"Chordata";"Actinopterygii";"Anguilliformes";"Muraenesocidae";"";"";"";NA;"Muraenesocidae";"";34
"16501009XX";"GXE";"Cestraeus spp";"268691";"exact";"Cestraeus";"268691";"Animalia";"Chordata";"Actinopterygii";"Mugiliformes";"Mugilidae";"Cestraeus";"";"";NA;"Cestraeus";"River mullets nei";33
"13801009XX";"VXX";"Astyanax spp";"268424";"exact";"Astyanax";"268424";"Animalia";"Chordata";"Actinopterygii";"Characiformes";"Characidae";"Astyanax";"";"";NA;"Astyanax";"Astyanax nei";13
"143XXXXXXX";"XAX";"Anguilliformes";"10295";"exact";"Anguilliformes";"10295";"Animalia";"Chordata";"Actinopterygii";"Anguilliformes";"";"";"";"";NA;"Anguilliformes";"Eels, morays, congers nei";34
"31606006XX";"IZX";"Pinctada spp";"138396";"exact";"Pinctada";"138396";"Animalia";"Mollusca";"Bivalvia";"Pterioida";"Pteriidae";"Pinctada";"";"";NA;"Pinctada";"Pearl oysters nei";81
"30705002XX";"UXS";"Turbo spp";"151576";"exact";"Turbo";"151576";"Animalia";"Mollusca";"Gastropoda";"";"Turbinidae";"Turbo";"";"";NA;"Turbo";"Turbans nei";52
"14122XXXXX005";"PXZ";"Leiarius marmoratus x P. reticulatum";"1020624";"exact";NA;"1020624";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Pimelodidae";NA;"";"marmoratus";NA;"";"";13
"14122090XX001";"PXW";"Pseudopl. corruscans x P. reticulatum";NA;"";"";NA;"";"";"";"";"";"";"";"";NA;"";"";13
"17719001XX001";"GXC";"Channa maculata x C. argus";"743356";"exact";"Channa maculata";"743356";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Channidae";"Channa";"";"maculata";NA;"Channa maculata";"";13
"17059051XX002";"AXV";"Oreochromis andersonii x O. niloticus";"279194";"exact";"Oreochromis andersonii";"279194";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cichlidae";"Oreochromis";"";"andersonii";NA;"Oreochromis andersonii";"";12
"14110002XX001";"IXP";"Ictalurus punctatus x I. furcatus";"465537";"exact";"Ictalurus punctatus";"465537";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Ictaluridae";"Ictalurus";"";"punctatus";NA;"Ictalurus punctatus";"Channel-blue catfish, hybrid";13
"13801076XX001";"TXB";"P. mesopotamicus x P. brachypomus";NA;"";"";NA;"";"";"";"";"";"";"";"";NA;"";"Patinga, hybrid";13
"19008XXXXX";"JHX";"Molidae";"125609";"exact";"Molidae";"125609";"Animalia";"Chordata";"Actinopterygii";"Tetraodontiformes";"Molidae";"";"";"";NA;"Molidae";"Ocean sunfishes nei";37
"17325XXXXX";"JBX";"Microdesmidae";"151423";"exact";"Microdesmidae";"151423";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Microdesmidae";"";"";"";NA;"Microdesmidae";"Wormfishes nei";33
"19509001XX";"JEX";"Himantolophus spp";"125799";"exact";"Himantolophus";"125799";"Animalia";"Chordata";"Actinopterygii";"Lophiiformes";"Himantolophidae";"Himantolophus";"";"";NA;"Himantolophus";"";34
"14501XXXXX";"JGX";"Halosauridae";"125500";"exact";"Halosauridae";"125500";"Animalia";"Chordata";"Actinopterygii";"Notacanthiformes";"Halosauridae";"";"";"";NA;"Halosauridae";"Halosaurs nei";34
"16202XXXXX";"XJX";"Grammicolepididae";"125614";"exact";"Grammicolepididae";"125614";"Animalia";"Chordata";"Actinopterygii";"Zeiformes";"Grammicolepididae";"";"";"";NA;"Grammicolepididae";"Grammicolepidids nei";34
"19201XXXXX";"JMX";"Gobiesocidae";"125477";"exact";"Gobiesocidae";"125477";"Animalia";"Chordata";"Actinopterygii";"Gobiesociformes";"Gobiesocidae";"";"";"";NA;"Gobiesocidae";"Clingfishes nei";33
"12901003XX";"JZX";"Elops spp";"157873";"exact";"Elops";"157873";"Animalia";"Chordata";"Actinopterygii";"Elopiformes";"Elopidae";"Elops";"";"";NA;"Elops";"Ladyfishes nei";33
"16103XXXXX";"QNX";"Diretmidae";"125457";"exact";"Diretmidae";"125457";"Animalia";"Chordata";"Actinopterygii";"Beryciformes";"Diretmidae";"";"";"";NA;"Diretmidae";"Spinyfins nei";34
"17714XXXXX";"XYX";"Clinidae";"125530";"exact";"Clinidae";"125530";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Clinidae";"";"";"";NA;"Clinidae";"Clinids fishes nei";33
"17067XXXXX";"YZX";"Cirrhitidae";"151475";"exact";"Cirrhitidae";"151475";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cirrhitidae";"";"";"";NA;"Cirrhitidae";"Hawkfishes nei";33
"15805XXXXX";"YXX";"Carapidae";"125504";"exact";"Carapidae";"125504";"Animalia";"Chordata";"Actinopterygii";"Ophidiiformes";"Carapidae";"";"";"";NA;"Carapidae";"Pearlfishes nei";33
"17720XXXXX";"YVX";"Callionymidae";"125522";"exact";"Callionymidae";"125522";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Callionymidae";"";"";"";NA;"Callionymidae";"Dragonets nei";33
"14803018XX";"VKX";"Bregmaceros spp";"125727";"exact";"Bregmaceros";"125727";"Animalia";"Chordata";"Actinopterygii";"Gadiformes";"Bregmacerotidae";"Bregmaceros";"";"";NA;"Bregmaceros";"";32
"15207XXXXX";"JQX";"Ateleopodidae";"125437";"exact";"Ateleopodidae";"125437";"Animalia";"Chordata";"Actinopterygii";"Ateleopodiformes";"Ateleopodidae";"";"";"";NA;"Ateleopodidae";"Jellynose fishes nei";37
"12305XXXXX";"JXX";"Argentinidae";"125508";"exact";"Argentinidae";"125508";"Animalia";"Chordata";"Actinopterygii";"Osmeriformes";"Argentinidae";"";"";"";NA;"Argentinidae";"Argentines nei";34
"19502XXXXX";"XPX";"Antennariidae";"125484";"exact";"Antennariidae";"125484";"Animalia";"Chordata";"Actinopterygii";"Lophiiformes";"Antennariidae";"";"";"";NA;"Antennariidae";"Frogfishes nei";33
"17204XXXXX";"XOX";"Ammodytidae";"125516";"exact";"Ammodytidae";"125516";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Ammodytidae";"";"";"";NA;"Ammodytidae";"Sandlances nei";33
"14322XXXXX";"JWX";"Colocongridae";"151816";"exact";"Colocongridae";"151816";"Animalia";"Chordata";"Actinopterygii";"Anguilliformes";"Colocongridae";"";"";"";NA;"Colocongridae";"";34
"30746XXXXX";"JVX";"Terebridae";"160424";"exact";"Terebridae";"160424";"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Terebridae";"";"";"";NA;"Terebridae";"Auger shells nei";52
"30706XXXXX";"JTX";"Strombidae";"23123";"exact";"Strombidae";"23123";"Animalia";"Mollusca";"Gastropoda";"Littorinimorpha";"Strombidae";"";"";"";NA;"Strombidae";"Conch shells nei";52
"64918001XX";"JPX";"Serpula spp";"129580";"exact";"Serpula";"129580";"Animalia";"Annelida";"Polychaeta";"Sabellida";"Serpulidae";"Serpula";"";"";NA;"Serpula";"Segmented worms nei";77
"30702XXXXX";"JLX";"Muricidae";"148";"exact";"Muricidae";"148";"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Muricidae";"";"";"";NA;"Muricidae";"Murex shells nei";52
"30732XXXXX";"VGX";"Mitridae";"23073";"exact";"Mitridae";"23073";"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Mitridae";"";"";"";NA;"Mitridae";"Mitres nei";52
"14703XXXXX";"JKX";"Hemiramphidae";"125453";"exact";"Hemiramphidae";"125453";"Animalia";"Chordata";"Actinopterygii";"Beloniformes";"Hemiramphidae";"";"";"";NA;"Hemiramphidae";"Halfbeaks nei";37
"30743XXXXX";"JJX";"Harpidae";"196294";"exact";"Harpidae";"196294";"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Harpidae";"";"";"";NA;"Harpidae";"Harp shells nei";52
"30738XXXXX";"ZAX";"Cypraeidae";"23022";"exact";"Cypraeidae";"23022";"Animalia";"Mollusca";"Gastropoda";"Littorinimorpha";"Cypraeidae";"";"";"";NA;"Cypraeidae";"Cowries nei";52
"30745XXXXX";"XUX";"Conidae";"14107";"exact";"Conidae";"14107";"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Conidae";"";"";"";NA;"Conidae";"Cone shells nei";52
"30711XXXXX";"XIX";"Cassidae";"22999";"exact";"Cassidae";"22999";"Animalia";"Mollusca";"Gastropoda";"Littorinimorpha";"Cassidae";"";"";"";NA;"Cassidae";"Helmets shells nei";52
"30710XXXXX";"VAX";"Bursidae";"22995";"exact";"Bursidae";"22995";"Animalia";"Mollusca";"Gastropoda";"Littorinimorpha";"Bursidae";"";"";"";NA;"Bursidae";"Frog shell nei";52
"17012001XX";"QLX";"Apogon spp";"125913";"exact";"Apogon";"125913";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Apogonidae";"Apogon";"";"";NA;"Apogon";"";33
"17002115XX";"IIX";"Cephalopholis spp";"206732";"exact";"Cephalopholis";"206732";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Serranidae";"Cephalopholis";"";"";NA;"Cephalopholis";"";33
"16201001XX";"ZMX";"Zeus spp";"126251";"exact";"Zeus";"126251";"Animalia";"Chordata";"Actinopterygii";"Zeiformes";"Zeidae";"Zeus";"";"";NA;"Zeus";"";34
"31626050XX";"QQX";"Tridacna spp";"205753";"exact";"Tridacna";"205753";"Animalia";"Mollusca";"Bivalvia";"Veneroida";"Cardiidae";"Tridacna";"";"";NA;"Tridacna";"Giant clams nei";56
"23111006XX";"QOX";"Thalamita spp";"106931";"exact";"Thalamita";"106931";"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Portunidae";"Thalamita";"";"";NA;"Thalamita";"";42
"23111140XX";"YUX";"Scylla spp";"205756";"exact";"Scylla";"205756";"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Portunidae";"Scylla";"";"";NA;"Scylla";"";42
"17039224XX";"UZX";"Rhabdosargus spp";"204190";"exact";"Rhabdosargus";"204190";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Sparidae";"Rhabdosargus";"";"";NA;"Rhabdosargus";"Stumpnoses nei";33
"23103001XX";"QIX";"Ocypode spp";"106970";"exact";"Ocypode";"106970";"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Ocypodidae";"Ocypode";"";"";NA;"Ocypode";"";42
"14102042XX";"FMX";"Galeichthys spp";"204607";"exact";"Galeichthys";"204607";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Ariidae";"Galeichthys";"";"";NA;"Galeichthys";"";33
"31611011XX";"FZX";"Gafrarium spp";"138637";"exact";"Gafrarium";"138637";"Animalia";"Mollusca";"Bivalvia";"Veneroida";"Veneridae";"Gafrarium";"";"";NA;"Gafrarium";"Venus nei";56
"17052116XX";"IHX";"Chaetodon spp";"125954";"exact";"Chaetodon";"125954";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Chaetodontidae";"Chaetodon";"";"";NA;"Chaetodon";"Butterflyfishes nei";33
"19002011XX";"TXV";"Takifugu spp";"205726";"exact";"Takifugu";"205726";"Animalia";"Chordata";"Actinopterygii";"Tetraodontiformes";"Tetraodontidae";"Takifugu";"";"";NA;"Takifugu";"Pufferfishes nei";33
"17801080XX";"XTY";"Trachyscorpia spp";"126176";"exact";"Trachyscorpia";"126176";"Animalia";"Chordata";"Actinopterygii";"Scorpaeniformes";"Sebastidae";"Trachyscorpia";"";"";NA;"Trachyscorpia";"";34
"17071309XX";"WLX";"Latridopsis spp";"269613";"exact";"Latridopsis";"269613";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Latridae";"Latridopsis";"";"";NA;"Latridopsis";"";34
"13813XXXXX";"VJX";"Alestidae";"267003";"exact";"Alestidae";"267003";"Animalia";"Chordata";"Actinopterygii";"Characiformes";"Alestidae";"";"";"";NA;"Alestidae";"";13
"14307XXXXX";"VHX";"Heterenchelyidae";"125429";"exact";"Heterenchelyidae";"125429";"Animalia";"Chordata";"Actinopterygii";"Anguilliformes";"Heterenchelyidae";"";"";"";NA;"Heterenchelyidae";"";33
"14320XXXXX";"VFX";"Nemichthyidae";"125432";"exact";"Nemichthyidae";"125432";"Animalia";"Chordata";"Actinopterygii";"Anguilliformes";"Nemichthyidae";"";"";"";NA;"Nemichthyidae";"";34
"13115XXXXX";"VDX";"Ipnopidae";"125444";"exact";"Ipnopidae";"125444";"Animalia";"Chordata";"Actinopterygii";"Aulopiformes";"Ipnopidae";"";"";"";NA;"Ipnopidae";"";34
"12315XXXXX";"VBX";"Platytroctidae";"125514";"exact";"Platytroctidae";"125514";"Animalia";"Chordata";"Actinopterygii";"Osmeriformes";"Platytroctidae";"";"";"";NA;"Platytroctidae";"";34
"12509XXXXX";"VCX";"Phosichthyidae";"125602";"exact";"Phosichthyidae";"125602";"Animalia";"Chordata";"Actinopterygii";"Stomiiformes";"Phosichthyidae";"";"";"";NA;"Phosichthyidae";"";34
"12503XXXXX";"RQX";"Stomiidae";"125604";"exact";"Stomiidae";"125604";"Animalia";"Chordata";"Actinopterygii";"Stomiiformes";"Stomiidae";"";"";"";NA;"Stomiidae";"";34
"11007024XX";"NZX";"Rhinoptera spp";"105759";"exact";"Rhinoptera";"105759";"Animalia";"Chordata";"Elasmobranchii";"Rajiformes";"Myliobatidae";"Rhinoptera";"";"";NA;"Rhinoptera";"";38
"17077001XX";"QHX";"Polydactylus spp";"159849";"exact";"Polydactylus";"159849";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Polynemidae";"Polydactylus";"";"";NA;"Polydactylus";"";33
"13801XXXXX005";"TXZ";"C. macropomum x P. brachypomus";NA;"";"";NA;"";"";"";"";"";"";"";"";NA;"";"Tambatinga, hybrid";13
"17059051XX001";"OXW";"Oreochromis aureus x O. niloticus";"279196";"exact";"Oreochromis aureus";"279196";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cichlidae";"Oreochromis";"";"aureus";NA;"Oreochromis aureus";"Blue-Nile tilapia, hybrid";12
"13805006XX";"HZZ";"Hemiodus spp";"269358";"exact";"Hemiodus";"269358";"Animalia";"Chordata";"Actinopterygii";"Characiformes";"Hemiodontidae";"Hemiodus";"";"";NA;"Hemiodus";"";13
"17037238XX";"FYX";"Stellifer spp";"159336";"exact";"Stellifer";"159336";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Sciaenidae";"Stellifer";"";"";NA;"Stellifer";"";33
"13801030XX";"RRX";"Serrasalmus spp";"270882";"exact";"Serrasalmus";"270882";"Animalia";"Chordata";"Actinopterygii";"Characiformes";"Serrasalmidae";"Serrasalmus";"";"";NA;"Serrasalmus";"Piranhas nei";13
"13812009XX";"RWX";"Semaprochilodus spp";"270867";"exact";"Semaprochilodus";"270867";"Animalia";"Chordata";"Actinopterygii";"Characiformes";"Prochilodontidae";"Semaprochilodus";"";"";NA;"Semaprochilodus";"";13
"13804012XX";"SXZ";"Schizodon spp";"270826";"exact";"Schizodon";"270826";"Animalia";"Chordata";"Actinopterygii";"Characiformes";"Anostomidae";"Schizodon";"";"";NA;"Schizodon";"";13
"14122021XX";"RNX";"Rhamdia spp";"270723";"exact";"Rhamdia";"270723";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Heptapteridae";"Rhamdia";"";"";NA;"Rhamdia";"";13
"17209006XX";"UYX";"Pseudopercis spp";"270605";"exact";"Pseudopercis";"270605";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Pinguipedidae";"Pseudopercis";"";"";NA;"Pseudopercis";"";33
"11006006XX";"QEX";"Potamotrygon";"270496";"exact";"Potamotrygon";"270496";"Animalia";"Chordata";"Elasmobranchii";"Rajiformes";"Potamotrygonidae";"Potamotrygon";"";"";NA;"Potamotrygon";"Freshwater river stingray nei";38
"14122022XX";"MXW";"Pimelodus spp";"270412";"exact";"Pimelodus";"270412";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Pimelodidae";"Pimelodus";"";"";NA;"Pimelodus";"";13
"17023049XX";"OXQ";"Oligoplites spp";"159642";"exact";"Oligoplites";"159642";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Carangidae";"Oligoplites";"";"";NA;"Oligoplites";"Leatherjackets nei";37
"16302002XX";"OGW";"Odontesthes spp";"270070";"exact";"Odontesthes";"270070";"Animalia";"Chordata";"Actinopterygii";"Atheriniformes";"Atherinidae";"Odontesthes";"";"";NA;"Odontesthes";"";37
"12106038XX";"EZW";"Lycengraulis spp";"269754";"exact";"Lycengraulis";"269754";"Animalia";"Chordata";"Actinopterygii";"Clupeiformes";"Engraulidae";"Lycengraulis";"";"";NA;"Lycengraulis";"Sabretooth anchovys nei";24
"13804011XX";"LXZ";"Leporinus spp";"269644";"exact";"Leporinus";"269644";"Animalia";"Chordata";"Actinopterygii";"Characiformes";"Anostomidae";"Leporinus";"";"";NA;"Leporinus";"";13
"14128086XX";"HZY";"Hypostomus spp";"269463";"exact";"Hypostomus";"269463";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Loricariidae";"Hypostomus";"";"";NA;"Hypostomus";"";13
"14127047XX";"HXV";"Hoplosternum spp";"269424";"exact";"Hoplosternum";"269424";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Callichthyidae";"Hoplosternum";"";"";NA;"Hoplosternum";"";13
"13808017XX";"HVW";"Hoplias spp";"269419";"exact";"Hoplias";"269419";"Animalia";"Chordata";"Actinopterygii";"Characiformes";"Erythrinidae";"Hoplias";"";"";NA;"Hoplias";"";13
"14122148XX";"HBU";"Hypophthalmus spp";NA;"ambiguous";"";NA;"";"";"";"";"";"";"";"";NA;"";"Loweye catfishes nei";13
"14306004XX";"AXZ";"Gymnothorax spp";"125636";"exact";"Gymnothorax";"125636";"Animalia";"Chordata";"Actinopterygii";"Anguilliformes";"Muraenidae";"Gymnothorax";"";"";NA;"Gymnothorax";"";33
"17059148XX";"GXX";"Geophagus spp";"269200";"exact";"Geophagus";"269200";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cichlidae";"Geophagus";"";"";NA;"Geophagus";"";12
"17059054XX";"IGX";"Cichla spp";"268770";"exact";"Cichla";"268770";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cichlidae";"Cichla";"";"";NA;"Cichla";"";12
"13801013XX";"BXH";"Brycon spp";"268606";"exact";"Brycon";"268606";"Animalia";"Chordata";"Actinopterygii";"Characiformes";"Bryconidae";"Brycon";"";"";NA;"Brycon";"";13
"13815XXXXX";"AZR";"Acestrorhynchidae";"151963";"exact";"Acestrorhynchidae";"151963";"Animalia";"Chordata";"Actinopterygii";"Characiformes";"Acestrorhynchidae";"";"";"";NA;"Acestrorhynchidae";"";13
"61935XXXXX";"QON";"Primnoidae";"125278";"exact";"Primnoidae";"125278";"Animalia";"Cnidaria";"Anthozoa";"Alcyonacea";"Primnoidae";"";"";"";NA;"Primnoidae";"";82
