"Country_Code";"CFR";"UVI";"Event_Code";"Event_Start_Date";"Event_End_Date";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"IRCS";"IRCS_Code";"License_Ind";"Vms_Code";"ERS_Code";"AIS_Code";"MMSI";"Vessel_Type";"Gear_Main_Code";"Gear_1_Code";"Gear_2_Code";"Gear_3_Code";"Gear_4_Code";"Gear_5_Code";"Loa";"Lbp";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Date";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Construction_Year";"NA";"NA"
"EST";"DNK000013170";7637292;"IMP";NA;NA;"910";"EK-2102";"MILTON";"EEHKS";"";"ESLV";"Y";"Y";"Y";"Y";NA;"Y";276863000;"TO";"OTB";"OTM";"";"";NA;NA;"31.70";"28.24";"182.00";"0.00";"0.00";"749.00";"152.50";2;"1978-12-30";"MFL";"FIN";"";"PA";"1978-01-01"
"EST";"ESP000015587";8619699;"IMP";NA;NA;"772";"EK-1602";"LENNUK";"EETLL";"Tallinn";"ESKT";"Y";"Y";"Y";"Y";NA;"Y";276831000;"TO";"OTB";"NO";"";"";NA;NA;"56.20";"46.00";"971.00";"0.00";"0.00";"904.00";"592.00";2;"1988-12-31";"MFL";"ESP";"";"PA";"1988-01-01"
"EST";"ESP000015587";8619699;"MOD";NA;NA;"772";"EK-1602";"LENNUK";"EETLL";"Tallinn";"ESKT";"Y";"Y";"Y";"Y";NA;"Y";276831000;"TO";"OTB";"NO";"";"";NA;NA;"56.20";"46.00";"971.00";"0.00";"0.00";"904.00";"592.00";2;"1988-12-31";"MFL";"";"";"PA";"1988-01-01"
"EST";"ESP000015587";8619699;"MOD";NA;NA;"772";"EK-1602";"LENNUK";"EETLL";"Tallinn";"ESKT";"Y";"Y";"Y";"Y";NA;"Y";276831000;"TO";"OTB";"NO";"";"";NA;NA;"56.20";"46.00";"971.00";"0.00";"0.00";"904.00";"592.00";2;"1988-12-31";"MFL";"";"";"PA";"1988-01-01"
"EST";"EST000202119";NA;"CEN";NA;NA;"6S000219";"BSA-484";"BSA-484";"EEXAH";"";"";"N";"Y";"N";"N";NA;"N";NA;"GO";"GNS";"NO";"";"";NA;NA;"5.50";"5.28";"0.30";"0.00";"0.00";"0.00";"0.00";1;"1997-12-31";"MFL";"";"";"";"1997-01-01"
"EST";"EST000314164";NA;"CEN";NA;NA;"6M000099";"BMA-198";"BMA-198";"EENJS";"Narva-Jõesuu";"";"N";"Y";"N";"N";NA;"N";NA;"GO";"GNS";"FPO";"";"";NA;NA;"8.10";"7.78";"2.31";"0.00";"0.00";"18.39";"0.00";2;"1990-12-31";"MFL";"";"";"";"1990-01-01"
"EST";"EST000314164";NA;"MOD";NA;NA;"BMA-198";"BMA-198";"BMA-198";"EENJS";"Narva-Jõesuu";"";"N";"Y";"N";"N";NA;"N";NA;"GO";"GNS";"FPO";"";"";NA;NA;"8.10";"7.78";"2.31";"0.00";"0.00";"18.39";"0.00";2;"1990-12-31";"MFL";"";"";"PA";"1990-01-01"
"EST";"EST000314164";NA;"MOD";NA;NA;"BMA-198";"BMA-198";"BMA-198";"EENJS";"Narva-Jõesuu";"";"N";"Y";"N";"N";NA;"N";NA;"GO";"GNS";"FPO";"";"";NA;NA;"8.10";"7.78";"2.31";"0.00";"0.00";"3.39";"0.00";2;"1990-12-31";"MFL";"";"";"PA";"1990-01-01"
"EST";"EST000403160";NA;"CEN";NA;NA;"6M000169";"BMA-263";"BMA-263";"N05";"";"";"N";"Y";"N";"N";NA;"N";NA;"GO";"FPO";"GNS";"";"";NA;NA;"4.65";"4.46";"0.80";"0.00";"0.00";"22.06";"0.00";2;"1980-12-31";"MFL";"";"";"";"1980-01-01"
"EST";"EST000606348";NA;"CEN";NA;NA;"3M000254";"SMA-299";"JOHANNA";"EEVEE";"Veere";"ES2427";"Y";"Y";"N";"N";NA;"N";NA;"WO";"OTB";"OTM";"";"";NA;NA;"10.28";"9.87";"6.90";"0.00";"0.00";"202.00";"0.00";3;"1993-12-31";"MFL";"";"";"";"1993-01-01"
"EST";"EST000606348";NA;"RET";NA;NA;"SMA-299";"SMA-299";"JOHANNA";"EEVEE";"Veere";"ES2427";"Y";"N";"N";"N";NA;"N";NA;"WO";"OTB";"OTM";"";"";NA;NA;"10.28";"9.87";"6.90";"0.00";"0.00";"202.00";"0.00";3;"1993-12-31";"MFL";"";"";"PA";"1993-01-01"
"EST";"EST000825038";NA;"CEN";NA;NA;"1F0058";"EK-1516";"VILLE";"EETLL";"Tallinn";"ES2325";"Y";"Y";"N";"N";NA;"N";NA;"TO";"OTM";"NO";"";"";NA;NA;"12.60";"12.10";"10.60";"0.00";"0.00";"54.00";"0.00";2;"1990-12-31";"MFL";"";"";"";"1990-01-01"
"EST";"EST000825038";NA;"RET";NA;NA;"1F0058";"EK-1516";"VILLE";"EETLL";"Tallinn";"ES2325";"Y";"N";"N";"N";NA;"N";NA;"TO";"OTM";"NO";"";"";NA;NA;"12.60";"12.10";"10.60";"0.00";"0.00";"54.00";"0.00";2;"1990-12-31";"MFL";"";"";"PA";"1990-01-01"
"EST";"EST000825423";NA;"CEN";NA;NA;"1F00H57";"EK-9244";"VIIKARI";"EETLL";"Tallinn";"ES2120";"Y";"Y";"N";"N";NA;"N";NA;"TO";"OTB";"PTB";"OTM";"";NA;NA;"27.10";"24.82";"79.00";"0.00";"0.00";"165.00";"0.00";2;"1974-12-31";"MFL";"";"";"";"1974-01-01"
"EST";"EST000825423";NA;"EXP";NA;NA;"1F00H57";"EK-9244";"VIIKARI";"EETLL";"Tallinn";"ES2120";"Y";"N";"N";"N";NA;"N";NA;"TO";"OTM";"PTB";"OTB";"";NA;NA;"27.10";"24.82";"79.00";"0.00";"0.00";"165.00";"0.00";2;"1974-12-31";"MFL";"LVA";"EX";"PA";"1974-01-01"
"EST";"EST000825424";8928181;"CEN";NA;NA;"1F00G56";"EK-3231";"TOOLSE";"EETLL";"Tallinn";"ESBR";"Y";"Y";"Y";"N";NA;"N";NA;"TO";"OTB";"PTB";"OTM";"";NA;NA;"25.50";"23.06";"117.00";"0.00";"0.00";"221.00";"0.00";2;"1975-12-31";"MFL";"";"";"";"1975-01-01"
"EST";"EST000825424";8928181;"MOD";NA;NA;"1F00G56";"EK-3231";"TOOLSE";"EETLL";"Tallinn";"ESBR";"Y";"Y";"Y";"N";NA;"N";NA;"TO";"OTB";"OTM";"PTB";"";NA;NA;"25.50";"23.06";"117.00";"0.00";"0.00";"221.00";"0.00";2;"1975-12-31";"MFL";"";"";"PA";"1975-01-01"
"EST";"EST000825424";8928181;"DES";NA;NA;"1F00G56";"EK-3231";"TOOLSE";"EETLL";"Tallinn";"ESBR";"Y";"N";"Y";"N";NA;"N";NA;"TO";"";"NO";"";"";NA;NA;"25.50";"23.06";"117.00";"0.00";"0.00";"221.00";"0.00";2;"1975-12-31";"MFL";"";"";"AC";"1975-01-01"
"EST";"EST000825462";8331601;"CEN";NA;NA;"3F00F10";"EK-9250";"LIU";"EEPRN";"Pärnu";"ES2027";"Y";"Y";"Y";"N";NA;"N";NA;"TO";"OTB";"OTM";"PTM";"";NA;NA;"25.42";"23.06";"122.00";"0.00";"0.00";"221.00";"0.00";2;"1984-12-31";"MFL";"";"";"";"1984-01-01"
"EST";"EST000825462";8331601;"RET";NA;NA;"3F00F10";"EK-9250";"LIU";"EEPRN";"Pärnu";"ES2027";"Y";"N";"Y";"N";NA;"N";NA;"TO";"";"NO";"";"";NA;NA;"25.42";"23.06";"122.00";"0.00";"0.00";"221.00";"0.00";2;"1984-12-31";"MFL";"";"";"PA";"1984-01-01"
"EST";"EST000825462";8331601;"CHA";NA;NA;"3F00F10";"EK-9250";"LIU";"EEPRN";"Pärnu";"ES2027";"Y";"Y";"Y";"N";NA;"N";NA;"TO";"";"NO";"";"";NA;NA;"25.42";"23.06";"122.00";"0.00";"0.00";"221.00";"0.00";2;"1984-12-31";"MFL";"";"";"PA";"1984-01-01"
"EST";"EST000825462";8331601;"RET";NA;NA;"3F00F10";"EK-9250";"LIU";"EEPRN";"Pärnu";"ES2027";"Y";"N";"Y";"N";NA;"N";NA;"TO";"";"NO";"";"";NA;NA;"25.42";"23.06";"122.00";"0.00";"0.00";"221.00";"0.00";2;"1984-12-31";"MFL";"";"";"AC";"1984-01-01"
"EST";"EST000825463";5341112;"CEN";NA;NA;"397FA02";"EK-9702";"AMAZON";"EENAS";"Nasva";"ES2281";"Y";"Y";"Y";"N";NA;"N";NA;"TO";"OTB";"OTM";"";"";NA;NA;"28.30";"25.50";"126.00";"0.00";"0.00";"423.00";"0.00";2;"1961-12-31";"MFL";"";"";"";"1961-01-01"
"EST";"EST000825463";5341112;"RET";NA;NA;"397FA02";"EK-9702";"AMAZON";"EENAS";"Nasva";"ES2281";"Y";"N";"Y";"N";NA;"N";NA;"TO";"";"NO";"";"";NA;NA;"28.30";"25.50";"126.00";"0.00";"0.00";"423.00";"0.00";2;"1961-12-31";"MFL";"";"";"PA";"1961-01-01"
"EST";"EST000825463";5341112;"CHA";NA;NA;"397FA02";"EK-9702";"AMAZON";"EENAS";"Nasva";"ES2281";"Y";"Y";"Y";"N";NA;"N";NA;"TO";"";"NO";"";"";NA;NA;"28.30";"25.50";"126.00";"0.00";"0.00";"423.00";"0.00";2;"1961-12-31";"MFL";"";"";"PA";"1961-01-01"
