"Country_Code";"CFR";"UVI";"Event_Code";"Event_Start_Date";"Event_End_Date";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"IRCS";"IRCS_Code";"License_Ind";"Vms_Code";"ERS_Code";"AIS_Code";"MMSI";"Vessel_Type";"Gear_Main_Code";"Gear_1_Code";"Gear_2_Code";"Gear_3_Code";"Gear_4_Code";"Gear_5_Code";"Loa";"Lbp";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Date";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Construction_Year";"NA";"NA"
"POL";"DEU000070300";NA;"IMP";NA;NA;"PL02006";"WLA-127";"<NO NAME GIVEN>";"0345";"";"SPG2811";"Y";"Y";"N";"";"";"";NA;"FX";"OTB";"OTM";"";"";"";"";"25.40";"22.70";"93.00";"0.00";"0.00";"165.00";"0.00";2;"1972-03-24";"MFL";"DEU";"";"";"1972-01-01"
"POL";"DEU000070300";NA;"MOD";NA;NA;"PL02006";"WLA-127";"<NO NAME GIVEN>";"0345";"";"SPG2811";"Y";"Y";"Y";"";"";"";NA;"FX";"OTB";"OTM";"";"";"";"";"25.40";"22.70";"93.00";"0.00";"0.00";"165.00";"0.00";2;"1972-03-24";"MFL";"";"";"";"1972-01-01"
"POL";"DEU000070300";NA;"MOD";NA;NA;"PL02006";"WLA-127";"<NO NAME GIVEN>";"0345";"";"SPG2811";"Y";"Y";"Y";"";"";"";NA;"FX";"OTB";"OTM";"";"";"";"";"25.40";"22.70";"93.00";"0.00";"0.00";"165.00";"0.00";2;"1972-03-24";"MFL";"";"";"";"1972-01-01"
"POL";"DEU000070300";NA;"DES";NA;NA;"PL02006";"WLA-127";"<NO NAME GIVEN>";"0345";"";"SPG2811";"Y";"N";"Y";"";"";"";NA;"FX";"OTB";"OTM";"";"";"";"";"25.40";"22.70";"93.00";"0.00";"0.00";"165.00";"0.00";2;"1972-03-24";"MFL";"";"";"PA";"1972-01-01"
"POL";"DEU000370606";NA;"IMP";NA;NA;"PL02018";"SWI-48";"<NO NAME GIVEN>";"0118";"";"SPS2590";"Y";"Y";"N";"";"";"";NA;"FX";"OTB";"OTM";"";"";"";"";"11.34";"10.75";"23.11";"0.00";"0.00";"147.00";"0.00";2;"1998-09-01";"MFL";"DEU";"";"";"1998-01-01"
"POL";"DEU000370606";NA;"MOD";NA;NA;"PL02018";"SWI-48";"<NO NAME GIVEN>";"0118";"";"SPS2590";"Y";"Y";"N";"";"";"";NA;"FX";"OTB";"OTM";"";"";"";"";"11.34";"10.75";"23.11";"0.00";"0.00";"147.00";"0.00";2;"1998-09-01";"MFL";"";"";"";"1998-01-01"
"POL";"DEU000370606";NA;"DES";NA;NA;"PL02018";"ŚWI-48";"";"0118";"";"SPS2590";"Y";"N";"N";"N";"";"N";NA;"FX";"OTB";"SSC";"FPO";"OTM";"GNS";"LLS";"11.34";"10.75";"23.11";"0.00";"0.00";"147.00";"0.00";2;"1998-09-01";"MFL";"";"";"AC";"1998-01-01"
"POL";"DEU001280602";NA;"IMP";NA;NA;"PL02280";"KOŁ-288";"No name";"0225";"";"SPS3130";"Y";"Y";"Y";"Y";"";"N";NA;"TTW";"OTB";"PTM";"GNS";"LLD";"OTM";"LLS";"12.01";"10.10";"31.48";"0.00";"0.00";"110.00";"0.00";2;"2001-12-18";"MFL";"DEU";"";"PA";"2001-01-01"
"POL";"DEU001280602";NA;"MOD";NA;NA;"PL02280";"KOŁ-288";"No name";"PLKOL";"Kołobrzeg";"SPS3130";"Y";"Y";"Y";"Y";"";"N";NA;"TTW";"OTB";"PTM";"LLD";"GNS";"LLS";"OTM";"12.01";"10.10";"31.48";"0.00";"0.00";"110.00";"0.00";2;"2001-12-18";"MFL";"";"";"";"2001-01-01"
"POL";"DEU002120300";9048902;"IMP";NA;NA;"PL02309";"GDY-58";"POLONUS";"0352";"";"SNLE";"Y";"Y";"Y";"Y";"";"Y";261536000;"TTP";"OTB";"PTB";"OTM";"";"";"";"80.35";"73.65";"2348.00";"0.00";"0.00";"3000.00";"536.00";2;"1992-12-31";"MFL";"DEU";"";"PA";"1992-01-01"
"POL";"DEU002120300";9048902;"MOD";NA;NA;"PL02309";"GDY-58";"POLONUS";"0352";"";"SNLE";"Y";"Y";"Y";"Y";"";"Y";261536000;"TTP";"OTB";"PTB";"OTM";"";"";"";"80.35";"73.65";"2348.00";"0.00";"0.00";"3000.00";"536.00";2;"1992-12-31";"MFL";"";"";"";"1992-01-01"
"POL";"DEU002120300";9048902;"MOD";NA;NA;"PL02309";"GDY-58";"POLONUS";"0352";"";"SNLE";"Y";"Y";"Y";"Y";"";"Y";261536000;"TTP";"OTB";"PTB";"OTM";"TBS";"";"";"80.35";"73.65";"2348.00";"0.00";"0.00";"3000.00";"536.00";2;"1992-12-31";"MFL";"";"";"";"1992-01-01"
"POL";"DEU002120300";9048902;"MOD";NA;NA;"PL02309";"GDY-58";"POLONUS";"0352";"";"SNLE";"Y";"Y";"Y";"Y";"";"Y";261536000;"TTP";"OTB";"PTB";"OTP";"OTM";"PT";"TBS";"80.35";"73.65";"2348.00";"0.00";"0.00";"3000.00";"536.00";2;"1992-12-31";"MFL";"";"";"";"1992-01-01"
