"Country_Code";"CFR";"UVI";"Event_Code";"Event_Start_Date";"Event_End_Date";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"IRCS";"IRCS_Code";"License_Ind";"Vms_Code";"ERS_Code";"AIS_Code";"MMSI";"Vessel_Type";"Gear_Main_Code";"Gear_1_Code";"Gear_2_Code";"Gear_3_Code";"Gear_4_Code";"Gear_5_Code";"Loa";"Lbp";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Date";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Construction_Year";"NA";"NA"
"LTU";"DNK000013689";8413394;"MOD";NA;NA;"904";"KL 904";"INSĖ";"LTKLJ";"Klaipeda";"LYBB";"Y";"Y";"Y";"Y";"";"Y";277547000;"FX";"OTM";"OTB";NA;NA;NA;NA;"39.05";"36.00";"442.00";"0.00";"0.00";"809.00";"210.00";2;"1985-06-01";"MFL";"";"";"PA";"1984-12-31"
"LTU";"DNK000013689";8413394;"MOD";NA;NA;"904";"KL 904";"INSĖ";"LTKLJ";"Klaipeda";"LYBB";"Y";"Y";"Y";"Y";"";"Y";277547000;"FX";"OTM";"OTB";NA;NA;NA;NA;"39.05";"36.00";"442.00";"0.00";"0.00";"809.00";"210.00";2;"1985-06-01";"MFL";"";"";"PA";"1984-12-31"
"LTU";"DNK000013689";8413394;"MOD";NA;NA;"904";"KL 904";"INSĖ";"LTKLJ";"Klaipeda";"LYBB";"Y";"Y";"Y";"Y";"";"Y";277547000;"FX";"OTM";"OTB";NA;NA;NA;NA;"39.05";"36.00";"442.00";"0.00";"0.00";"809.00";"210.00";2;"1985-06-01";"MFL";"";"";"PA";"1984-12-31"
"LTU";"DNK000013689";8413394;"MOD";NA;NA;"904";"KL 904";"INSĖ";"LTKLJ";"Klaipeda";"LYBB";"Y";"Y";"Y";"Y";"";"Y";277547000;"FX";"OTM";"OTB";NA;NA;NA;NA;"39.05";"36.00";"442.00";"0.00";"0.00";"809.00";"210.00";2;"1985-06-01";"MFL";"";"";"PA";"1984-12-31"
"LTU";"DNK000013689";8413394;"MOD";NA;NA;"904";"KL 904";"INSĖ";"LTKLJ";"Klaipeda";"LYBB";"Y";"Y";"Y";"Y";"";"Y";277547000;"FX";"OTM";"OTB";NA;NA;NA;NA;"39.05";"36.00";"442.00";"0.00";"0.00";"809.00";"210.00";2;"1985-06-01";"MFL";"";"";"PA";"1984-12-31"
"LTU";"DNK000013689";8413394;"MOD";NA;NA;"904";"KL 904";"INSĖ";"LTKLJ";"Klaipeda";"LYBB";"Y";"Y";"Y";"Y";"";"Y";277547000;"FX";"OTM";"OTB";NA;NA;NA;NA;"39.05";"36.00";"442.00";"0.00";"0.00";"809.00";"210.00";2;"1985-06-01";"MFL";"";"";"PA";"1984-12-31"
"LTU";"DNK000013689";8413394;"MOD";NA;NA;"904";"KL 904";"INSĖ";"LTKLJ";"Klaipeda";"LYBB";"Y";"Y";"Y";"Y";"";"Y";277547000;"FX";"OTM";"OTB";NA;NA;NA;NA;"39.05";"36.00";"442.00";"0.00";"0.00";"809.00";"210.00";2;"1985-05-31";"MFL";"";"";"";"1984-12-31"
"LTU";"DNK000013689";8413394;"MOD";NA;NA;"904";"KL 904";"INSĖ";"LTKLJ";"Klaipeda";"LYBB";"Y";"Y";"Y";"Y";"";"Y";277547000;"FX";"OTM";"OTB";NA;NA;NA;NA;"39.05";"36.00";"442.00";"0.00";"0.00";"809.00";"210.00";2;"1985-05-31";"MFL";"";"";"";"1984-12-31"
"LTU";"DNK000013689";8413394;"MOD";NA;NA;"904";"KL 904";"INSĖ";"LTKLJ";"Klaipeda";"LYBB";"Y";"Y";"Y";"Y";"N";"Y";277547000;"FX";"OTM";"PTM";NA;NA;NA;NA;"39.05";"36.00";"442.00";"0.00";"0.00";"809.00";"210.00";2;"1985-05-31";"MFL";"";"";"";"1985-01-01"
"LTU";"DNK000013944";7003829;"IMP";NA;NA;"776";"KL 776";"GILIJA";"LTKLJ";"Klaipeda";"LYSK";"Y";"Y";"Y";"Y";"";"Y";277354000;"FX";"OTM";"NK";NA;NA;NA;NA;"50.50";"46.44";"543.00";"0.00";"0.00";"1400.00";"1175.00";2;"1973-12-31";"MFL";"DNK";"";"PA";"1972-12-31"
