"Country_Code";"CFR";"UVI";"Event_Code";"Event_Start_Date";"Event_End_Date";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"IRCS";"IRCS_Code";"License_Ind";"Vms_Code";"ERS_Code";"AIS_Code";"MMSI";"Vessel_Type";"Gear_Main_Code";"Gear_1_Code";"Gear_2_Code";"Gear_3_Code";"Gear_4_Code";"Gear_5_Code";"Loa";"Lbp";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Date";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Construction_Year"
"POL";"DEU000070300";NA;"IMP";20060309;20060329;"PL02006";"WLA-127";"<NO NAME GIVEN>";345;"SPG2811";"Y";"Y";"N";"";"";NA;"FX";"OTB";"OTM";"";"";"";"";"25.40";"22.70";"93.00";"0.00";"0.00";"165.00";"0.00";2;"1972-03-24";"MFL";"DEU";NA;"";"1972-01-01"
"POL";"DEU000070300";NA;"MOD";20060330;20071022;"PL02006";"WLA-127";"<NO NAME GIVEN>";345;"SPG2811";"Y";"Y";"Y";"";"";NA;"FX";"OTB";"OTM";"";"";"";"";"25.40";"22.70";"93.00";"0.00";"0.00";"165.00";"0.00";2;"1972-03-24";"MFL";"";NA;"";"1972-01-01"
"POL";"DEU000070300";NA;"MOD";20071023;20091109;"PL02006";"WLA-127";"<NO NAME GIVEN>";345;"SPG2811";"Y";"Y";"Y";"";"";NA;"FX";"OTB";"OTM";"";"";"";"";"25.40";"22.70";"93.00";"0.00";"0.00";"165.00";"0.00";2;"1972-03-24";"MFL";"";NA;"";"1972-01-01"
"POL";"DEU000370606";NA;"IMP";20061205;20120521;"PL02018";"SWI-48";"<NO NAME GIVEN>";118;"SPS2590";"Y";"Y";"N";"";"";NA;"FX";"OTB";"OTM";"";"";"";"";"11.34";"10.75";"23.11";"0.00";"0.00";"147.00";"0.00";2;"1998-09-01";"MFL";"DEU";NA;"";"1998-01-01"
"POL";"DEU000370606";NA;"MOD";20120522;20161204;"PL02018";"SWI-48";"<NO NAME GIVEN>";118;"SPS2590";"Y";"Y";"N";"";"";NA;"FX";"OTB";"OTM";"";"";"";"";"11.34";"10.75";"23.11";"0.00";"0.00";"147.00";"0.00";2;"1998-09-01";"MFL";"";NA;"";"1998-01-01"
"POL";"DEU001280602";NA;"IMP";20140408;21001231;"PL02280";"KOŁ-288";"No name";225;"SPS3130";"Y";"Y";"Y";"Y";"N";NA;"FX";"OTB";"PTM";"GNS";"LLD";"OTM";"LLS";"12.01";"10.10";"31.48";"0.00";"0.00";"110.00";"0.00";2;"2001-12-18";"MFL";"DEU";NA;"PA";"2001-01-01"
"POL";"DEU002120300";9048902;"IMP";20171002;20180805;"PL02309";"GDY-58";"POLONUS";352;"SNLE";"Y";"Y";"Y";"Y";"Y";261536000;"TT";"OTB";"PTB";"OTM";"";"";"";"80.35";"73.65";"2348.00";"0.00";"0.00";"3000.00";"536.00";2;"1992-12-31";"MFL";"DEU";NA;"PA";"1992-01-01"
"POL";"DEU002120300";9048902;"MOD";20180806;20190307;"PL02309";"GDY-58";"POLONUS";352;"SNLE";"Y";"Y";"Y";"Y";"Y";261536000;"TT";"OTB";"PTB";"OTM";"";"";"";"80.35";"73.65";"2348.00";"0.00";"0.00";"3000.00";"536.00";2;"1992-12-31";"MFL";"";NA;"";"1992-01-01"
"POL";"DEU002120300";9048902;"MOD";20190308;20200123;"PL02309";"GDY-58";"POLONUS";352;"SNLE";"Y";"Y";"Y";"Y";"Y";261536000;"TT";"OTB";"PTB";"OTM";"TBS";"";"";"80.35";"73.65";"2348.00";"0.00";"0.00";"3000.00";"536.00";2;"1992-12-31";"MFL";"";NA;"";"1992-01-01"
"POL";"DEU002120300";9048902;"MOD";20200124;21001231;"PL02309";"GDY-58";"POLONUS";352;"SNLE";"Y";"Y";"Y";"Y";"Y";261536000;"TT";"OTB";"PTB";"OTP";"OTM";"PT";"TBS";"80.35";"73.65";"2348.00";"0.00";"0.00";"3000.00";"536.00";2;"1992-12-31";"MFL";"";NA;"";"1992-01-01"
"POL";"DEU107000301";NA;"CEN";20040501;20081027;"PL00014";"GDY-157";"WIESBADEN";352;"SNBH";"Y";"Y";"Y";"";"";NA;"FX";"OTB";"OTM";"";"";"";"";"91.98";"84.90";"3071.00";"0.00";"0.00";"3530.00";"588.00";2;"1973-12-31";"MFL";"";NA;"";"1973-01-01"
"POL";"DEU200640201";NA;"CEN";20040501;20080909;"PL00005";"GDY-40";"MERCATOR";352;"SPG2669";"Y";"Y";"Y";"";"";NA;"FX";"OTB";"OTM";"";"";"";"";"26.09";"23.45";"120.00";"128.65";"0.00";"296.00";"0.00";2;"1973-01-05";"MFL";"";NA;"";"1972-01-01"
"POL";"DEU300540207";NA;"IMP";20050310;20061221;"PL01995";"WŁA-44";"No name";345;"";"N";"Y";"N";"N";"N";NA;"FX";"GNS";"LLS";"LLD";"GND";"";"";"10.52";"9.55";"9.48";"0.00";"0.00";"50.00";"0.00";3;"1983-05-20";"MFL";"DEU";NA;"PA";"1982-01-01"
"POL";"DEU300540207";NA;"MOD";20061222;20150915;"PL01995";"WŁA-44";"No name";345;"";"N";"Y";"N";"N";"N";NA;"FX";"GNS";"GND";"LLS";"LLD";"";"";"10.52";"9.55";"9.48";"0.00";"0.00";"50.00";"0.00";3;"1983-05-20";"MFL";"";NA;"";"1982-01-01"
"POL";"DEU300540207";NA;"MOD";20150916;21001231;"PL01995";"WŁA-44";"No name";345;"SPG2761";"Y";"Y";"N";"N";"N";NA;"FX";"GNS";"FPO";"LLS";"LLD";"";"";"10.52";"9.55";"9.48";"0.00";"0.00";"50.00";"0.00";3;"1983-05-20";"MFL";"";NA;"";"1982-01-01"
"POL";"DEU300590207";NA;"CEN";20040501;20040620;"PL00002";"KOL-184";"LAGUNA";225;"SPS2434";"Y";"Y";"Y";"";"";NA;"FX";"OTM";"OTB";"";"";"";"";"29.95";"27.53";"184.00";"0.00";"0.00";"588.00";"0.00";2;"1965-12-31";"MFL";"";NA;"";"1965-01-01"
"POL";"DEU300590207";NA;"MOD";20040621;20040720;"PL00002";"WLA-54";"<NO NAME GIVEN>";345;"SPS2434";"Y";"Y";"Y";"";"";NA;"FX";"OTM";"OTB";"";"";"";"";"29.95";"27.53";"184.00";"0.00";"0.00";"588.00";"0.00";2;"1965-12-31";"MFL";"";NA;"";"1965-01-01"
"POL";"DEU300590207";NA;"MOD";20040721;20080218;"PL00002";"WLA-54";"LAGUNA";345;"SPS2434";"Y";"Y";"Y";"";"";NA;"FX";"OTM";"OTB";"";"";"";"";"29.95";"27.53";"184.00";"0.00";"0.00";"588.00";"0.00";2;"1965-12-31";"MFL";"";NA;"";"1965-01-01"
"POL";"DEU300590207";NA;"MOD";20080219;20091026;"PL00002";"WLA-54";"LAGUNA";345;"SPS2434";"Y";"Y";"Y";"";"";NA;"FX";"OTM";"OTB";"";"";"";"";"29.95";"27.53";"184.00";"0.00";"0.00";"588.00";"0.00";2;"1965-12-31";"MFL";"";NA;"";"1965-01-01"
"POL";"DEU300740207";NA;"CEN";20040501;20050105;"PL00021";"MRZ-10";"BORNEO";123;"SPS2466";"Y";"Y";"N";"";"";NA;"FX";"OTB";"OTM";"";"";"";"";"18.10";"16.84";"44.00";"0.00";"0.00";"221.00";"0.00";1;"2003-10-13";"MFL";"";NA;"";"1951-01-01"
"POL";"DEU300740207";NA;"MOD";20050106;20071016;"PL00021";"MRZ-10";"BORNEO";123;"SPS2466";"Y";"Y";"Y";"";"";NA;"FX";"OTB";"OTM";"";"";"";"";"18.10";"16.84";"44.00";"0.00";"0.00";"221.00";"0.00";1;"2003-10-13";"MFL";"";NA;"";"1951-01-01"
"POL";"DEU300740207";NA;"MOD";20071017;20081116;"PL00021";"MRZ-10";"BORNEO";123;"SPS2466";"Y";"Y";"Y";"";"";NA;"FX";"OTB";"OTM";"";"";"";"";"18.10";"16.84";"44.00";"0.00";"0.00";"221.00";"0.00";1;"2003-10-13";"MFL";"";NA;"";"1951-01-01"
"POL";"DNK000009275";NA;"IMP";20210218;21001231;"PL02328";"SWA-26";"No name";343;"SPG4455";"Y";"Y";"N";"N";"N";NA;"WOX";"FYK";"GNS";"FPO";"LLS";"LLD";"";"7.50";"6.84";"2.50";"0.00";"0.00";"20.00";"0.00";3;"1976-01-01";"MFL";"DNK";NA;"PA";"1976-01-01"
"POL";"DNK000011127";NA;"IMP";20200521;21001231;"PL02324";"JAS-136";"No name";338;"SPG3942";"Y";"Y";"N";"N";"N";NA;"FX";"GNS";"LLD";"LLS";"FPO";"";"";"7.99";"7.16";"2.06";"0.00";"0.00";"29.30";"0.00";3;"1973-01-01";"MFL";"DNK";NA;"PA";"1973-01-01"
"POL";"DNK000012227";NA;"IMP";20100331;20111228;"PL02144";"JAS-79";"<NO NAME GIVEN>";338;"SPG3293";"Y";"Y";"N";"";"";NA;"FX";"OTB";"LLS";"";"";"";"";"13.25";"12.28";"19.77";"0.00";"0.00";"121.00";"0.00";1;"1960-07-01";"MFL";"DNK";NA;"";"1960-01-01"
