"Country_Code";"CFR";"UVI";"Event_Code";"Event_Start_Date";"Event_End_Date";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"IRCS";"IRCS_Code";"License_Ind";"Vms_Code";"ERS_Code";"AIS_Code";"MMSI";"Vessel_Type";"Gear_Main_Code";"Gear_1_Code";"Gear_2_Code";"Gear_3_Code";"Gear_4_Code";"Gear_5_Code";"Loa";"Lbp";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Date";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Construction_Year"
"IRL";"BEL010322007";NA;"IMP";20151014;20190623;"394";"SO394";"DONNA JULIE II";"SO";"EIQL8";"Y";"Y";"N";"N";"N";NA;"MO";"OTB";"GND";"";"";"";"";"11.50";"0.00";"12.40";"0.00";"0.00";"93.26";"9.60";3;"2007-08-20";"MFL";"BEL";NA;"PA";"2007-01-01"
"IRL";"BEL010322007";NA;"MOD";20190624;20190702;"394";"SO394";"DONNA JULIE II";"SO";"EIQL8";"Y";"N";"N";"N";"N";NA;"MO";"OTB";"GND";"GNS";"FPO";"";"";"11.50";"0.00";"12.40";"0.00";"0.00";"93.26";"9.60";3;"2007-08-20";"MFL";"";NA;"PA";"2007-01-01"
"IRL";"BEL010322007";NA;"MOD";20190703;21001231;"394";"SO394";"DONNA JULIE II";"SO";"EIQL8";"Y";"Y";"N";"N";"N";NA;"MO";"OTB";"DRB";"GNS";"FPO";"";"";"11.50";"0.00";"12.40";"0.00";"0.00";"93.26";"9.60";3;"2007-08-20";"MFL";"";NA;"PA";"2007-01-01"
"IRL";"BEL010871987";NA;"IMP";20121221;20130807;"628";"S628";"SEAN ANTHONY";"S";"EIND4";"Y";"Y";"Y";"Y";"Y";NA;"TO";"TBB";"NK";"";"";"";"";"20.06";"0.00";"68.00";"0.00";"0.00";"221.00";"0.00";2;"1987-01-01";"MFL";"BEL";NA;"PA";"1986-01-01"
"IRL";"BEL010871987";NA;"MOD";20130808;20130808;"628";"S628";"SEAN ANTHONY";"S";"EIND4";"Y";"N";"Y";"Y";"Y";NA;"TO";"TBB";"NK";"";"";"";"";"20.06";"0.00";"68.00";"0.00";"0.00";"221.00";"0.00";2;"1987-01-01";"MFL";"";NA;"";"1986-01-01"
"IRL";"BEL010871987";NA;"MOD";20130809;20170710;"628";"S628";"SEAN ANTHONY";"S";"EIND4";"Y";"Y";"Y";"Y";"Y";NA;"TO";"TBB";"NK";"";"";"";"";"20.06";"0.00";"68.00";"0.00";"0.00";"221.00";"0.00";2;"1987-01-01";"MFL";"";NA;"";"1986-01-01"
"IRL";"BEL015181969";NA;"IMP";19990713;20021231;"118";"WD118";"KAREN ANN";"WD";"EI5539";"Y";"Y";"N";"Y";"Y";NA;"MO";"DRB";"NK";"";"";"";"";"24.80";"0.00";"136.00";"0.00";"0.00";"390.00";"0.00";2;"1969-01-01";"4GZ";"BEL";NA;"";"1969-01-01"
"IRL";"BEL015181969";NA;"MOD";20030101;20030430;"118";"WD118";"KAREN ANN";"WD";"EI5539";"Y";"Y";"Y";"Y";"Y";NA;"MO";"DRB";"NK";"";"";"";"";"24.80";"0.00";"136.00";"0.00";"0.00";"390.00";"0.00";2;"1969-01-01";"MFL";"";NA;"";"1969-01-01"
"IRL";"BEL015181969";NA;"MOD";20030501;20041220;"118";"WD118";"KAREN ANN";"WD";"EI5539";"Y";"Y";"Y";"Y";"Y";NA;"MO";"DRB";"NK";"";"";"";"";"24.80";"0.00";"136.00";"0.00";"0.00";"390.00";"0.00";2;"1969-01-01";"MFL";"";NA;"";"1969-01-01"
"IRL";"BEL015181969";NA;"MOD";20041221;20050705;"118";"WD118";"KAREN ANN";"WD";"EI5539";"Y";"Y";"Y";"Y";"Y";NA;"MO";"DRB";"NK";"";"";"";"";"24.80";"0.00";"136.00";"0.00";"0.00";"390.00";"0.00";2;"1969-01-01";"MFL";"";NA;"";"1969-01-01"
