Country,year,vessel_id,vessel_length,trip_id,haul_id,fishing_day,area,ices_rectangle,gear,gear_FR,mesh,selection,registered_target_assemblage,FAO_species,metier_level_6,measure,KG,EUR
POL,2018,AAA-1,15,POLAAA1201806100325,,10-06-2018,27.2.a,,OTB,OTB,100,,,HXC,,weight,400,2500
POL,2018,AAA-1,15,POLAAA1201806100325,,10-06-2018,27.2.a,,OTB,OTB,100,,,SHO,,weight,200,400
POL,2018,AAA-1,15,POLAAA1201806100325,,10-06-2018,27.2.a,,OTB,OTB,100,,,HER,,weight,500,475
POL,2018,AAA-1,15,POLAAA1201806100325,,10-06-2018,27.2.a,,OTB,OTB,100,,,SPR,,weight,1800,1710
POL,2018,AAA-1,15,POLAAA1201807011230,,02-07-2018,27.3.d.25,37G5,OTB,OTB,110,,,COD,,weight,500,
POL,2018,AAA-1,15,POLAAA1201807011230,,02-07-2018,27.3.d.25,37G5,OTB,OTB,110,,,FLE,,weight,300,
POL,2018,AAA-1,15,POLAAA1201807011230,,03-07-2018,27.3.d.25,37G5,OTB,OTB,110,,,PLE,,weight,100,
POL,2018,AAA-1,15,POLAAA1201807011230,,04-07-2018,27.3.d.25,37G5,OTB,OTB,110,,,PLE,,weight,100,
POL,2018,AAA-1,15,POLAAA1201811011240,,02-11-2018,27.3.d.25,37G5,GNS,GNS,110,,,COD,,weight,500,
POL,2018,AAA-1,15,POLAAA1201811011240,,02-11-2018,27.3.d.25,37G5,GNS,GNS,110,,,FLE,,weight,300,
POL,2018,AAA-1,15,POLAAA1201811011240,,03-11-2018,27.3.d.25,37G5,GNS,GNS,110,,,COD,,weight,500,
POL,2018,AAA-1,15,POLAAA1201811011240,,03-11-2018,27.3.d.25,37G5,GNS,GNS,110,,,FLE,,weight,300,
POL,2018,AAA-1,15,POLAAA1201812101800,,03-12-2018,27.3.d.25,37G5,LLS,LLS,110,,,FLE,,weight,300,
POL,2018,AAA-1,15,POLAAA1201812101800,,04-12-2018,27.3.d.25,37G5,PTB,PTB,110,,,FLE,,weight,300,
POL,2018,AAA-1,15,POLAAA1201812101800,,05-12-2018,27.3.d.25,37G5,PTB,PTB,110,,,FLE,,weight,300,
POL,2018,ZZZ-2,12.01,POLZZZ2201801250940,,25-01-2018,27.3.d.25,38G5,OTB,OTB,105,1_120,,COD,,value,146,138.7
POL,2018,ZZZ-2,12.01,POLZZZ2201801250940,,25-01-2018,27.3.d.25,38G5,OTB,OTB,105,1_120,,FLE,,weight,1500,1425
POL,2018,ZZZ-2,12.01,POLZZZ2201801250940,,25-01-2018,27.3.d.25,38G5,OTB,OTB,105,1_120,,PLE,,weight,50,47.5
POL,2018,BBB-3,11.99,POLBB3123456,,21-06-2018,27.3.d.24,37G4,GNS,GNS,220,,,COD,,value,146.25,138.9375
POL,2018,BBB-3,11.99,POLBB3123456,,21-06-2018,27.3.d.24,37G4,GNS,GNS,220,,,FLE,,weight,25,23.75
