MS;refYears;spp;region;RFMO;area;select;landings;TAC;shareLanding;Thresh;Comments;Comments2
DK;2016-2018;Raja asterias;North Sea and Eastern Arctic;ICES;IV, VIId;-;-;-;-;-;-;NA
DK;2016-2018;Raja brachyura;North Sea and Eastern Arctic;ICES;IV, VIId;-;-;-;-;-;-;NA
DK;2016-2018;Raja circularis;North Sea and Eastern Arctic;ICES;all areas;-;-;-;-;-;-;NA
DK;2016-2018;Raja clavata;North Sea and Eastern Arctic;ICES;IV, VIId;N;1;-;0%;Y;-;NA
DK;2016-2018;Raja fullonica;North Sea and Eastern Arctic;ICES;all areas;-;-;-;-;-;-;NA
DK;2016-2018;Raja hyperborea;North Sea and Eastern Arctic;ICES;IV, VIId;-;-;-;-;-;-;NA
DK;2016-2018;Raja microocellata;North Sea and Eastern Arctic;ICES;all areas;-;-;-;-;-;-;NA
DK;2016-2018;Raja montagui;North Sea and Eastern Arctic;ICES;IV, VIId;-;-;-;-;-;-;NA
DK;2016-2018;Raja naevus;North Sea and Eastern Arctic;ICES;IV, VIId;N;1;-;0%;Y;-;NA
DK;2016-2018;Raja undulata;North Sea and Eastern Arctic;ICES;VIId;-;-;-;-;-;-;NA
DK;2016-2018;Reinhardtius hippoglossoides;North Sea and Eastern Arctic;ICES;I-II;N;2;-;0%;Y;-;NA
DK;2016-2018;Reinhardtius hippoglossoides;North Sea and Eastern Arctic;ICES;IV;N;-;1%;0%;Y;9%;FIDES Initial.Quantity = 16
DK;2016-2018;Salmo salar;North Sea and Eastern Arctic;ICES;I-II;-;-;-;-;-;-;NA
DK;2016-2018;Salmo salar;North Sea and Eastern Arctic;ICES;IIIa;-;-;-;-;-;-;NA
DK;2016-2018;Salmo salar;North Sea and Eastern Arctic;ICES;IV, VIId;-;-;-;-;-;-;NA
DK;2016-2018;Scomber scombrus;North Sea and Eastern Arctic;ICES;II;N;97;74%;1%;Y;-;FIDES Initial.Quantity = 30639
DK;2016-2018;Scomber scombrus;North Sea and Eastern Arctic;ICES;IIIa;Y;233;62%;43%;N;-;FIDES Initial.Quantity = 17836
DK;2016-2018;Scomber scombrus;North Sea and Eastern Arctic;ICES;IV, VIId;Y;23442;74%;12%;N;-;FIDES Initial.Quantity = 30639
DK;2016-2018;Scophthalmus rhombus;North Sea and Eastern Arctic;ICES;IIIa;N;115;-;79%;Y;-;NA
DK;2016-2018;Scophthalmus rhombus;North Sea and Eastern Arctic;ICES;IV, VIId;N;116;16%;7%;Y;-;FIDES Initial.Quantity = 1113
DK;2016-2018;Scyliorhinus canicula;North Sea and Eastern Arctic;ICES;IV, VIId;-;-;-;-;-;-;NA
DK;2016-2018;Scyliorhinus stellaris;North Sea and Eastern Arctic;ICES;IV, VIId;-;-;-;-;-;-;NA
DK;2016-2018;Sebastes marinus;North Sea and Eastern Arctic;ICES;I-II;N;4;-;6%;Y;-;NA
DK;2016-2018;Sebastes mentella;North Sea and Eastern Arctic;ICES;I-II;-;-;-;-;-;-;NA
DK;2016-2018;Sebastes mentella;North Sea and Eastern Arctic;ICES;IV;N;1;-;100%;Y;-;NA
DK;2016-2018;Solea solea;North Sea and Eastern Arctic;ICES;IIIa;Y;306;84%;83%;N;-;FIDES Initial.Quantity = 376
DK;2016-2018;Solea solea;North Sea and Eastern Arctic;ICES;IV;N;385;4%;3%;Y;25%;FIDES Initial.Quantity = 597
DK;2016-2018;Solea solea;North Sea and Eastern Arctic;ICES;VIId;-;-;-;-;-;-;NA
DK;2016-2018;Sprattus sprattus;North Sea and Eastern Arctic;ICES;IIIa;Y;3770;72%;82%;N;-;FIDES Initial.Quantity = 17840
DK;2016-2018;Sprattus sprattus;North Sea and Eastern Arctic;ICES;IV;Y;155091;91%;91%;N;-;FIDES Initial.Quantity = 151264
DK;2016-2018;Sprattus sprattus;North Sea and Eastern Arctic;ICES;VIId;N;-;32%;0%;Y;-;FIDES Initial.Quantity = 1071
DK;2016-2018;Squalus acanthias;North Sea and Eastern Arctic;ICES;all areas;N;14;-;54%;Y;-;NA
DK;2016-2018;Torpedo nobiliana;North Sea and Eastern Arctic;ICES;IV, VIId;-;-;-;-;-;-;NA
DK;2016-2018;Trachurus trachurus;North Sea and Eastern Arctic;ICES;IIa;Y;-;10%;0%;N;Sum of MS shares <10% = 33%%;FIDES Initial.Quantity = 9861
DK;2016-2018;Trachurus trachurus;North Sea and Eastern Arctic;ICES;IV, VIId;Y;337;47%;5%;N;-;FIDES Initial.Quantity = 5985
DK;2016-2018;Trisopterus esmarkii;North Sea and Eastern Arctic;ICES;IIIa;Y;406;100%;99%;N;-;FIDES Initial.Quantity = 85186
DK;2016-2018;Trisopterus esmarkii;North Sea and Eastern Arctic;ICES;IV;Y;15540;100%;100%;N;-;FIDES Initial.Quantity = 85186
DK;2016-2018;Zeus faber;North Sea and Eastern Arctic;ICES;IV, VIId;-;-;-;-;-;-;NA
DK;2016-2018;Istiophorus platypterus;Other regions;;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Patellidae;Other regions;;Azores, Madeira and Canary Islands;-;-;-;-;-;-;NA
DK;2016-2018;Sardina pilchardus;Other regions;;Azores, Madeira and Canary Islands;N;988;-;2%;Y;-;NA
DK;2016-2018;Sardinella maderensis;Other regions;;Azores, Madeira and Canary Islands;-;-;-;-;-;-;NA
DK;2016-2018;Scomber japonicus;Other regions;;Azores, Madeira and Canary Islands;-;-;-;-;-;-;NA
DK;2016-2018;Sparisoma cretense;Other regions;;Azores, Madeira and Canary Islands;-;-;-;-;-;-;NA
DK;2016-2018;Trachurus spp;Other regions;;Azores, Madeira and Canary Islands;-;-;-;-;-;-;NA
DK;2016-2018;Champsocephalus gunnari;Other regions;CCAMLR;CCAMLR Convention Area;-;-;-;-;-;-;NA
DK;2016-2018;Dissostichus spp Dissostichus eleginoides and Dissostichus mawsoni);Other regions;CCAMLR;CCAMLR Convention Area;-;-;-;-;-;-;NA
DK;2016-2018;Euphausia superba;Other regions;CCAMLR;CCAMLR Convention Area;-;-;-;-;-;-;NA
DK;2016-2018;Brachydeuterus spp;Other regions;CECAF;34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Caranx spp;Other regions;CECAF;34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Cynoglossus spp;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Decapterus spp;Other regions;CECAF;34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Dentex canariensis;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Dentex congoensis;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Dentex macrophthalmus;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Dentex maroccanus;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Dentex spp;Other regions;CECAF;34.1.1;N;11;-;5%;Y;-;NA
DK;2016-2018;Engraulis encrasicolus;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Epinephelus aeneus;Other regions;CECAF;34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Ethmalosa fimbriata;Other regions;CECAF;34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Farfantepenaeus notialis;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Galeoides decadactylus;Other regions;CECAF;34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Loligo vulgaris;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Merluccius polli;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Merluccius senegalensis;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Merluccius spp;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Octopus vulgaris;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Pagellus acarne;Other regions;CECAF;34.1.1;-;-;-;-;-;-;NA
DK;2016-2018;Pagellus bellottii;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Pagellus bogaraveo;Other regions;CECAF;34.1.1;-;-;-;-;-;-;NA
DK;2016-2018;Pagellus spp;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Pagrus caeruleostictus;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Parapenaeus longirostris;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Pomadasys incisus;Other regions;CECAF;34.1.1;-;-;-;-;-;-;NA
DK;2016-2018;Pomadasys spp;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Pseudotolithus spp;Other regions;CECAF;34.1.1;-;-;-;-;-;-;NA
DK;2016-2018;Sardina pilchardus;Other regions;CECAF;34.1.1,34.1.3;N;988;-;2%;Y;-;NA
DK;2016-2018;Sardinella aurita;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Sardinella maderensis;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Scomber japonicus;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Scomber spp,Scomber australasicus,Scomber scombrus,Scomber japonicus;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Sepia hierredda;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Sepia officinalis;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Sepia spp;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Sparidae;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Sparus spp;Other regions;CECAF;34.1.1;-;-;-;-;-;-;NA
DK;2016-2018;Trachurus trachurus;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;N;153;-;0%;Y;-;NA
DK;2016-2018;Trachurus trecae;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Umbrina canariensis;Other regions;CECAF;34.3.3-6;-;-;-;-;-;-;NA
DK;2016-2018;Katsuwonus pelamis;Other regions;IATTC;East Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Makaira indica;Other regions;IATTC;East Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Makaira nigricans (or mazara);Other regions;IATTC;East Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Tetrapturus audax;Other regions;IATTC;East Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus alalunga;Other regions;IATTC;East Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus albacares;Other regions;IATTC;East Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus obesus;Other regions;IATTC;East Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus orientalis;Other regions;IATTC;East Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Xiphias gladius;Other regions;IATTC;East Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Acanthocybium solandri;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Auxis rochei;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Auxis thazard;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Coryphaena hippurus;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Euthynnus alleteratus;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Istiophorus albicans;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Katsuwonus pelamis;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Makaira nigricans (or mazara);Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Orcynopsis unicolor;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Prionace glauca;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Sarda sarda;Other regions;ICCAT;Atlantic Ocean and adjacent seas;Y;1;-;0%;N;-;NA
DK;2016-2018;Scomberomorus brasiliensis;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Scomberomorus cavalla;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Scomberomorus maculatus;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Scomberomorus regalis;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Scomberomorus tritor;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Tetrapturus albidus;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus alalunga;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus albacares;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus atlanticus;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus obesus;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus thynnus;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Xiphias gladius;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;-;NA
DK;2016-2018;Alopias pelagicus;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Alopias superciliosus;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Auxis rochei;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Auxis thazard;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Carcharhinus falciformes;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Carcharhinus longimanus;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Coryphaena hippurus;Other regions;IOTC;Runion et Mayotte;-;-;-;-;-;-;NA
DK;2016-2018;Euthynnus affinis;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Istiophorus platypterus;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Katsuwonus pelamis;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Makaira indica;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Makaira nigricans (or mazara);Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Prionace glauca;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Scomberomorus commerson;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Scomberomorus guttatus;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Sphyrna lewini;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Tetrapturus audax;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus alalunga;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus albacares;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus obesus;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus tonggol;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Xiphias gladius;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;-;NA
DK;2016-2018;Gadus morhua;Other regions;NAFO 2J 3KL;21;-;-;-;-;-;-;NA
DK;2016-2018;Glyptocephalus cynoglossus;Other regions;NAFO 2J3KL;21;-;-;-;-;-;-;NA
DK;2016-2018;Reinhardtius hippoglossoides;Other regions;NAFO 3KLMNO;21;-;-;-;-;-;-;NA
DK;2016-2018;Sebastes spp;Other regions;NAFO 3LN;21;-;-;-;-;-;-;NA
DK;2016-2018;Hippoglossoides platessoides;Other regions;NAFO 3LNO;21;-;-;-;-;-;-;NA
DK;2016-2018;Limanda ferruginea;Other regions;NAFO 3LNO;21;-;-;-;-;-;-;NA
DK;2016-2018;Pandalus borealis;Other regions;NAFO 3LNO;21;-;-;-;-;-;-;NA
DK;2016-2018;Amblyraja radiata;Other regions;NAFO 3LNOPs;21;-;-;-;-;-;-;NA
DK;2016-2018;Gadus morhua;Other regions;NAFO 3M;21;-;-;-;-;-;-;NA
DK;2016-2018;Hippoglossoides platessoides;Other regions;NAFO 3M;21;-;-;-;-;-;-;NA
DK;2016-2018;Pandalus borealis;Other regions;NAFO 3M;21;-;-;-;-;-;-;NA
DK;2016-2018;Sebastes spp;Other regions;NAFO 3M;21;-;-;-;-;-;-;NA
DK;2016-2018;Gadus morhua;Other regions;NAFO 3NO;21;-;-;-;-;-;-;NA
DK;2016-2018;Glyptocephalus cynoglossus;Other regions;NAFO 3NO;21;-;-;-;-;-;-;NA
DK;2016-2018;Mallotus villosus;Other regions;NAFO 3NO;21;-;-;-;-;-;-;NA
DK;2016-2018;Urophycis tenuis;Other regions;NAFO 3NO;21;-;-;-;-;-;-;NA
DK;2016-2018;Sebastes spp;Other regions;NAFO 3O;21;-;-;-;-;-;-;NA
DK;2016-2018;Gadus morhua;Other regions;NAFO 3Ps;21;-;-;-;-;-;-;NA
DK;2016-2018;Beryx sp.;Other regions;NAFO 6G;21;-;-;-;-;-;-;NA
DK;2016-2018;Salmo salar;Other regions;NAFO S1 + ICES Sub- area XIV;21;-;-;-;-;-;-;NA
DK;2016-2018;Coryphaenoides rupestris;Other regions;NAFO SA0 + 1;21;-;-;-;-;-;-;NA
DK;2016-2018;Gadus morhua;Other regions;NAFO SA1;21;-;-;-;-;-;-;NA
DK;2016-2018;Hippoglossus hippoglossus;Other regions;NAFO SA1;21;-;-;-;-;-;-;NA
DK;2016-2018;Reinhardtius hippoglossoides;Other regions;NAFO SA1;21;-;-;-;-;-;-;NA
DK;2016-2018;Sebastes mentella;Other regions;NAFO SA1;21;-;-;-;-;-;-;NA
DK;2016-2018;Macrourus berglax;Other regions;NAFO SA2 + 3;21;-;-;-;-;-;-;NA
DK;2016-2018;Illex illecebrosus;Other regions;NAFO Subareas 3 + 4;21;-;-;-;-;-;-;NA
DK;2016-2018;Allocyttus guineensis;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Allocyttus verucossus;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Antimora rostrata;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Beryx spp,Beryx splendens,Beryx decadactylus;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Chaceon spp;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Dissostichus eleginoides;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Emmelichthys nitidus;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Epigonus spp;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Helicolenus spp;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Hoplostethus atlanticus;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Jasus tristani;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Lepidotus caudatus;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Macrourus spp;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Merluccius spp;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Neocyttus romboidales;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Notopogon fernandezianus;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Octopodidae and Loliginidae;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Polyprion americanus;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Promethichthys prometheus;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Pseudocyttu smaculatus;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Pseudopentaceros richardsoni;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Ruvettus pretiosus;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Schedophilus ovalis;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Schedophilus velaini;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Scomber spp,Scomber australasicus,Scomber scombrus,Scomber japonicus;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Trachurus spp;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Lutjanidae;Other regions;SIOFA;Runion et Mayotte;-;-;-;-;-;-;NA
DK;2016-2018;Selar crumenophthalmus;Other regions;SIOFA;Runion et Mayotte;-;-;-;-;-;-;NA
DK;2016-2018;Serranidae;Other regions;SIOFA;Runion et Mayotte;-;-;-;-;-;-;NA
DK;2016-2018;Trachurus murphyi;Other regions;SPRFMO;SPRFMO Convention Area;-;-;-;-;-;-;NA
DK;2016-2018;Acanthocybium solandri;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Alopias pelagicus;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Alopias superciliosus;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Alopias vulpinus;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Carcharhinus falciformis;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Carcharhinus longimanus;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Coryphaena hippurus;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Elagatis bipinnulata;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Katsuwonus pelamis;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Lampris regius;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Lepidocybium f lavobrunneum;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Makaira indica;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Makaira nigricans (or mazara);Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Mola mola;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Prionace glauca;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Ruvettus pretiosus;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Tetrapturus angustirostris;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Tetrapturus audax;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus alalunga;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus albacares;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus obesus;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Thunnus orientalis;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018;Xiphias gladius;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;-;NA
DK;2016-2018; Rajidae;Other regions;WECAFC;West Central Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Ariidae;Other regions;WECAFC;French Guyana;-;-;-;-;-;-;NA
DK;2016-2018;Centropomus spp;Other regions;WECAFC;French Guyana;-;-;-;-;-;-;NA
DK;2016-2018;Cynoscion acoupa;Other regions;WECAFC;French Guyana;-;-;-;-;-;-;NA
DK;2016-2018;Cynoscion steindachneri;Other regions;WECAFC;French Guyana;-;-;-;-;-;-;NA
DK;2016-2018;Cynoscion virescens;Other regions;WECAFC;French Guyana;-;-;-;-;-;-;NA
DK;2016-2018;Epinephelus guttatus;Other regions;WECAFC;West Central Atlantic;-;-;-;-;-;-;NA
DK;2016-2018;Genyatremus luteus;Other regions;WECAFC;French Guyana;-;-;-;-;-;-;NA
DK;2016-2018;Haemulidae;Other regions;WECAFC;Guadeloupe and Martinique;-;-;-;-;-;-;NA
DK;2016-2018;Lobotes surinamensis;Other regions;WECAFC;French Guyana;-;-;-;-;-;-;NA
DK;2016-2018;Lutjanidae;Other regions;WECAFC;Guadeloupe and Martinique;-;-;-;-;-;-;NA
DK;2016-2018;Lutjanus buccanella;Other regions;WECAFC;West Central Atlantic;-;-;-;-;-;-;NA
