"Country_Code";"CFR";"UVI";"Event_Code";"Event_Start_Date";"Event_End_Date";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"IRCS";"IRCS_Code";"License_Ind";"Vms_Code";"ERS_Code";"AIS_Code";"MMSI";"Vessel_Type";"Gear_Main_Code";"Gear_1_Code";"Gear_2_Code";"Gear_3_Code";"Gear_4_Code";"Gear_5_Code";"Loa";"Lbp";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Date";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Construction_Year"
"FRA";"ESP000022941";9108013;"MOD";20190605;20210506;932998;"BA932998";"PLAYA DE TUYA";"BA";"FIUW";"Y";"Y";"N";"Y";"Y";228067700;"FX";"OTB";"NO";"";"";"";NA;"33.50";"33.00";"279.00";"0.00";"0.00";"707.00";"0.00";2;"2015-08-06";"MFL";"";NA;"";"1994-01-01"
"FRA";"ESP000022972";9103257;"MOD";20190423;20210506;922721;"BA922721";"RIO DA BOUZA";"BA";"FFZU";"Y";"Y";"Y";"Y";"Y";228004700;"FX";"OTB";"NO";"NO";"NO";"NO";NA;"30.47";"30.00";"250.00";"178.47";"0.00";"588.00";"0.00";2;"2011-03-22";"MFL";"";NA;"";"1995-01-01"
"FRA";"ESP000022984";9108025;"MOD";20190416;20210506;929520;"BA929520";"FERREIRA MARTINEZ";"BA";"FLTR";"Y";"Y";"Y";"Y";"Y";228349800;"FX";"OTB";"NO";"";"";"";NA;"28.99";"25.00";"227.00";"158.60";"0.00";"570.00";"0.00";4;"2010-07-02";"MFL";"";NA;"";"1994-01-01"
"FRA";"ESP000023157";9105712;"MOD";20190503;20210506;930430;"BA930430";"FARPESCA";"BA";"FHZJ";"Y";"Y";"Y";"Y";"Y";228015700;"FX";"OTB";"NO";"";"";"";NA;"33.09";"30.00";"305.00";"196.90";"0.00";"810.00";"0.00";2;"2011-09-28";"MFL";"";NA;"";"1996-01-01"
"FRA";"ESP000023601";9160645;"MOD";20190611;20210223;931195;"BA931195";"MARIA VIDAL";"BA";"FIFF";"Y";"Y";"Y";"Y";"Y";228031700;"FX";"LLS";"LLD";"";"";"";NA;"24.82";"24.05";"244.00";"113.29";"0.00";"588.00";"0.00";2;"2012-11-15";"MFL";"";NA;"";"1997-01-01"
"FRA";"ESP000023933";9187291;"MOD";20190320;20210506;930501;"BA930501";"FARO PICAMILLO";"BA";"FICU";"Y";"Y";"Y";"Y";"Y";226045000;"FX";"OTB";"NO";"";"";"";NA;"32.00";"29.36";"298.00";"191.34";"0.00";"588.00";"0.00";2;"2012-02-23";"MFL";"";NA;"";"1998-01-01"
"FRA";"ESP000024117";9194189;"MOD";20190819;20210506;935990;"BA935990";"PUENTEAREAS UNO";"BA";"FLXH";"Y";"Y";"Y";"Y";"Y";228378700;"FX";"OTB";"OTM";"";"";"";NA;"36.00";"31.76";"340.00";"0.00";"0.00";"720.00";"0.00";2;"2019-07-19";"MFL";"";NA;"";"1999-01-01"
"FRA";"ESP000024554";8962503;"MOD";20200109;20210506;930590;"BA930590";"PEDRA BLANCA II";"BA";"FIDD";"Y";"Y";"Y";"Y";"Y";228020900;"FX";"OTB";"NO";"";"";"";NA;"29.38";"25.00";"295.00";"168.33";"0.00";"688.00";"0.00";2;"2012-01-27";"MFL";"";NA;"";"2000-01-01"
"FRA";"ESP000024588";9221542;"MOD";20190507;20210428;932355;"LO932355";"ARGELES";"LO";"FIOI";"Y";"Y";"Y";"Y";"Y";228048600;"FX";"OTB";"NO";"";"";"";NA;"33.60";"33.00";"393.00";"211.81";"0.00";"954.00";"0.00";2;"2014-11-18";"MFL";"";NA;"";"2000-01-01"
"FRA";"ESP000024996";8968519;"MOD";20190424;20210506;930703;"BA930703";"RADOCHE TERCERO";"BA";"FIDH";"Y";"Y";"Y";"Y";"Y";228021800;"FX";"OTB";"NO";"NO";"NO";"NO";NA;"30.43";"25.00";"311.00";"177.43";"0.00";"888.00";"0.00";2;"2012-03-12";"MFL";"";NA;"";"2001-01-01"
