"Country_Code";"CFR";"UVI";"Event_Code";"Event_Start_Date";"Event_End_Date";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"IRCS";"IRCS_Code";"License_Ind";"Vms_Code";"ERS_Code";"AIS_Code";"MMSI";"Vessel_Type";"Gear_Main_Code";"Gear_1_Code";"Gear_2_Code";"Gear_3_Code";"Gear_4_Code";"Gear_5_Code";"Loa";"Lbp";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Date";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Construction_Year"
"DNK";"DEU302540207";9034080;"MOD";20160428;21001231;"DEU302540207";"L153";"MALLE";"23001";"OUOT";"Y";"Y";"Y";"Y";"Y";220166000;"TOX";"OTB";"NO";"";"";NA;NA;"43.80";"43.80";"620.00";"0.00";"0.00";"500.00";"0.00";2;"1992-01-01";"MFL";"";NA;"";"1992-01-01"
"DNK";"DEU302640234";NA;"MOD";20140218;21001231;"DEU302640234";"L124";"PETER";"23001";"";"N";"Y";"N";"N";"N";NA;"WO";"GNS";"NO";"";"";NA;NA;"7.28";"6.56";"2.90";"0.00";"0.00";"42.00";"0.00";3;"2005-12-01";"MFL";"";NA;"";"1997-01-01"
"DNK";"DNK000000032";NA;"MOD";20150224;21001231;"DNK000000032";"FN168";"GRÆSHOLM";"12001";"OU5721";"Y";"Y";"N";"N";"N";219001553;"FX";"GNS";"OTB";"";"";NA;NA;"9.95";"9.95";"10.40";"0.00";"0.00";"93.00";"0.00";1;"1968-01-01";"MFL";"";NA;"";"1968-01-01"
"DNK";"DNK000000040";NA;"MOD";20030101;21001231;"FA50";"FA50";"INGRID";"10016";"5PHX";"Y";"Y";"N";"";"";NA;"FX";"SDN";"OTB";"";"";NA;NA;"11.89";"11.65";"15.70";"0.00";"0.00";"81.00";"0.00";1;"1944-01-01";"MFL";"";NA;"";"1944-01-01"
"DNK";"DNK000000134";NA;"MOD";20201110;20210831;"DNK000000134";"ND83";"NANNA-METTE";"DKKLH";"XP3071";"Y";"Y";"N";"N";"N";NA;"WO";"GNS";"LLS";"OTB";"SDN";NA;NA;"8.05";"8.05";"2.50";"0.00";"0.00";"33.00";"0.00";3;"1973-01-01";"MFL";"";NA;"";"1973-01-01"
"DNK";"DNK000000172";NA;"CHA";20111214;21001231;"KA83";"KA83";"VERITAS";"32014";"XP3156";"Y";"Y";"N";"";"";NA;"FX";"GNS";"LTL";"";"";NA;NA;"7.75";"0.00";"4.00";"0.00";"0.00";"16.00";"0.00";3;"1974-01-01";"MFL";"";NA;"";"1974-01-01"
"DNK";"DNK000000174";NA;"MOD";20130827;21001231;"O40";"O40";"ILSE";"08018";"OU5901";"Y";"Y";"N";"";"";NA;"FX";"GNS";"OTB";"";"";NA;NA;"7.55";"0.00";"1.90";"0.00";"0.00";"22.00";"0.00";3;"1974-01-01";"MFL";"";NA;"";"1974-01-01"
"DNK";"DNK000000249";NA;"MOD";20170331;21001231;"A201";"A201";"HEIAN";"25035";"XP3015";"Y";"Y";"N";"";"";NA;"FX";"OTB";"GNS";"";"";NA;NA;"11.99";"0.00";"14.60";"0.00";"0.00";"121.00";"0.00";1;"1972-01-01";"MFL";"";NA;"";"1972-01-01"
"DNK";"DNK000000251";NA;"MOD";20200824;20220106;"DNK000000251";"HM110";"DOZER";"DKHAN";"XP2898";"Y";"Y";"N";"N";"N";NA;"MTG";"OTB";"GNS";"SDN";"LLS";NA;NA;"11.98";"11.98";"11.50";"0.00";"0.00";"125.00";"0.00";1;"1970-01-01";"MFL";"";NA;"";"1970-01-01"
"DNK";"DNK000000569";NA;"MOD";20070101;21001231;"FN20";"FN20";"BRITTA AAEN";"12001";"XP2052";"Y";"Y";"Y";"";"";NA;"FX";"SDN";"NO";"";"";NA;NA;"14.57";"0.00";"23.00";"0.00";"0.00";"129.00";"0.00";1;"1928-01-01";"MFL";"";NA;"";"1928-01-01"
"DNK";"DNK000000593";NA;"CHA";20080422;20210919;"DNK000000593";"SG26";"LIANCI";"DKLUN";"XP3475";"Y";"Y";"N";"N";"N";NA;"WO";"GNS";"NK";"OTB";"";NA;NA;"7.98";"7.98";"4.30";"0.00";"0.00";"56.00";"0.00";3;"1976-01-01";"MFL";"";NA;"";"1976-01-01"
"DNK";"DNK000000595";NA;"MOD";20080205;21001231;"SG23";"SG23";"LILJEN";"09040";"5QDJ";"Y";"Y";"N";"";"";NA;"FX";"GNS";"OTB";"";"";NA;NA;"10.07";"0.00";"8.60";"0.00";"0.00";"53.00";"0.00";1;"1950-01-01";"MFL";"";NA;"";"1950-01-01"
"DNK";"DNK000000754";NA;"MOD";20201027;21001231;"DNK000000754";"L141";"HIGH FIVE";"23001";"OU9714";"Y";"Y";"N";"N";"N";NA;"WO";"GNS";"LLS";"";"";NA;NA;"8.65";"8.65";"4.10";"0.00";"0.00";"47.00";"0.00";3;"1975-01-01";"MFL";"";NA;"";"1974-01-01"
"DNK";"DNK000001042";NA;"MOD";20070101;20210427;"DNK000001042";"FA10";"CALYPSO";"DKFRC";"";"N";"Y";"N";"N";"N";NA;"WO";"GNS";"NK";"NO";"";NA;NA;"7.70";"7.70";"4.10";"0.00";"0.00";"51.00";"0.00";3;"1977-01-01";"MFL";"";NA;"";"1977-01-01"
"DNK";"DNK000001082";NA;"MOD";20120907;21001231;"";"MI228";"JANNE";"09010";"OU7765";"Y";"Y";"N";"N";"N";NA;"MTG";"OTB";"SDN";"GNS";"";NA;NA;"7.60";"7.60";"2.50";"0.00";"0.00";"22.00";"0.00";3;"1976-01-01";"MFL";"";NA;"";"1976-01-01"
"DNK";"DNK000001093";NA;"MOD";20090101;21001231;"H108";"H108";"SUSSI";"29032";"XPA8075";"Y";"Y";"N";"";"";NA;"FX";"GNS";"GNS";"";"";NA;NA;"8.89";"0.00";"4.60";"0.00";"0.00";"22.00";"0.00";3;"1979-01-01";"MFL";"";NA;"";"1979-01-01"
"DNK";"DNK000001208";NA;"CHA";20110413;21001231;"A30";"A30";"ANJA JUST";"14009";"";"N";"Y";"N";"";"";NA;"FX";"GNS";"OTB";"";"";NA;NA;"7.56";"0.00";"1.90";"0.00";"0.00";"22.00";"0.00";3;"1977-01-01";"MFL";"";NA;"";"1977-01-01"
"DNK";"DNK000001213";NA;"MOD";20151015;21001231;"RI89";"RI89";"BERTHA";"20001";"XP8749";"Y";"Y";"N";"";"";NA;"FX";"GNS";"NO";"";"";NA;NA;"7.98";"0.00";"5.20";"0.00";"0.00";"51.00";"0.00";3;"1976-01-01";"MFL";"";NA;"";"1976-01-01"
"DNK";"DNK000001215";NA;"CHA";20130612;20220213;"DNK000001215";"SG76";"LINDA";"DKNBG";"XPA7313";"Y";"Y";"N";"N";"N";NA;"FX";"GNS";"LLS";"NK";"";NA;NA;"7.61";"7.61";"2.00";"0.00";"0.00";"16.00";"0.00";3;"1977-01-01";"MFL";"";NA;"";"1977-01-01"
"DNK";"DNK000001224";NA;"MOD";20070918;20210329;"";"KA91";"JOLLY";"32028";"XP6369";"Y";"Y";"N";"N";"N";NA;"WO";"LLS";"GNS";"";"";NA;NA;"7.70";"7.70";"4.10";"0.00";"0.00";"16.00";"0.00";3;"1978-01-01";"MFL";"";NA;"";"1978-01-01"
"DNK";"DNK000001231";NA;"CHA";20100331;21001231;"KA9";"KA9";"SNUBBI";"32028";"XP3318";"Y";"Y";"N";"";"";NA;"FX";"GNS";"GNS";"";"";NA;NA;"7.99";"0.00";"4.40";"0.00";"0.00";"54.00";"0.00";3;"1975-01-01";"MFL";"";NA;"";"1975-01-01"
