"Country_Code";"CFR";"UVI";"Event_Code";"Event_Start_Date";"Event_End_Date";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"IRCS";"IRCS_Code";"License_Ind";"Vms_Code";"ERS_Code";"AIS_Code";"MMSI";"Vessel_Type";"Gear_Main_Code";"Gear_1_Code";"Gear_2_Code";"Gear_3_Code";"Gear_4_Code";"Gear_5_Code";"Loa";"Lbp";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Date";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Construction_Year"
"DEU";"BEL011101959";NA;"MOD";20180116;21001231;"FED10";"FED10";"OSTWIND";"0301";"DGDM2";"Y";"Y";"Y";"Y";"Y";211653680;"TU";"TBB";"NK";"";"";"";NA;"18.00";"16.20";"34.00";"0.00";"0.00";"221.00";"0.00";2;"1989-01-01";"MFL";"";NA;"";"1959-01-01"
"DEU";"DEU000010619";NA;"MOD";20140108;21001231;"HER12";"HER12";"SEESCHWALBE";"0620";"";"N";"Y";"N";"";"";NA;"FX";"GNS";"LLS";"";"";"";NA;"8.60";"7.10";"5.00";"0.00";"0.00";"36.00";"0.00";1;"1978-04-03";"MFL";"";NA;"";"1978-01-01"
"DEU";"DEU000010621";NA;"MOD";20191127;20211231;"AHL43";"AHL43";"---";"0618";"";"N";"Y";"N";"N";"N";NA;"GO";"GNS";"LLS";"";"";"";NA;"6.00";"0.00";"1.00";"0.00";"0.00";"24.00";"0.00";1;"1976-05-02";"MFL";"";NA;"";"1976-01-01"
"DEU";"DEU000010625";NA;"MOD";20140605;21001231;"ZIW1";"ZIW1";"---";"0625";"";"N";"Y";"N";"";"";NA;"FX";"GNS";"LLS";"";"";"";NA;"6.80";"6.05";"2.00";"5.50";"0.00";"18.00";"0.00";1;"1977-03-01";"MFL";"";NA;"";"1977-01-01"
"DEU";"DEU000010633";NA;"MOD";20041104;21001231;"USE1";"USE1";"---";"0633";"";"N";"Y";"N";"";"";NA;"FX";"GNS";"LLS";"";"";"";NA;"8.40";"7.32";"2.00";"2.43";"0.00";"6.00";"0.00";2;"1978-04-15";"MFL";"";NA;"";"1978-01-01"
"DEU";"DEU000010637";NA;"MOD";20031120;21001231;"NEU001";"NEU001";"LACHS";"0637";"Y4TY";"Y";"Y";"N";"";"";NA;"FX";"GNS";"OTB";"";"";"";NA;"11.59";"11.04";"17.00";"19.41";"0.00";"162.00";"0.00";1;"1956-05-03";"MFL";"";NA;"";"1956-01-01"
"DEU";"DEU000010639";NA;"MOD";20160301;21001231;"BRE60";"BRE60";"---";"0613";"";"N";"Y";"N";"";"";NA;"FX";"GNS";"LLS";"";"";"";NA;"10.72";"10.42";"7.00";"0.00";"0.00";"37.00";"0.00";1;"1956-11-13";"MFL";"";NA;"";"1956-01-01"
"DEU";"DEU000010669";NA;"MOD";20200113;21001231;"STRA8";"STRA8";"BLINKER";"0252";"";"N";"Y";"N";"N";"N";NA;"GO";"GNS";"FPO";"";"";"";NA;"4.88";"0.00";"1.00";"0.00";"0.00";"8.00";"0.00";3;"2017-05-09";"MFL";"";NA;"";"1998-01-01"
"DEU";"DEU000010671";NA;"CHA";20130211;21001231;"SEE14N";"SEE14N";"---";"0671";"";"N";"Y";"N";"";"";NA;"FX";"GNS";"LLS";"";"";"";NA;"4.52";"0.00";"1.00";"0.00";"0.00";"3.00";"0.00";3;"1999-05-03";"MFL";"";NA;"PA";"1999-01-01"
"DEU";"DEU000010672";NA;"MOD";20171213;21001231;"KROE11";"KROE11";"---";"0672";"";"N";"Y";"N";"";"";NA;"FX";"GNS";"LLS";"";"";"";NA;"5.06";"0.00";"1.00";"0.00";"0.00";"9.00";"0.00";3;"2002-11-12";"MFL";"";NA;"";"2002-01-01"
"DEU";"DEU000010673";NA;"MOD";20080625;21001231;"BAA19N";"BAA19N";"---";"0673";"";"N";"Y";"N";"";"";NA;"FX";"GNS";"LLS";"";"";"";NA;"5.06";"0.00";"1.00";"0.00";"0.00";"4.00";"0.00";3;"2005-11-03";"MFL";"";NA;"";"2005-01-01"
"DEU";"DEU000020400";7315521;"CHA";20160425;21001231;"NG2";"NG2";"RHEIDERLAND";"0315";"DEOG";"Y";"Y";"Y";"Y";"Y";211234500;"TTW";"OTB";"TBB";"";"";"";NA;"26.29";"23.72";"125.00";"0.00";"0.00";"340.00";"0.00";2;"1973-02-21";"MFL";"";NA;"PA";"1973-01-01"
"DEU";"DEU000020615";NA;"MOD";20120928;21001231;"GAG03";"GAG03";"---";"0615";"";"N";"Y";"N";"";"";NA;"FX";"GNS";"LLS";"";"";"";NA;"8.85";"8.50";"6.00";"9.83";"0.00";"18.00";"0.00";1;"1977-02-11";"MFL";"";NA;"";"1977-01-01"
"DEU";"DEU000020623";NA;"CHA";20180129;21001231;"KOS009";"KOS009";"---";"0623";"";"N";"Y";"N";"N";"N";NA;"GO";"GNS";"LLS";"";"";"";NA;"6.60";"6.50";"1.00";"0.00";"0.00";"10.00";"0.00";1;"1969-11-02";"MFL";"";NA;"PA";"1969-01-01"
"DEU";"DEU000020625";NA;"MOD";20140605;21001231;"ZIW2";"ZIW2";"---";"0625";"";"N";"Y";"N";"";"";NA;"FX";"GNS";"LLS";"";"";"";NA;"4.99";"0.00";"1.00";"0.00";"0.00";"26.00";"0.00";3;"2000-03-26";"MFL";"";NA;"";"1999-01-01"
"DEU";"DEU000020631";NA;"MOD";20170315;21001231;"AWA2";"AWA2";"---";"0631";"";"N";"Y";"N";"";"";NA;"FX";"GNS";"FPO";"";"";"";NA;"8.65";"7.45";"3.00";"0.00";"0.00";"52.00";"0.00";2;"1968-07-11";"MFL";"";NA;"PA";"1968-01-01"
"DEU";"DEU000020633";NA;"MOD";20090507;21001231;"USE2";"USE2";"---";"0633";"";"N";"Y";"N";"";"";NA;"FX";"GNS";"FPO";"";"";"";NA;"7.80";"7.15";"2.00";"3.20";"0.00";"6.00";"0.00";2;"1963-01-15";"MFL";"";NA;"PA";"1963-01-01"
"DEU";"DEU000020639";NA;"MOD";20161101;20211231;"UMM6";"UMM6";"---";"0666";"";"N";"Y";"N";"";"";NA;"GO";"GNS";"LLS";"";"";"";NA;"11.00";"10.50";"9.00";"0.00";"0.00";"37.00";"0.00";1;"1931-04-02";"MFL";"";NA;"";"1931-01-01"
"DEU";"DEU000020648";NA;"MOD";20110218;21001231;"PRU2";"PRU2";"---";"0648";"";"N";"Y";"N";"";"";NA;"FX";"GNS";"LLS";"";"";"";NA;"5.80";"0.00";"1.00";"2.37";"0.00";"3.00";"0.00";1;"1983-01-01";"MFL";"";NA;"";"1983-01-01"
"DEU";"DEU000020656";NA;"MOD";20180516;21001231;"BAR17";"BAR17";"---";"0610";"";"N";"Y";"N";"N";"N";NA;"GO";"GNS";"LLS";"";"";"";NA;"5.04";"0.00";"1.00";"0.00";"0.00";"6.00";"0.00";3;"2004-03-15";"MFL";"";NA;"";"1979-01-01"
