"Country_Code";"CFR";"UVI";"Event_Code";"Event_Start_Date";"Event_End_Date";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"IRCS";"IRCS_Code";"License_Ind";"Vms_Code";"ERS_Code";"AIS_Code";"MMSI";"Vessel_Type";"Gear_Main_Code";"Gear_1_Code";"Gear_2_Code";"Gear_3_Code";"Gear_4_Code";"Gear_5_Code";"Loa";"Lbp";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Date";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Construction_Year"
"FIN";"DEU000120400";8332277;"MOD";20140121;21001231;"N/A";"FIN-14-V";"CHRISTINA JARCHAU";"V";"OF7544";"Y";"Y";"Y";"Y";"Y";230996190;"TO";"OTM";"OTB";NA;NA;NA;NA;"33.34";"28.26";"319.00";"0.00";"0.00";"683.00";"173.46";2;"1983-01-01";"MFL";"";NA;"PA";"1983-01-01"
"FIN";"DNK000012310";6900563;"MOD";20190814;21001231;"N/A";"FIN-168-V";"HANNE";"V";"OJQD";"Y";"Y";"Y";"Y";"N";NA;"TO";"OTM";"OTB";NA;NA;NA;NA;"34.70";"31.27";"247.00";"0.00";"0.00";"749.00";"175.00";2;"1968-06-18";"MFL";"";NA;"PA";"1968-01-01"
"FIN";"DNK000012807";NA;"MOD";20200212;21001231;"N/A";"FIN-1143-T";"LINDESNES";"T";"OJQN";"Y";"Y";"Y";"Y";"N";NA;"TO";"OTB";"OTM";NA;NA;NA;NA;"20.60";"18.68";"113.00";"0.00";"0.00";"448.00";"17.00";2;"1985-01-01";"MFL";"";NA;"PA";"1984-01-01"
"FIN";"DNK000013170";7637292;"MOD";20180706;20210816;"N/A";"FIN-172-V";"MILTON";"V";"OH5494";"Y";"Y";"Y";"Y";"Y";230083540;"TO";"OTM";"PTM";NA;NA;NA;NA;"31.70";"28.24";"182.00";"0.00";"0.00";"749.00";"100.00";2;"1976-07-08";"MFL";"";NA;"PA";"1976-01-01"
"FIN";"DNK000013968";7392309;"MOD";20180706;21001231;"N/A";"FIN-1122-T";"LAGUNA";"T";"OJ9406";"Y";"Y";"Y";"Y";"N";NA;"TO";"OTM";"PTM";NA;NA;NA;NA;"40.80";"37.30";"441.00";"0.00";"0.00";"956.15";"847.00";2;"1974-01-01";"MFL";"";NA;"PA";"1974-01-01"
"FIN";"FIN000010015";NA;"MOD";20110101;21001231;"FIN-122-U";"FIN-122-U";"JUN";"U";"OG3619";"Y";"Y";"N";"";"";NA;"FX";"GNS";"GNS";NA;NA;NA;NA;"10.35";"0.00";"7.91";"0.00";"0.00";"154.46";"0.00";3;"1988-01-01";"MFL";"";NA;"PA";"1988-01-01"
"FIN";"FIN000010019";NA;"CHA";20150508;21001231;"FIN-126-U";"FIN-126-U";"OLGA";"U";"OF6638";"Y";"Y";"N";"";"";NA;"FX";"LLD";"GNS";NA;NA;NA;NA;"10.30";"0.00";"10.17";"0.00";"0.00";"183.00";"0.00";3;"1981-04-20";"MFL";"";NA;"PA";"1980-01-01"
"FIN";"FIN000010021";NA;"MOD";20191105;21001231;"N/A";"FIN-141-K";"Wäiski";"K";"";"N";"Y";"N";"N";"N";NA;"TO";"OTM";"GNS";NA;NA;NA;NA;"10.95";"0.00";"12.61";"0.00";"0.00";"150.00";"0.00";1;"1984-12-12";"MFL";"";NA;"PA";"1935-01-01"
"FIN";"FIN000010023";NA;"CHA";20151118;21001231;"FIN-130-U";"FIN-130-U";"JOHANNA";"U";"";"N";"Y";"N";"";"";NA;"FX";"GNS";"GNS";NA;NA;NA;NA;"11.20";"0.00";"11.11";"0.00";"0.00";"73.60";"0.00";1;"1975-09-22";"MFL";"";NA;"PA";"1975-01-01"
"FIN";"FIN000010041";NA;"MOD";20180423;21001231;"FIN-31523-V";"FIN-31523-V";"DUNKER";"V";"";"N";"Y";"N";"";"";NA;"FX";"GNS";"GNS";NA;NA;NA;NA;"11.99";"0.00";"15.47";"0.00";"0.00";"184.00";"0.00";3;"1989-06-12";"MFL";"";NA;"PA";"1989-01-01"
