Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
NLD;BEL000041982;;IMP;2012-01-12;2012-04-02;BEL000041982;BR-9;ASTRID;NLBRS;Breskens;;N;Y;N;N;N;N;;FX;OTB;LHP;;;;;14.36;0.00;14.00;0.00;0.00;83.00;0.00;2;2012-01-12;MFL;BEL;;PA;1982-01-01
NLD;BEL000041982;;MOD;2012-04-03;2012-06-13;BEL000041982;BR-9;ASTRID;NLBRS;Breskens;;N;N;N;N;N;N;;FX;OTB;LHP;;;;;14.36;0.00;14.00;0.00;0.00;83.00;0.00;2;2012-01-12;MFL;;;PA;1982-01-01
NLD;BEL000041982;;MOD;2012-06-14;2015-01-22;BEL000041982;BR-9;ASTRID;NLBRS;Breskens;;N;Y;Y;Y;N;N;;FX;OTB;LHP;;;;;14.36;0.00;14.00;0.00;0.00;83.00;0.00;2;2012-01-12;MFL;;;;1982-01-01
NLD;BEL000041982;;MOD;2015-01-23;2016-01-21;BEL000041982;BR-9;ASTRID;NLBRS;Breskens;PA2442;Y;Y;Y;Y;N;N;;FX;OTB;LHP;;;;;14.36;0.00;14.00;0.00;0.00;83.00;0.00;2;2012-01-12;MFL;;;;1982-01-01
NLD;BEL000041982;;MOD;2016-01-22;2017-11-29;BEL000041982;BR-9;JACK.SON;NLBRS;Breskens;PA2442;Y;Y;Y;N;N;N;;FX;GNS;OTB;;;;;14.36;0.00;14.00;0.00;0.00;83.00;0.00;2;2012-01-12;MFL;;;;1982-01-01
NLD;BEL000041982;;MOD;2017-11-30;2100-12-31;BEL000041982;BR-9;BOURIC;NLBRS;Breskens;PA2442;Y;Y;Y;Y;N;N;;TU;OTB;FPO;;;;;14.36;0.00;14.00;0.00;0.00;83.00;0.00;2;2012-01-12;MFL;;;;1982-01-01
NLD;BEL000071985;;IMP;2018-06-01;2019-07-31;BEL000071985;OL-5;JACOB SR.;NLDDE;Oostdongeradeel;PDKV;Y;Y;Y;Y;N;Y;244170523;TU;TBB;MIS;;;;;19.10;0.00;57.00;0.00;0.00;187.00;0.00;2;1985-03-22;MFL;BEL;;PA;1985-01-01
NLD;BEL000071985;;MOD;2019-08-01;2023-06-12;BEL000071985;OL-5;JACOB SR.;NLDDE;Oostdongeradeel;PDKV;Y;Y;Y;Y;N;Y;244170523;TU;TBB;MIS;;;;;19.10;0.00;57.00;0.00;0.00;221.00;0.00;2;1985-03-22;MFL;;;;1985-01-01
NLD;BEL000071985;;MOD;2023-06-13;2100-12-31;BEL000071985;ZK-44;JELTE ALBERT;NLZOT;Zoutkamp;PDKV;Y;Y;Y;Y;N;Y;244170523;TU;TBB;FPO;;;;;19.10;0.00;57.00;0.00;0.00;221.00;0.00;2;1985-03-22;MFL;;;;1985-01-01
NLD;BEL001191970;8432601;IMP;1992-06-30;1996-12-31;BEL001191970;WR-32;DEO VOLENTE;NLWRG;Wieringen/Den Oever;PDPG;Y;N;N;N;N;N;;FX;TBB;PTM;;;;;22.55;0.00;66.00;0.00;0.00;220.00;13.00;2;1992-06-30;E17;BEL;;PA;1970-01-01
