Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
LTU;DEU000090601;8707733;IMP;2007-07-19;2008-04-17;781;KL 781;SEBASTES M.;LTKLJ;Klaipeda;LYSO;Y;N;Y;N;;N;;FX;OTM;NK;;;;;62.22;56.11;1943.00;0.00;0.00;1764.00;1244.00;2;1987-05-30;MFL;DEU;;;1986-12-31
LTU;DEU000090601;8707733;EXP;2008-04-18;2008-04-18;781;KL 781;SEBASTES M.;LTKLJ;Klaipeda;LYSO;Y;N;Y;N;;N;;FX;OTM;NK;;;;;62.22;56.11;1943.00;0.00;0.00;1764.00;1244.00;2;1987-05-30;MFL;LBR;SM;PA;1986-12-31
LTU;DEU000100601;8707745;IMP;2006-03-02;2015-04-28;759;KL 759;NIDA;LTKLJ;Klaipeda;LYSA;Y;Y;Y;Y;;Y;277336000;FX;OTM;NK;;;;;62.22;56.11;1943.00;0.00;0.00;1764.00;1244.00;2;1987-01-01;MFL;DEU;;PA;1986-12-31
LTU;DEU000100601;8707745;MOD;2015-04-29;2015-07-31;759;KL 759;NIDA;LTKLJ;Klaipeda;LYSA;Y;Y;Y;Y;;Y;277336000;FX;OTM;NK;;;;;62.22;56.11;1943.00;0.00;0.00;1764.00;1244.00;2;1987-06-26;MFL;;;;1986-12-31
LTU;DEU000100601;8707745;MOD;2015-08-01;2015-12-08;759;KL 759;NIDA;LTKLJ;Klaipeda;LYSA;Y;Y;Y;Y;;Y;277336000;FX;OTM;NK;;;;;62.22;56.11;1943.00;0.00;0.00;1764.00;1244.00;2;1987-06-26;MFL;;;;1986-12-31
LTU;DEU000100601;8707745;MOD;2015-12-09;2016-07-20;759;KL 759;NIDA;LTKLJ;Klaipeda;LYSA;Y;Y;Y;Y;;Y;277336000;FX;OTB;NK;;;;;62.22;56.11;1943.00;0.00;0.00;1764.00;1244.00;2;1987-06-26;MFL;;;;1986-12-31
LTU;DEU000100601;8707745;MOD;2016-07-21;2016-12-26;759;KL 759;NIDA;LTKLJ;Klaipeda;LYSA;Y;Y;Y;Y;;Y;277336000;FX;OTB;NK;;;;;62.22;56.11;1943.00;0.00;0.00;1764.00;1244.00;2;1987-06-26;MFL;;;;1986-12-31
LTU;DEU000100601;8707745;MOD;2016-12-27;2017-06-30;759;KL 759;NIDA;LTKLJ;Klaipeda;LYSA;Y;Y;Y;Y;;Y;277336000;FX;OTM;NK;;;;;62.22;56.11;1943.00;0.00;0.00;1764.00;1244.00;2;1987-06-26;MFL;;;;1986-12-31
LTU;DEU000100601;8707745;MOD;2017-07-01;2018-04-19;759;KL 759;NIDA;LTKLJ;Klaipeda;LYSA;Y;Y;Y;Y;;Y;277336000;FX;OTM;NK;;;;;62.22;56.11;1943.00;0.00;0.00;1764.00;1244.00;2;1987-06-26;MFL;;;;1986-12-31
LTU;DEU000100601;8707745;MOD;2018-04-20;2021-01-04;759;KL 759;NIDA;LTKLJ;Klaipeda;LYSA;Y;Y;Y;Y;;Y;277336000;FX;OTM;NK;;;;;62.22;56.11;1943.00;0.00;0.00;1764.00;1244.00;2;1987-06-26;MFL;;;;1986-12-31
