Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
EST;DNK000013170;7637292;IMP;2021-12-20;2100-12-31;910;EK-2102;MILTON;EEHKS;;ESLV;Y;Y;Y;Y;;Y;276863000;TO;OTB;OTM;;;;;31.70;28.24;182.00;0.00;0.00;749.00;152.50;2;1978-12-30;MFL;FIN;;PA;1978-01-01
EST;ESP000015587;8619699;IMP;2016-12-15;2021-12-06;772;EK-1602;LENNUK;EETLL;Tallinn;ESKT;Y;Y;Y;Y;;Y;276831000;TO;OTB;NO;;;;;56.20;46.00;971.00;0.00;0.00;904.00;592.00;2;1988-12-31;MFL;ESP;;PA;1988-01-01
EST;ESP000015587;8619699;MOD;2021-12-07;2022-07-25;772;EK-1602;LENNUK;EETLL;Tallinn;ESKT;Y;Y;Y;Y;;Y;276831000;TO;OTB;NO;;;;;56.20;46.00;971.00;0.00;0.00;904.00;592.00;2;1988-12-31;MFL;;;PA;1988-01-01
EST;ESP000015587;8619699;MOD;2022-07-26;2100-12-31;772;EK-1602;LENNUK;EETLL;Tallinn;ESKT;Y;Y;Y;Y;;Y;276831000;TO;OTB;NO;;;;;56.20;46.00;971.00;0.00;0.00;904.00;592.00;2;1988-12-31;MFL;;;PA;1988-01-01
EST;EST000202119;;CEN;2004-05-01;2100-12-31;6S000219;BSA-484;BSA-484;EEXAH;;;N;Y;N;N;;N;;GO;GNS;NO;;;;;5.50;5.28;0.30;0.00;0.00;0.00;0.00;1;1997-12-31;MFL;;;;1997-01-01
EST;EST000314164;;CEN;2004-05-01;2020-03-02;6M000099;BMA-198;BMA-198;EENJS;Narva-Jõesuu;;N;Y;N;N;;N;;GO;GNS;FPO;;;;;8.10;7.78;2.31;0.00;0.00;18.39;0.00;2;1990-12-31;MFL;;;;1990-01-01
EST;EST000314164;;MOD;2020-03-03;2022-07-06;BMA-198;BMA-198;BMA-198;EENJS;Narva-Jõesuu;;N;Y;N;N;;N;;GO;GNS;FPO;;;;;8.10;7.78;2.31;0.00;0.00;18.39;0.00;2;1990-12-31;MFL;;;PA;1990-01-01
EST;EST000314164;;MOD;2022-07-07;2100-12-31;BMA-198;BMA-198;BMA-198;EENJS;Narva-Jõesuu;;N;Y;N;N;;N;;GO;GNS;FPO;;;;;8.10;7.78;2.31;0.00;0.00;3.39;0.00;2;1990-12-31;MFL;;;PA;1990-01-01
EST;EST000403160;;CEN;2004-05-01;2100-12-31;6M000169;BMA-263;BMA-263;N05;;;N;Y;N;N;;N;;GO;FPO;GNS;;;;;4.65;4.46;0.80;0.00;0.00;22.06;0.00;2;1980-12-31;MFL;;;;1980-01-01
EST;EST000606348;;CEN;2004-05-01;2018-04-17;3M000254;SMA-299;JOHANNA;EEVEE;Veere;ES2427;Y;Y;N;N;;N;;WO;OTB;OTM;;;;;10.28;9.87;6.90;0.00;0.00;202.00;0.00;3;1993-12-31;MFL;;;;1993-01-01
EST;EST000606348;;RET;2018-04-18;2018-04-18;SMA-299;SMA-299;JOHANNA;EEVEE;Veere;ES2427;Y;N;N;N;;N;;WO;OTB;OTM;;;;;10.28;9.87;6.90;0.00;0.00;202.00;0.00;3;1993-12-31;MFL;;;PA;1993-01-01
EST;EST000825038;;CEN;2004-05-01;2006-03-28;1F0058;EK-1516;VILLE;EETLL;Tallinn;ES2325;Y;Y;N;N;;N;;TO;OTM;NO;;;;;12.60;12.10;10.60;0.00;0.00;54.00;0.00;2;1990-12-31;MFL;;;;1990-01-01
EST;EST000825038;;RET;2006-03-29;2006-03-29;1F0058;EK-1516;VILLE;EETLL;Tallinn;ES2325;Y;N;N;N;;N;;TO;OTM;NO;;;;;12.60;12.10;10.60;0.00;0.00;54.00;0.00;2;1990-12-31;MFL;;;PA;1990-01-01
