Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
BEL;BEL000021964;8523448;CEN;1989-01-01;1991-04-17;002;A.2;NANCY;ANTWE;;OPAB;Y;N;N;Y;;N;;FX;TBB;NO;;;;;21.39;18.66;53.00;50.72;0.00;213.00;0.00;2;1975-03-26;BIN;;;;1964-01-01
BEL;BEL000021964;8523448;MOD;1991-04-18;1991-12-31;002;A.2;NANCY;ANTWE;;OPAB;Y;N;N;Y;;N;;FX;TBB;NO;;;;;21.39;18.66;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;BIN;;;;1964-01-01
BEL;BEL000021964;8523448;MOD;1992-01-01;1994-07-28;002;O.2;NANCY;OOSTE;;OPAB;Y;Y;N;Y;;N;;FX;TBB;NO;;;;;21.39;19.94;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;E10;;;;1964-01-01
BEL;BEL000021964;8523448;MOD;1994-07-29;1996-12-31;002;O.2;NANCY;OOSTE;;OPAB;Y;Y;N;Y;;N;;FX;TBB;NO;;;;;21.39;19.94;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;C10;;;;1964-01-01
BEL;BEL000021964;8523448;MOD;1997-01-01;2002-12-31;002;O.2;NANCY;OOSTE;;OPAB;Y;Y;Y;Y;;N;;FX;TBB;NO;;;;;21.39;19.94;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;4A1;;;;1964-01-01
BEL;BEL000021964;8523448;MOD;2003-01-01;2006-02-01;002;O.2;NANCY;OOSTE;;OPAB;Y;Y;Y;Y;;N;;FX;TBB;NO;;;;;21.39;19.94;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;MFL;;;;1964-01-01
BEL;BEL000021964;8523448;MOD;2006-02-02;2015-03-26;002;O.2;NANCY;OOSTE;;OPAB;Y;Y;Y;Y;;N;;FX;TBB;OTB;;;;;21.39;18.66;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;MFL;;;;1964-01-01
BEL;BEL000021964;8523448;MOD;2015-03-27;2020-09-08;002;O.2;MIKE MICHEL JR;OOSTE;;OPAB;Y;Y;Y;Y;;N;;FX;TBB;OTB;;;;;21.39;18.66;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;MFL;;;;1964-01-01
BEL;BEL000021964;8523448;MOD;2020-09-09;2020-09-09;002;O.2;MIKE MICHEL JR;OOSTE;;OPAB;Y;Y;Y;Y;;Y;205308000;FX;TBB;OTB;;;;;21.39;18.66;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;MFL;;;;1964-01-01
BEL;BEL000021964;8523448;MOD;2020-09-10;2021-01-17;002;O.2;MIKE MICHEL JR;OOSTE;;OPAB;Y;Y;Y;Y;;Y;205308000;FX;TBB;OTB;;;;;21.39;18.66;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;MFL;;;;1964-01-01
BEL;BEL000021964;8523448;MOD;2021-01-18;2023-02-26;002;O.2;MIKE MICHEL JR;BEOST;Oostende (Ostend);OPAB;Y;Y;Y;Y;;Y;205308000;FX;TBB;OTB;;;;;21.39;18.66;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;MFL;;;;1964-01-01
BEL;BEL000021964;8523448;DES;2023-02-27;2023-02-27;002;O.2;MIKE MICHEL JR;BEOST;Oostende (Ostend);OPAB;Y;Y;Y;Y;N;Y;205308000;FX;TBB;OTB;;;;;21.39;18.66;53.00;0.00;0.00;213.00;0.00;2;1975-03-26;MFL;;;;1964-01-01
BEL;BEL000071985;;CEN;1989-01-01;1991-12-31;007;BOU.7;DE ENIGE ZOON;BOEKH;;OPAG;Y;Y;N;Y;;N;;TU;TBB;NO;;;;;16.67;13.17;57.00;0.00;0.00;219.00;0.00;2;1986-06-06;EST;;;;1985-01-01
BEL;BEL000071985;;MOD;1992-01-01;1994-05-31;007;BOU.7;DE ENIGE ZOON;BOEKH;;OPAG;Y;Y;N;Y;;N;;TU;TBB;NO;;;;;16.67;13.17;57.00;0.00;0.00;219.00;0.00;2;1986-06-06;E10;;;;1985-01-01
BEL;BEL000071985;;MOD;1994-06-01;1996-12-31;007;BOU.7;DE ENIGE ZOON;BOEKH;;OPAG;Y;Y;N;Y;;N;;TU;TBB;NO;;;;;16.67;13.17;57.00;0.00;0.00;219.00;0.00;2;1986-06-06;C10;;;;1985-01-01
BEL;BEL000071985;;MOD;1997-01-01;2002-12-31;007;BOU.7;DE ENIGE ZOON;BOEKH;;OPAG;Y;Y;Y;Y;;N;;TU;TBB;NO;;;;;16.67;13.17;57.00;0.00;0.00;219.00;0.00;2;1986-06-06;4A1;;;;1985-01-01
BEL;BEL000071985;;MOD;2003-01-01;2006-02-28;007;BOU.7;DE ENIGE ZOON;BOEKH;;OPAG;Y;Y;Y;Y;;N;;TU;TBB;NO;;;;;16.67;13.17;57.00;0.00;0.00;219.00;0.00;2;1986-06-06;MFL;;;;1985-01-01
BEL;BEL000071985;;MOD;2006-03-01;2006-06-12;007;BOU.7;DE ENIGE ZOON;BOEKH;;OPAG;Y;Y;Y;Y;;N;;TU;TBB;NO;;;;;19.10;16.67;57.00;0.00;0.00;218.00;0.00;2;1986-06-06;MFL;;;;1985-01-01
BEL;BEL000071985;;MOD;2006-06-13;2018-04-23;007;BOU.7;DE ENIGE ZOON;BOEKH;;OPAG;Y;Y;Y;Y;;N;;TU;TBB;NO;;;;;19.10;16.67;57.00;0.00;0.00;219.00;0.00;2;1986-06-06;MFL;;;;1985-01-01
BEL;BEL000071985;;EXP;2018-04-24;2018-04-24;007;BOU.7;DE ENIGE ZOON;BOEKH;;OPAG;Y;Y;Y;Y;;N;;TU;TBB;NO;;;;;19.10;16.67;57.00;0.00;0.00;219.00;0.00;2;1986-06-06;MFL;NLD;EX;PA;1985-01-01
