Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
POL;DEU000070300;;IMP;2006-03-09;2006-03-29;PL02006;WLA-127;<NO NAME GIVEN>;0345;;SPG2811;Y;Y;N;;;;;FX;OTB;OTM;;;;;25.40;22.70;93.00;0.00;0.00;165.00;0.00;2;1972-03-24;MFL;DEU;;;1972-01-01
POL;DEU000070300;;MOD;2006-03-30;2007-10-22;PL02006;WLA-127;<NO NAME GIVEN>;0345;;SPG2811;Y;Y;Y;;;;;FX;OTB;OTM;;;;;25.40;22.70;93.00;0.00;0.00;165.00;0.00;2;1972-03-24;MFL;;;;1972-01-01
POL;DEU000070300;;MOD;2007-10-23;2009-11-09;PL02006;WLA-127;<NO NAME GIVEN>;0345;;SPG2811;Y;Y;Y;;;;;FX;OTB;OTM;;;;;25.40;22.70;93.00;0.00;0.00;165.00;0.00;2;1972-03-24;MFL;;;;1972-01-01
POL;DEU000070300;;DES;2009-11-10;2009-11-10;PL02006;WLA-127;<NO NAME GIVEN>;0345;;SPG2811;Y;N;Y;;;;;FX;OTB;OTM;;;;;25.40;22.70;93.00;0.00;0.00;165.00;0.00;2;1972-03-24;MFL;;;PA;1972-01-01
POL;DEU000370606;;IMP;2006-12-05;2012-05-21;PL02018;SWI-48;<NO NAME GIVEN>;0118;;SPS2590;Y;Y;N;;;;;FX;OTB;OTM;;;;;11.34;10.75;23.11;0.00;0.00;147.00;0.00;2;1998-09-01;MFL;DEU;;;1998-01-01
POL;DEU000370606;;MOD;2012-05-22;2016-12-04;PL02018;SWI-48;<NO NAME GIVEN>;0118;;SPS2590;Y;Y;N;;;;;FX;OTB;OTM;;;;;11.34;10.75;23.11;0.00;0.00;147.00;0.00;2;1998-09-01;MFL;;;;1998-01-01
POL;DEU000370606;;DES;2016-12-05;2016-12-05;PL02018;ŚWI-48;;0118;;SPS2590;Y;N;N;N;;N;;FX;OTB;SSC;FPO;OTM;GNS;LLS;11.34;10.75;23.11;0.00;0.00;147.00;0.00;2;1998-09-01;MFL;;;AC;1998-01-01
POL;DEU001280602;;IMP;2014-04-08;2022-03-14;PL02280;KOŁ-288;No name;0225;;SPS3130;Y;Y;Y;Y;;N;;TTW;OTB;PTM;GNS;LLD;OTM;LLS;12.01;10.10;31.48;0.00;0.00;110.00;0.00;2;2001-12-18;MFL;DEU;;PA;2001-01-01
POL;DEU001280602;;MOD;2022-03-15;2100-12-31;PL02280;KOŁ-288;No name;PLKOL;Kołobrzeg;SPS3130;Y;Y;Y;Y;;N;;TTW;OTB;PTM;LLD;GNS;LLS;OTM;12.01;10.10;31.48;0.00;0.00;110.00;0.00;2;2001-12-18;MFL;;;;2001-01-01
POL;DEU002120300;9048902;IMP;2017-10-02;2018-08-05;PL02309;GDY-58;POLONUS;0352;;SNLE;Y;Y;Y;Y;;Y;261536000;TTP;OTB;PTB;OTM;;;;80.35;73.65;2348.00;0.00;0.00;3000.00;536.00;2;1992-12-31;MFL;DEU;;PA;1992-01-01
POL;DEU002120300;9048902;MOD;2018-08-06;2019-03-07;PL02309;GDY-58;POLONUS;0352;;SNLE;Y;Y;Y;Y;;Y;261536000;TTP;OTB;PTB;OTM;;;;80.35;73.65;2348.00;0.00;0.00;3000.00;536.00;2;1992-12-31;MFL;;;;1992-01-01
POL;DEU002120300;9048902;MOD;2019-03-08;2020-01-23;PL02309;GDY-58;POLONUS;0352;;SNLE;Y;Y;Y;Y;;Y;261536000;TTP;OTB;PTB;OTM;TBS;;;80.35;73.65;2348.00;0.00;0.00;3000.00;536.00;2;1992-12-31;MFL;;;;1992-01-01
POL;DEU002120300;9048902;MOD;2020-01-24;2021-10-12;PL02309;GDY-58;POLONUS;0352;;SNLE;Y;Y;Y;Y;;Y;261536000;TTP;OTB;PTB;OTP;OTM;PT;TBS;80.35;73.65;2348.00;0.00;0.00;3000.00;536.00;2;1992-12-31;MFL;;;;1992-01-01
POL;DEU002120300;9048902;EXP;2021-10-13;2021-10-13;PL02309;GDY-58;POLONUS;PLGDY;Gdynia;SNLE;Y;N;Y;Y;;Y;261536000;TTP;OTB;PTB;OTM;PT;OTP;TBS;80.35;73.65;2348.00;0.00;0.00;3000.00;536.00;2;1992-12-31;MFL;DEU;EX;PA;1992-01-01
POL;DEU107000301;;CEN;2004-05-01;2008-10-27;PL00014;GDY-157;WIESBADEN;0352;;SNBH;Y;Y;Y;;;;;FX;OTB;OTM;;;;;91.98;84.90;3071.00;0.00;0.00;3530.00;588.00;2;1973-12-31;MFL;;;;1973-01-01
POL;DEU107000301;;RET;2008-10-28;2008-10-28;PL00014;GDY-157;WIESBADEN;0352;;SNBH;Y;N;N;;;;;FX;OTB;OTM;;;;;91.98;84.90;3071.00;0.00;0.00;3530.00;588.00;2;1973-12-31;MFL;;;PA;1973-01-01
POL;DEU200640201;;CEN;2004-05-01;2008-09-09;PL00005;GDY-40;MERCATOR;0352;;SPG2669;Y;Y;Y;;;;;FX;OTB;OTM;;;;;26.09;23.45;120.00;128.65;0.00;296.00;0.00;2;1973-01-05;MFL;;;;1972-01-01
POL;DEU200640201;;DES;2008-09-10;2008-09-10;PL00005;GDY-40;MERCATOR;0352;;SPG2669;Y;N;N;;;;;FX;OTB;OTM;;;;;26.09;23.45;120.00;128.65;0.00;296.00;0.00;2;1973-01-05;MFL;;;AC;1972-01-01
