Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
LVA;DEU000150400;8716942;IMP;2004-12-09;2009-05-24;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;Y;Y;Y;N;Y;;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;0.00;2;1988-06-30;MFL;DEU;;PA;1988-01-01
LVA;DEU000150400;8716942;MOD;2009-05-25;2014-03-13;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;Y;Y;Y;N;Y;;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;80.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DEU000150400;8716942;MOD;2014-03-14;2014-08-18;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;Y;Y;Y;N;Y;;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DEU000150400;8716942;MOD;2014-08-19;2014-12-09;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;N;Y;Y;N;Y;;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DEU000150400;8716942;MOD;2014-12-10;2015-08-20;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;Y;Y;Y;N;Y;;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DEU000150400;8716942;MOD;2015-08-21;2015-12-03;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;N;Y;Y;N;Y;;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DEU000150400;8716942;MOD;2015-12-04;2015-12-30;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;Y;Y;Y;N;Y;;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DEU000150400;8716942;MOD;2015-12-31;2015-12-31;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;N;Y;Y;N;Y;;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DEU000150400;8716942;MOD;2016-01-01;2017-08-20;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;Y;Y;Y;N;Y;;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DEU000150400;8716942;MOD;2017-08-21;2017-08-28;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;N;Y;Y;N;Y;;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DEU000150400;8716942;MOD;2017-08-29;2017-11-30;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;Y;Y;Y;N;Y;;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DEU000150400;8716942;MOD;2017-12-01;2017-12-07;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;N;Y;Y;N;Y;;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DEU000150400;8716942;MOD;2017-12-08;2019-06-22;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;Y;Y;Y;N;Y;;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DEU000150400;8716942;MOD;2019-06-23;2019-07-10;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;N;Y;Y;N;Y;;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DEU000150400;8716942;MOD;2019-07-11;2020-07-01;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;Y;Y;Y;N;Y;;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DEU000150400;8716942;MOD;2020-07-02;2022-08-14;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;Y;Y;Y;N;Y;275312000;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DEU000150400;8716942;MOD;2022-08-15;2022-08-15;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;N;Y;Y;N;Y;275312000;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
LVA;DEU000150400;8716942;MOD;2022-08-16;2100-12-31;LVV1551;LVV1551;HARENGUS;VP;Ventspils;YLBH;Y;Y;Y;Y;N;Y;275312000;FX;OTB;OTM;;;;;30.71;26.25;296.00;199.41;0.00;700.00;120.00;2;1988-06-30;MFL;;;;1988-01-01
