AreaCode	FishingActivityCategoryEuropeanLvl6Code
21.0	DRB_MOL_>=0_0_0
21.0	FPN_LPF_>0_0_0
21.0	FPO_CRU_>0_0_0
21.0	FPO_FIF_>0_0_0
21.0	FPO_MOL_>0_0_0
21.0	FYK_CAT_>0_0_0
21.0	FYK_DEF_>0_0_0
21.0	GND_DEF_>=220_0_0
21.0	GND_DEF_100-119_0_0
21.0	GND_DEF_120-219_0_0
21.0	GND_DEF_90-99_0_0
21.0	GND_SPF_>=220_0_0
21.0	GND_SPF_100-119_0_0
21.0	GND_SPF_10-30_0_0
21.0	GND_SPF_120-219_0_0
21.0	GND_SPF_50-70_0_0
21.0	GND_SPF_90-99_0_0
21.0	GNS_CRU_>0_0_0
21.0	GNS_DEF_>=220_0_0
21.0	GNS_DEF_100-119_0_0
21.0	GNS_DEF_120-219_0_0
21.0	GNS_DEF_90-99_0_0
21.0	GNS_DWS_>=220_0_0
21.0	GNS_DWS_120-219_0_0
21.0	GNS_SPF_>=220_0_0
21.0	GNS_SPF_100-119_0_0
21.0	GNS_SPF_10-30_0_0
21.0	GNS_SPF_120-219_0_0
21.0	GNS_SPF_50-70_0_0
21.0	GNS_SPF_90-99_0_0
21.0	GTR_DEF_>=220_0_0
21.0	GTR_DEF_100-119_0_0
21.0	GTR_DEF_120-219_0_0
21.0	GTR_DEF_90-99_0_0
21.0	HMD_MOL_>=0_0_0
21.0	LHP_CEP_0_0_0
21.0	LHP_FIF_0_0_0
21.0	LLD_DEF_0_0_0
21.0	LLD_DWS_0_0_0
21.0	LLD_LPF_0_0_0
21.0	LLS_DEF_0_0_0
21.0	LLS_DWS_0_0_0
21.0	LTL_LPF_0_0_0
21.0	OTB_CRU_>=220_0_0
21.0	OTB_CRU_100-129_0_0
21.0	OTB_CRU_130-219_0_0
21.0	OTB_CRU_40-59_0_0
21.0	OTB_CRU_60-89_0_0
21.0	OTB_CRU_90-99_0_0
21.0	OTB_DEF_>=220_0_0
21.0	OTB_DEF_100-129_0_0
21.0	OTB_DEF_130-219_0_0
21.0	OTB_DEF_90-99_0_0
21.0	OTB_DWS_>=220_0_0
21.0	OTB_DWS_100-129_0_0
21.0	OTB_DWS_130-219_0_0
21.0	OTB_DWS_90-99_0_0
21.0	OTB_MCD_>=220_0_0
21.0	OTB_MCD_100-129_0_0
21.0	OTB_MCD_130-219_0_0
21.0	OTB_MCD_40-59_0_0
21.0	OTB_MCD_60-89_0_0
21.0	OTB_MCD_90-99_0_0
21.0	OTB_MCF_>=220_0_0
21.0	OTB_MCF_100-129_0_0
21.0	OTB_MCF_130-219_0_0
21.0	OTB_MCF_60-89_0_0
21.0	OTB_MCF_90-99_0_0
21.0	OTB_MDD_>=220_0_0
21.0	OTB_MDD_100-129_0_0
21.0	OTB_MDD_130-219_0_0
21.0	OTB_MDD_90-99_0_0
21.0	OTB_MOL_>=220_0_0
21.0	OTB_MOL_100-129_0_0
21.0	OTB_MOL_130-219_0_0
21.0	OTB_MOL_60-89_0_0
21.0	OTB_MOL_90-99_0_0
21.0	OTB_MPD_>=220_0_0
21.0	OTB_MPD_100-129_0_0
21.0	OTB_MPD_130-219_0_0
21.0	OTB_MPD_90-99_0_0
21.0	OTB_SPF_>=220_0_0
21.0	OTB_SPF_100-129_0_0
21.0	OTB_SPF_130-219_0_0
21.0	OTB_SPF_40-59_0_0
21.0	OTB_SPF_60-89_0_0
21.0	OTB_SPF_90-99_0_0
21.0	OTM_DEF_>=220_0_0
21.0	OTM_DEF_100-129_0_0
21.0	OTM_DEF_130-219_0_0
21.0	OTM_DEF_90-99_0_0
21.0	OTM_SPF_>=220_0_0
21.0	OTM_SPF_100-129_0_0
21.0	OTM_SPF_130-219_0_0
21.0	OTM_SPF_40-59_0_0
21.0	OTM_SPF_60-89_0_0
21.0	OTM_SPF_90-99_0_0
21.0	OTT_CRU_>=220_0_0
21.0	OTT_CRU_100-129_0_0
21.0	OTT_CRU_130-219_0_0
21.0	OTT_CRU_40-59_0_0
21.0	OTT_CRU_60-89_0_0
21.0	OTT_CRU_90-99_0_0
21.0	OTT_DEF_>=220_0_0
21.0	OTT_DEF_100-129_0_0
21.0	OTT_DEF_130-219_0_0
21.0	OTT_DEF_90-99_0_0
21.0	OTT_DWS_>=220_0_0
21.0	OTT_DWS_100-129_0_0
21.0	OTT_DWS_130-219_0_0
21.0	OTT_DWS_90-99_0_0
21.0	OTT_MCD_>=220_0_0
21.0	OTT_MCD_100-129_0_0
21.0	OTT_MCD_130-219_0_0
21.0	OTT_MCD_40-59_0_0
21.0	OTT_MCD_60-89_0_0
21.0	OTT_MCD_90-99_0_0
21.0	OTT_MOL_>=220_0_0
21.0	OTT_MOL_100-129_0_0
21.0	OTT_MOL_130-219_0_0
21.0	OTT_MOL_60-89_0_0
21.0	OTT_MOL_90-99_0_0
21.0	OTT_MPD_>=220_0_0
21.0	OTT_MPD_100-129_0_0
21.0	OTT_MPD_130-219_0_0
21.0	OTT_MPD_90-99_0_0
21.0	PS_LPF_>0_0_0
21.0	PS_SPF_>=220_0_0
21.0	PS_SPF_100-129_0_0
21.0	PS_SPF_130-219_0_0
21.0	PS_SPF_40-59_0_0
21.0	PS_SPF_60-89_0_0
21.0	PS_SPF_90-99_0_0
21.0	PTB_CRU_>=220_0_0
21.0	PTB_CRU_100-129_0_0
21.0	PTB_CRU_130-219_0_0
21.0	PTB_CRU_40-59_0_0
21.0	PTB_CRU_60-89_0_0
21.0	PTB_CRU_90-99_0_0
21.0	PTB_DEF_>=220_0_0
21.0	PTB_DEF_100-129_0_0
21.0	PTB_DEF_130-219_0_0
21.0	PTB_DEF_90-99_0_0
21.0	PTB_SPF_>=220_0_0
21.0	PTB_SPF_100-129_0_0
21.0	PTB_SPF_130-219_0_0
21.0	PTB_SPF_40-59_0_0
21.0	PTB_SPF_60-89_0_0
21.0	PTB_SPF_90-99_0_0
21.0	PTM_DEF_>=220_0_0
21.0	PTM_DEF_100-129_0_0
21.0	PTM_DEF_130-219_0_0
21.0	PTM_DEF_90-99_0_0
21.0	PTM_LPF_>0_0_0
21.0	PTM_SPF_>=220_0_0
21.0	PTM_SPF_100-129_0_0
21.0	PTM_SPF_130-219_0_0
21.0	PTM_SPF_40-59_0_0
21.0	PTM_SPF_60-89_0_0
21.0	PTM_SPF_90-99_0_0
21.0	SB_FIF_>0_0_0
21.0	SDN_DEF_>=220_0_0
21.0	SDN_DEF_100-129_0_0
21.0	SDN_DEF_130-219_0_0
21.0	SDN_DEF_90-99_0_0
21.0	SPR_DEF_>=220_0_0
21.0	SPR_DEF_100-129_0_0
21.0	SPR_DEF_130-219_0_0
21.0	SPR_DEF_90-99_0_0
21.0	SSC_DEF_>=220_0_0
21.0	SSC_DEF_100-129_0_0
21.0	SSC_DEF_130-219_0_0
21.0	SSC_DEF_90-99_0_0
21.0.A	Active
21.0.A	DRB_MOL_>=0_0_0
21.0.A	FPN_LPF_>0_0_0
21.0.A	FPO_CRU_>0_0_0
21.0.A	FPO_FIF_>0_0_0
21.0.A	FPO_MOL_>0_0_0
21.0.A	FYK_CAT_>0_0_0
21.0.A	FYK_DEF_>0_0_0
21.0.A	GND_DEF_>=220_0_0
21.0.A	GND_DEF_100-119_0_0
21.0.A	GND_DEF_120-219_0_0
21.0.A	GND_DEF_90-99_0_0
21.0.A	GND_SPF_>=220_0_0
21.0.A	GND_SPF_100-119_0_0
21.0.A	GND_SPF_10-30_0_0
21.0.A	GND_SPF_120-219_0_0
21.0.A	GND_SPF_50-70_0_0
21.0.A	GND_SPF_90-99_0_0
21.0.A	GNS_CRU_>0_0_0
21.0.A	GNS_DEF_>=220_0_0
21.0.A	GNS_DEF_100-119_0_0
21.0.A	GNS_DEF_120-219_0_0
21.0.A	GNS_DEF_90-99_0_0
21.0.A	GNS_DWS_>=220_0_0
21.0.A	GNS_DWS_120-219_0_0
21.0.A	GNS_SPF_>=220_0_0
21.0.A	GNS_SPF_100-119_0_0
21.0.A	GNS_SPF_10-30_0_0
21.0.A	GNS_SPF_120-219_0_0
21.0.A	GNS_SPF_50-70_0_0
21.0.A	GNS_SPF_90-99_0_0
21.0.A	GTR_DEF_>=220_0_0
21.0.A	GTR_DEF_100-119_0_0
21.0.A	GTR_DEF_120-219_0_0
21.0.A	GTR_DEF_90-99_0_0
21.0.A	HMD_MOL_>=0_0_0
21.0.A	LHP_CEP_0_0_0
21.0.A	LHP_FIF_0_0_0
21.0.A	LLD_DEF_0_0_0
21.0.A	LLD_DWS_0_0_0
21.0.A	LLD_LPF_0_0_0
21.0.A	LLS_DEF_0_0_0
21.0.A	LLS_DWS_0_0_0
21.0.A	LTL_LPF_0_0_0
21.0.A	OTB_CRU_>=220_0_0
21.0.A	OTB_CRU_100-129_0_0
21.0.A	OTB_CRU_130-219_0_0
21.0.A	OTB_CRU_40-59_0_0
21.0.A	OTB_CRU_60-89_0_0
21.0.A	OTB_CRU_90-99_0_0
21.0.A	OTB_DEF_>=220_0_0
21.0.A	OTB_DEF_100-129_0_0
21.0.A	OTB_DEF_130-219_0_0
21.0.A	OTB_DEF_90-99_0_0
21.0.A	OTB_DWS_>=220_0_0
21.0.A	OTB_DWS_100-129_0_0
21.0.A	OTB_DWS_130-219_0_0
