AreaCode	FishingActivityCategoryEuropeanLvl6Code
21.0.A	OTB_DWS_90-99_0_0
21.0.A	OTB_MCD_>=220_0_0
21.0.A	OTB_MCD_100-129_0_0
21.0.A	OTB_MCD_130-219_0_0
21.0.A	OTB_MCD_40-59_0_0
21.0.A	OTB_MCD_60-89_0_0
21.0.A	OTB_MCD_90-99_0_0
21.0.A	OTB_MCF_>=220_0_0
21.0.A	OTB_MCF_100-129_0_0
21.0.A	OTB_MCF_130-219_0_0
21.0.A	OTB_MCF_60-89_0_0
21.0.A	OTB_MCF_90-99_0_0
21.0.A	OTB_MDD_>=220_0_0
21.0.A	OTB_MDD_100-129_0_0
21.0.A	OTB_MDD_130-219_0_0
21.0.A	OTB_MDD_90-99_0_0
21.0.A	OTB_MOL_>=220_0_0
21.0.A	OTB_MOL_100-129_0_0
21.0.A	OTB_MOL_130-219_0_0
21.0.A	OTB_MOL_60-89_0_0
21.0.A	OTB_MOL_90-99_0_0
21.0.A	OTB_MPD_>=220_0_0
21.0.A	OTB_MPD_100-129_0_0
21.0.A	OTB_MPD_130-219_0_0
21.0.A	OTB_MPD_90-99_0_0
21.0.A	OTB_SPF_>=220_0_0
21.0.A	OTB_SPF_100-129_0_0
21.0.A	OTB_SPF_130-219_0_0
21.0.A	OTB_SPF_40-59_0_0
21.0.A	OTB_SPF_60-89_0_0
21.0.A	OTB_SPF_90-99_0_0
21.0.A	OTM_DEF_>=220_0_0
21.0.A	OTM_DEF_100-129_0_0
21.0.A	OTM_DEF_130-219_0_0
21.0.A	OTM_DEF_90-99_0_0
21.0.A	OTM_SPF_>=220_0_0
21.0.A	OTM_SPF_100-129_0_0
21.0.A	OTM_SPF_130-219_0_0
21.0.A	OTM_SPF_40-59_0_0
21.0.A	OTM_SPF_60-89_0_0
21.0.A	OTM_SPF_90-99_0_0
21.0.A	OTT_CRU_>=220_0_0
21.0.A	OTT_CRU_100-129_0_0
21.0.A	OTT_CRU_130-219_0_0
21.0.A	OTT_CRU_40-59_0_0
21.0.A	OTT_CRU_60-89_0_0
21.0.A	OTT_CRU_90-99_0_0
21.0.A	OTT_DEF_>=220_0_0
21.0.A	OTT_DEF_100-129_0_0
21.0.A	OTT_DEF_130-219_0_0
21.0.A	OTT_DEF_90-99_0_0
21.0.A	OTT_DWS_>=220_0_0
21.0.A	OTT_DWS_100-129_0_0
21.0.A	OTT_DWS_130-219_0_0
21.0.A	OTT_DWS_90-99_0_0
21.0.A	OTT_MCD_>=220_0_0
21.0.A	OTT_MCD_100-129_0_0
21.0.A	OTT_MCD_130-219_0_0
21.0.A	OTT_MCD_40-59_0_0
21.0.A	OTT_MCD_60-89_0_0
21.0.A	OTT_MCD_90-99_0_0
21.0.A	OTT_MOL_>=220_0_0
21.0.A	OTT_MOL_100-129_0_0
21.0.A	OTT_MOL_130-219_0_0
21.0.A	OTT_MOL_60-89_0_0
21.0.A	OTT_MOL_90-99_0_0
21.0.A	OTT_MPD_>=220_0_0
21.0.A	OTT_MPD_100-129_0_0
21.0.A	OTT_MPD_130-219_0_0
21.0.A	OTT_MPD_90-99_0_0
21.0.A	PS_LPF_>0_0_0
21.0.A	PS_SPF_>=220_0_0
21.0.A	PS_SPF_100-129_0_0
21.0.A	PS_SPF_130-219_0_0
21.0.A	PS_SPF_40-59_0_0
21.0.A	PS_SPF_60-89_0_0
21.0.A	PS_SPF_90-99_0_0
21.0.A	PTB_CRU_>=220_0_0
21.0.A	PTB_CRU_100-129_0_0
21.0.A	PTB_CRU_130-219_0_0
21.0.A	PTB_CRU_40-59_0_0
21.0.A	PTB_CRU_60-89_0_0
21.0.A	PTB_CRU_90-99_0_0
21.0.A	PTB_DEF_>=220_0_0
21.0.A	PTB_DEF_100-129_0_0
21.0.A	PTB_DEF_130-219_0_0
21.0.A	PTB_DEF_90-99_0_0
21.0.A	PTB_SPF_>=220_0_0
21.0.A	PTB_SPF_100-129_0_0
21.0.A	PTB_SPF_130-219_0_0
21.0.A	PTB_SPF_40-59_0_0
21.0.A	PTB_SPF_60-89_0_0
21.0.A	PTB_SPF_90-99_0_0
21.0.A	PTM_DEF_>=220_0_0
21.0.A	PTM_DEF_100-129_0_0
21.0.A	PTM_DEF_130-219_0_0
21.0.A	PTM_DEF_90-99_0_0
21.0.A	PTM_LPF_>0_0_0
21.0.A	PTM_SPF_>=220_0_0
21.0.A	PTM_SPF_100-129_0_0
21.0.A	PTM_SPF_130-219_0_0
21.0.A	PTM_SPF_40-59_0_0
21.0.A	PTM_SPF_60-89_0_0
21.0.A	PTM_SPF_90-99_0_0
21.0.A	SB_FIF_>0_0_0
21.0.A	SDN_DEF_>=220_0_0
21.0.A	SDN_DEF_100-129_0_0
21.0.A	SDN_DEF_130-219_0_0
21.0.A	SDN_DEF_90-99_0_0
21.0.A	SPR_DEF_>=220_0_0
21.0.A	SPR_DEF_100-129_0_0
21.0.A	SPR_DEF_130-219_0_0
21.0.A	SPR_DEF_90-99_0_0
21.0.A	SSC_DEF_>=220_0_0
21.0.A	SSC_DEF_100-129_0_0
21.0.A	SSC_DEF_130-219_0_0
21.0.A	SSC_DEF_90-99_0_0
21.0.B	DRB_MOL_>=0_0_0
21.0.B	FPN_LPF_>0_0_0
21.0.B	FPO_CRU_>0_0_0
21.0.B	FPO_FIF_>0_0_0
21.0.B	FPO_MOL_>0_0_0
21.0.B	FYK_CAT_>0_0_0
21.0.B	FYK_DEF_>0_0_0
21.0.B	GND_DEF_>=220_0_0
21.0.B	GND_DEF_100-119_0_0
21.0.B	GND_DEF_120-219_0_0
21.0.B	GND_DEF_90-99_0_0
21.0.B	GND_SPF_>=220_0_0
21.0.B	GND_SPF_100-119_0_0
21.0.B	GND_SPF_10-30_0_0
21.0.B	GND_SPF_120-219_0_0
21.0.B	GND_SPF_50-70_0_0
21.0.B	GND_SPF_90-99_0_0
21.0.B	GNS_CRU_>0_0_0
21.0.B	GNS_DEF_>=220_0_0
21.0.B	GNS_DEF_100-119_0_0
21.0.B	GNS_DEF_120-219_0_0
21.0.B	GNS_DEF_90-99_0_0
21.0.B	GNS_DWS_>=220_0_0
21.0.B	GNS_DWS_120-219_0_0
21.0.B	GNS_SPF_>=220_0_0
21.0.B	GNS_SPF_100-119_0_0
21.0.B	GNS_SPF_10-30_0_0
21.0.B	GNS_SPF_120-219_0_0
21.0.B	GNS_SPF_50-70_0_0
21.0.B	GNS_SPF_90-99_0_0
21.0.B	GTR_DEF_>=220_0_0
21.0.B	GTR_DEF_100-119_0_0
21.0.B	GTR_DEF_120-219_0_0
21.0.B	GTR_DEF_90-99_0_0
21.0.B	HMD_MOL_>=0_0_0
21.0.B	LHP_CEP_0_0_0
21.0.B	LHP_FIF_0_0_0
21.0.B	LLD_DEF_0_0_0
21.0.B	LLD_DWS_0_0_0
21.0.B	LLD_LPF_0_0_0
21.0.B	LLS_DEF_0_0_0
21.0.B	LLS_DWS_0_0_0
21.0.B	LTL_LPF_0_0_0
21.0.B	OTB_CRU_>=220_0_0
21.0.B	OTB_CRU_100-129_0_0
21.0.B	OTB_CRU_130-219_0_0
21.0.B	OTB_CRU_40-59_0_0
21.0.B	OTB_CRU_60-89_0_0
21.0.B	OTB_CRU_90-99_0_0
21.0.B	OTB_DEF_>=220_0_0
21.0.B	OTB_DEF_100-129_0_0
21.0.B	OTB_DEF_130-219_0_0
21.0.B	OTB_DEF_90-99_0_0
21.0.B	OTB_DWS_>=220_0_0
21.0.B	OTB_DWS_100-129_0_0
21.0.B	OTB_DWS_130-219_0_0
21.0.B	OTB_DWS_90-99_0_0
21.0.B	OTB_MCD_>=220_0_0
21.0.B	OTB_MCD_100-129_0_0
21.0.B	OTB_MCD_130-219_0_0
21.0.B	OTB_MCD_40-59_0_0
21.0.B	OTB_MCD_60-89_0_0
21.0.B	OTB_MCD_90-99_0_0
21.0.B	OTB_MCF_>=220_0_0
21.0.B	OTB_MCF_100-129_0_0
21.0.B	OTB_MCF_130-219_0_0
21.0.B	OTB_MCF_60-89_0_0
21.0.B	OTB_MCF_90-99_0_0
21.0.B	OTB_MDD_>=220_0_0
21.0.B	OTB_MDD_100-129_0_0
21.0.B	OTB_MDD_130-219_0_0
21.0.B	OTB_MDD_90-99_0_0
21.0.B	OTB_MOL_>=220_0_0
21.0.B	OTB_MOL_100-129_0_0
21.0.B	OTB_MOL_130-219_0_0
21.0.B	OTB_MOL_60-89_0_0
21.0.B	OTB_MOL_90-99_0_0
21.0.B	OTB_MPD_>=220_0_0
21.0.B	OTB_MPD_100-129_0_0
21.0.B	OTB_MPD_130-219_0_0
21.0.B	OTB_MPD_90-99_0_0
21.0.B	OTB_SPF_>=220_0_0
21.0.B	OTB_SPF_100-129_0_0
21.0.B	OTB_SPF_130-219_0_0
21.0.B	OTB_SPF_40-59_0_0
21.0.B	OTB_SPF_60-89_0_0
21.0.B	OTB_SPF_90-99_0_0
21.0.B	OTM_DEF_>=220_0_0
21.0.B	OTM_DEF_100-129_0_0
21.0.B	OTM_DEF_130-219_0_0
21.0.B	OTM_DEF_90-99_0_0
21.0.B	OTM_SPF_>=220_0_0
21.0.B	OTM_SPF_100-129_0_0
21.0.B	OTM_SPF_130-219_0_0
21.0.B	OTM_SPF_40-59_0_0
21.0.B	OTM_SPF_60-89_0_0
21.0.B	OTM_SPF_90-99_0_0
21.0.B	OTT_CRU_>=220_0_0
21.0.B	OTT_CRU_100-129_0_0
21.0.B	OTT_CRU_130-219_0_0
21.0.B	OTT_CRU_40-59_0_0
21.0.B	OTT_CRU_60-89_0_0
21.0.B	OTT_CRU_90-99_0_0
21.0.B	OTT_DEF_>=220_0_0
21.0.B	OTT_DEF_100-129_0_0
21.0.B	OTT_DEF_130-219_0_0
21.0.B	OTT_DEF_90-99_0_0
21.0.B	OTT_DWS_>=220_0_0
21.0.B	OTT_DWS_100-129_0_0
21.0.B	OTT_DWS_130-219_0_0
21.0.B	OTT_DWS_90-99_0_0
21.0.B	OTT_MCD_>=220_0_0
21.0.B	OTT_MCD_100-129_0_0
21.0.B	OTT_MCD_130-219_0_0
21.0.B	OTT_MCD_40-59_0_0
21.0.B	OTT_MCD_60-89_0_0
21.0.B	OTT_MCD_90-99_0_0
21.0.B	OTT_MOL_>=220_0_0
21.0.B	OTT_MOL_100-129_0_0
21.0.B	OTT_MOL_130-219_0_0
21.0.B	OTT_MOL_60-89_0_0
21.0.B	OTT_MOL_90-99_0_0
21.0.B	OTT_MPD_>=220_0_0
21.0.B	OTT_MPD_100-129_0_0
21.0.B	OTT_MPD_130-219_0_0
21.0.B	OTT_MPD_90-99_0_0
21.0.B	PS_LPF_>0_0_0
21.0.B	PS_SPF_>=220_0_0
21.0.B	PS_SPF_100-129_0_0
21.0.B	PS_SPF_130-219_0_0
21.0.B	PS_SPF_40-59_0_0
21.0.B	PS_SPF_60-89_0_0
21.0.B	PS_SPF_90-99_0_0
21.0.B	PTB_CRU_>=220_0_0
21.0.B	PTB_CRU_100-129_0_0
21.0.B	PTB_CRU_130-219_0_0
21.0.B	PTB_CRU_40-59_0_0
21.0.B	PTB_CRU_60-89_0_0
21.0.B	PTB_CRU_90-99_0_0
21.0.B	PTB_DEF_>=220_0_0
21.0.B	PTB_DEF_100-129_0_0
21.0.B	PTB_DEF_130-219_0_0
21.0.B	PTB_DEF_90-99_0_0
21.0.B	PTB_SPF_>=220_0_0
21.0.B	PTB_SPF_100-129_0_0
21.0.B	PTB_SPF_130-219_0_0
21.0.B	PTB_SPF_40-59_0_0
21.0.B	PTB_SPF_60-89_0_0
21.0.B	PTB_SPF_90-99_0_0
21.0.B	PTM_DEF_>=220_0_0
21.0.B	PTM_DEF_100-129_0_0
21.0.B	PTM_DEF_130-219_0_0
21.0.B	PTM_DEF_90-99_0_0
21.0.B	PTM_LPF_>0_0_0
21.0.B	PTM_SPF_>=220_0_0
21.0.B	PTM_SPF_100-129_0_0
21.0.B	PTM_SPF_130-219_0_0
21.0.B	PTM_SPF_40-59_0_0
21.0.B	PTM_SPF_60-89_0_0
21.0.B	PTM_SPF_90-99_0_0
21.0.B	SB_FIF_>0_0_0
21.0.B	SDN_DEF_>=220_0_0
21.0.B	SDN_DEF_100-129_0_0
21.0.B	SDN_DEF_130-219_0_0
21.0.B	SDN_DEF_90-99_0_0
21.0.B	SPR_DEF_>=220_0_0
21.0.B	SPR_DEF_100-129_0_0
21.0.B	SPR_DEF_130-219_0_0
21.0.B	SPR_DEF_90-99_0_0
21.0.B	SSC_DEF_>=220_0_0
21.0.B	SSC_DEF_100-129_0_0
21.0.B	SSC_DEF_130-219_0_0
21.0.B	SSC_DEF_90-99_0_0
21.1	DRB_MOL_>=0_0_0
21.1	FPN_LPF_>0_0_0
21.1	FPO_CRU_>0_0_0
21.1	FPO_FIF_>0_0_0
21.1	FPO_MOL_>0_0_0
21.1	FYK_CAT_>0_0_0
21.1	FYK_DEF_>0_0_0
21.1	GND_DEF_>=220_0_0
21.1	GND_DEF_100-119_0_0
21.1	GND_DEF_120-219_0_0
21.1	GND_DEF_90-99_0_0
21.1	GND_SPF_>=220_0_0
21.1	GND_SPF_100-119_0_0
21.1	GND_SPF_10-30_0_0
21.1	GND_SPF_120-219_0_0
21.1	GND_SPF_50-70_0_0
21.1	GND_SPF_90-99_0_0
21.1	GNS_CRU_>0_0_0
21.1	GNS_DEF_>=220_0_0
21.1	GNS_DEF_100-119_0_0
21.1	GNS_DEF_120-219_0_0
21.1	GNS_DEF_90-99_0_0
21.1	GNS_DWS_>=220_0_0
21.1	GNS_DWS_120-219_0_0
21.1	GNS_SPF_>=220_0_0
21.1	GNS_SPF_100-119_0_0
21.1	GNS_SPF_10-30_0_0
21.1	GNS_SPF_120-219_0_0
21.1	GNS_SPF_50-70_0_0
21.1	GNS_SPF_90-99_0_0
21.1	GTR_DEF_>=220_0_0
21.1	GTR_DEF_100-119_0_0
21.1	GTR_DEF_120-219_0_0
21.1	GTR_DEF_90-99_0_0
21.1	HMD_MOL_>=0_0_0
21.1	LHP_CEP_0_0_0
21.1	LHP_FIF_0_0_0
21.1	LLD_DEF_0_0_0
21.1	LLD_DWS_0_0_0
21.1	LLD_LPF_0_0_0
21.1	LLS_DEF_0_0_0
21.1	LLS_DWS_0_0_0
21.1	LTL_LPF_0_0_0
21.1	OTB_CRU_>=220_0_0
21.1	OTB_CRU_100-129_0_0
21.1	OTB_CRU_130-219_0_0
21.1	OTB_CRU_40-59_0_0
21.1	OTB_CRU_60-89_0_0
21.1	OTB_CRU_90-99_0_0
21.1	OTB_DEF_>=220_0_0
21.1	OTB_DEF_100-129_0_0
21.1	OTB_DEF_130-219_0_0
21.1	OTB_DEF_90-99_0_0
21.1	OTB_DWS_>=220_0_0
21.1	OTB_DWS_100-129_0_0
21.1	OTB_DWS_130-219_0_0
21.1	OTB_DWS_90-99_0_0
21.1	OTB_MCD_>=220_0_0
21.1	OTB_MCD_100-129_0_0
21.1	OTB_MCD_130-219_0_0
21.1	OTB_MCD_40-59_0_0
21.1	OTB_MCD_60-89_0_0
21.1	OTB_MCD_90-99_0_0
21.1	OTB_MCF_>=220_0_0
21.1	OTB_MCF_100-129_0_0
21.1	OTB_MCF_130-219_0_0
21.1	OTB_MCF_60-89_0_0
21.1	OTB_MCF_90-99_0_0
21.1	OTB_MDD_>=220_0_0
21.1	OTB_MDD_100-129_0_0
21.1	OTB_MDD_130-219_0_0
21.1	OTB_MDD_90-99_0_0
21.1	OTB_MOL_>=220_0_0
21.1	OTB_MOL_100-129_0_0
21.1	OTB_MOL_130-219_0_0
21.1	OTB_MOL_60-89_0_0
21.1	OTB_MOL_90-99_0_0
21.1	OTB_MPD_>=220_0_0
21.1	OTB_MPD_100-129_0_0
21.1	OTB_MPD_130-219_0_0
21.1	OTB_MPD_90-99_0_0
21.1	OTB_SPF_>=220_0_0
21.1	OTB_SPF_100-129_0_0
21.1	OTB_SPF_130-219_0_0
21.1	OTB_SPF_40-59_0_0
21.1	OTB_SPF_60-89_0_0
21.1	OTB_SPF_90-99_0_0
21.1	OTM_DEF_>=220_0_0
21.1	OTM_DEF_100-129_0_0
21.1	OTM_DEF_130-219_0_0
21.1	OTM_DEF_90-99_0_0
21.1	OTM_SPF_>=220_0_0
21.1	OTM_SPF_100-129_0_0
21.1	OTM_SPF_130-219_0_0
21.1	OTM_SPF_40-59_0_0
21.1	OTM_SPF_60-89_0_0
21.1	OTM_SPF_90-99_0_0
21.1	OTT_CRU_>=220_0_0
21.1	OTT_CRU_100-129_0_0
21.1	OTT_CRU_130-219_0_0
21.1	OTT_CRU_40-59_0_0
21.1	OTT_CRU_60-89_0_0
21.1	OTT_CRU_90-99_0_0
21.1	OTT_DEF_>=220_0_0
21.1	OTT_DEF_100-129_0_0
21.1	OTT_DEF_130-219_0_0
21.1	OTT_DEF_90-99_0_0
21.1	OTT_DWS_>=220_0_0
21.1	OTT_DWS_100-129_0_0
21.1	OTT_DWS_130-219_0_0
21.1	OTT_DWS_90-99_0_0
21.1	OTT_MCD_>=220_0_0
21.1	OTT_MCD_100-129_0_0
21.1	OTT_MCD_130-219_0_0
21.1	OTT_MCD_40-59_0_0
21.1	OTT_MCD_60-89_0_0
21.1	OTT_MCD_90-99_0_0
21.1	OTT_MOL_>=220_0_0
21.1	OTT_MOL_100-129_0_0
21.1	OTT_MOL_130-219_0_0
21.1	OTT_MOL_60-89_0_0
21.1	OTT_MOL_90-99_0_0
21.1	OTT_MPD_>=220_0_0
21.1	OTT_MPD_100-129_0_0
21.1	OTT_MPD_130-219_0_0
21.1	OTT_MPD_90-99_0_0
21.1	PS_LPF_>0_0_0
21.1	PS_SPF_>=220_0_0
21.1	PS_SPF_100-129_0_0
21.1	PS_SPF_130-219_0_0
21.1	PS_SPF_40-59_0_0
21.1	PS_SPF_60-89_0_0
21.1	PS_SPF_90-99_0_0
21.1	PTB_CRU_>=220_0_0
21.1	PTB_CRU_100-129_0_0
21.1	PTB_CRU_130-219_0_0
21.1	PTB_CRU_40-59_0_0
21.1	PTB_CRU_60-89_0_0
21.1	PTB_CRU_90-99_0_0
21.1	PTB_DEF_>=220_0_0
21.1	PTB_DEF_100-129_0_0
21.1	PTB_DEF_130-219_0_0
21.1	PTB_DEF_90-99_0_0
21.1	PTB_SPF_>=220_0_0
21.1	PTB_SPF_100-129_0_0
21.1	PTB_SPF_130-219_0_0
21.1	PTB_SPF_40-59_0_0
21.1	PTB_SPF_60-89_0_0
21.1	PTB_SPF_90-99_0_0
21.1	PTM_DEF_>=220_0_0
21.1	PTM_DEF_100-129_0_0
