SpecWormsCode;SpecWormsScientificName;WormsCodeType;SpecFAOCode;SpecFAOScientificName;FAOCodeType
105928;Squatina squatina;SpecWoRMS;AGN;Squatina squatina;SpecASFIS
10193;Elasmobranchii;SpecWoRMS;DWS;Elasmobranchii;SpecASFIS
105695;Triakidae;SpecWoRMS;TRK;Triakidae;SpecASFIS
105711;Rajidae;SpecWoRMS;RAJ;Rajidae;SpecASFIS
105801;Prionace glauca;SpecWoRMS;BSH;Prionace glauca;SpecASFIS
105814;Scyliorhinus canicula;SpecWoRMS;SYC;Scyliorhinus canicula;SpecASFIS
105820;Galeorhinus galeus;SpecWoRMS;GAG;Galeorhinus galeus;SpecASFIS
105837;Cetorhinus maximus;SpecWoRMS;BSK;Cetorhinus maximus;SpecASFIS
105839;Isurus oxyrinchus;SpecWoRMS;SMA;Isurus oxyrinchus;SpecASFIS
105841;Lamna nasus;SpecWoRMS;POR;Lamna nasus;SpecASFIS
105865;Amblyraja radiata;SpecWoRMS;RJR;Raja radiata;SpecASFIS
105869;Dipturus batis;SpecWoRMS;RJB;Raja batis;SpecASFIS
105873;Leucoraja circularis;SpecWoRMS;RJI;Raja circularis;SpecASFIS
105874;Leucoraja fullonica;SpecWoRMS;RJF;Raja fullonica;SpecASFIS
105876;Leucoraja naevus;SpecWoRMS;RJN;Raja naevus;SpecASFIS
105883;Raja clavata;SpecWoRMS;RJC;Raja clavata;SpecASFIS
105885;Raja microocellata;SpecWoRMS;RJE;Raja microocellata;SpecASFIS
105887;Raja montagui;SpecWoRMS;RJM;Raja montagui ;SpecASFIS
105891;Raja undulata;SpecWoRMS;RJU;Raja undulata;SpecASFIS
105901;Centrophorus squamosus;SpecWoRMS;GUQ;Centrophorus squamosus;SpecASFIS
105907;Centroscymnus coelolepis;SpecWoRMS;CYO;Centroscymnus coelolepis;SpecASFIS
105910;Dalatias licha;SpecWoRMS;SCK;Dalatias licha;SpecASFIS
105923;Squalus acanthias;SpecWoRMS;DGS;Squalus acanthias;SpecASFIS
107254;Nephrops norvegicus;SpecWoRMS;NEP;Nephrops norvegicus;SpecASFIS
107649;Pandalus borealis;SpecWoRMS;PRA;Pandalus borealis;SpecASFIS
125700;Beryx;SpecWoRMS;ALF;Beryx spp;SpecASFIS
125909;Ammodytes;SpecWoRMS;SAN;Ammodytes spp;SpecASFIS
126122;Lepidorhombus;SpecWoRMS;LEZ;Lepidorhombus spp;SpecASFIS
126281;Anguilla anguilla;SpecWoRMS;ELE;Anguilla anguilla;SpecASFIS
126402;Hoplostethus atlanticus;SpecWoRMS;ORY;Hoplostethus atlanticus;SpecASFIS
126417;Clupea harengus;SpecWoRMS;HER;Clupea harengus;SpecASFIS
126421;Sardina pilchardus;SpecWoRMS;PIL;Sardina pilchardus;SpecASFIS
126425;Sprattus sprattus;SpecWoRMS;SPR;Sprattus sprattus;SpecASFIS
126426;Engraulis encrasicolus;SpecWoRMS;ANE;Engraulis encrasicolus;SpecASFIS
126436;Gadus morhua;SpecWoRMS;COD;Gadus morhua;SpecASFIS
126437;Melanogrammus aeglefinus;SpecWoRMS;HAD;Melanogrammus aeglefinus;SpecASFIS
126438;Merlangius merlangus;SpecWoRMS;WHG;Merlangius merlangus;SpecASFIS
126439;Micromesistius poutassou;SpecWoRMS;WHB;Micromesistius poutassou;SpecASFIS
126440;Pollachius pollachius;SpecWoRMS;POL;Pollachius pollachius;SpecASFIS
126441;Pollachius virens;SpecWoRMS;POK;Pollachius virens;SpecASFIS
126444;Trisopterus esmarkii;SpecWoRMS;NOP;Trisopterus esmarkii;SpecASFIS
126447;Brosme brosme;SpecWoRMS;USK;Brosme brosme;SpecASFIS
