"Stock","Species","Areas","AreaType","StockDescription","AphiaID","WoRMSname","ID"
"agn.27.nea","AGN","27.5.a","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.5.a"
"agn.27.nea","AGN","27.5.b","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.5.b"
"agn.27.nea","AGN","27.6.a","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.6.a"
"agn.27.nea","AGN","27.6.b","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.6.b"
"agn.27.nea","AGN","27.7.a","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.7.a"
"agn.27.nea","AGN","27.7.d","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.7.d"
"agn.27.nea","AGN","27.7.e","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.7.e"
"agn.27.nea","AGN","27.7.f","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.7.f"
"agn.27.nea","AGN","27.14.a","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.14.a"
"agn.27.nea","AGN","27.14.b","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.14.b"
"agn.27.nea","AGN","27.5.b.1","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.5.b.1"
"agn.27.nea","AGN","27.5.b.2","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.5.b.2"
"agn.27.nea","AGN","27.3.c.22","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.c.22"
"agn.27.nea","AGN","27.3.b.23","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.b.23"
"agn.27.nea","AGN","27.3.d.24","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.d.24"
"agn.27.nea","AGN","27.3.d.25","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.d.25"
"agn.27.nea","AGN","27.3.d.26","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.d.26"
"agn.27.nea","AGN","27.3.d.27","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.d.27"
"agn.27.nea","AGN","27.3.d.28","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.d.28"
"agn.27.nea","AGN","27.3.d.29","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.d.29"
"agn.27.nea","AGN","27.3.d.30","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.d.30"
"agn.27.nea","AGN","27.3.d.31","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.d.31"
"agn.27.nea","AGN","27.3.d.32","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.d.32"
"agn.27.nea","AGN","27.3.b","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.b"
"agn.27.nea","AGN","27.3.c","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.c"
"agn.27.nea","AGN","27.7.b","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.7.b"
"agn.27.nea","AGN","27.7.c","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.7.c"
"agn.27.nea","AGN","27.7.g","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.7.g"
"agn.27.nea","AGN","27.7.h","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.7.h"
"agn.27.nea","AGN","27.7.j","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.7.j"
"agn.27.nea","AGN","27.7.k","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.7.k"
"agn.27.nea","AGN","27.6.a.n","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.6.a.n"
"agn.27.nea","AGN","27.8.a","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.8.a"
"agn.27.nea","AGN","27.8.b","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.8.b"
"agn.27.nea","AGN","27.8.c","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.8.c"
"agn.27.nea","AGN","27.8.d","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.8.d"
"agn.27.nea","AGN","27.8.e","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.8.e"
"agn.27.nea","AGN","27.9.a","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.9.a"
"agn.27.nea","AGN","27.9.b","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.9.b"
"agn.27.nea","AGN","27","IC_AreaTopLevel","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27"
"agn.27.nea","AGN","27.3.a.21","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.a.21"
"agn.27.nea","AGN","27.6.a.s","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.6.a.s"
"agn.27.nea","AGN","27.7.a.n","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.7.a.n"
"agn.27.nea","AGN","27.7.a.s","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.7.a.s"
"agn.27.nea","AGN","27.9.a.n","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.9.a.n"
"agn.27.nea","AGN","27.9.a.s","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.9.a.s"
"agn.27.nea","AGN","27.9.a.c.n","IC_AreaUnit","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.9.a.c.n"
"agn.27.nea","AGN","27.9.a.c.s","IC_AreaUnit","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.9.a.c.s"
