TAXOCODE,3A_CODE,Scientific_name,Author,,AphiaID,Match type,ScientificName,Authority,AphiaID_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,in_ERMS
1231400201,AJB,Bajacalifornia burragei,Townsend & Nichols 1925,,272857,exact,Bajacalifornia burragei,Townsend & Nichols 1925,272857,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,Bajacalifornia,,burragei,,0
1771400301,AXB,Cancelloxus burrelli,Smith 1961,,219192,exact,Cancelloxus burrelli,Smith 1961,219192,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Cancelloxus,,burrelli,,0
1231800501,GNB,Neochanna burrowsius,(Phillipps 1926),,,,,,,,,,,,,,,,0
3210900508,OTY,Octopus burryi,Voss 1950,,341957,exact,Octopus burryi,Voss 1950,420653,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,,burryi,,0
6190300501,KOW,Glyphoperidium bursa,Roule 1909,,172898,exact,Glyphoperidium bursa,Roule 1909,172898,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Glyphoperidium,,bursa,,0
1732100703,DVC,Bathygobius burtoni,(O'Shaughnessy 1875),,277622,exact,Bathygobius burtoni,(O'Shaughnessy 1875),277622,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Bathygobius,,burtoni,,0
1705931603,HIR,Haplochromis burtoni,(Günther 1894),,,,,,,,,,,,,,,,0
1400211401,EVU,Evarra bustamantei,Navarro 1955,,,,,,,,,,,,,,,,0
1705905524,TIM,Tilapia busumana,(Günther 1903),,,,,,,,,,,,,,,,0
1703933003,AKB,Acanthopagrus butcheri,(Munro 1949),,279071,exact,Acanthopagrus butcheri,(Munro 1949),279071,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,,butcheri,,0
1732000401,UTB,Butis butis,(Hamilton 1822),,219351,exact,Butis butis,(Hamilton 1822),219351,Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,Butis,,butis,,0
3164100109,DUL,Spondylus butleri,Reeve 1856,,506964,exact,Spondylus butleri,Reeve 1856,506964,Animalia,Mollusca,Bivalvia,Pectinoida,Spondylidae,Spondylus,,butleri,,0
1950201601,TCB,Tathicarpus butleri,Ogilby 1907,,282935,exact,Tathicarpus butleri,Ogilby 1907,282935,Animalia,Chordata,Actinopterygii,Lophiiformes,Antennariidae,Tathicarpus,,butleri,,0
1705905525,TII,Tilapia buttikoferi,(Hubrecht 1881),,,,,,,,,,,,,,,,0
2290400701,FCB,Fallicambarus byersi,(Hobbs 1941),,,,,,,,,,,,,,,,0
1400201331,BBB,Barbus bynni,(Forssk?l 1775),,,,,,,,,,,,,,,,0
2280104303,TBY,Trachypenaeus byrdi,Burkenroad 1934,,,,,,,,,,,,,,,,0
1431503301,AOR,Ethadophis byrnei,Rosenblatt & McCosker 1970,,280721,exact,Ethadophis byrnei,Rosenblatt & McCosker 1970,280721,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,Ethadophis,,byrnei,,0
3161102505,TVB,Tivela byronensis,(Gray 1838),,507955,exact,Tivela byronensis,(Gray 1838),507955,Animalia,Mollusca,Bivalvia,Veneroida,Veneridae,Tivela,,byronensis,,0
1760801503,HGY,Hyperoglyphe bythites,(Ginsburg 1954),,273310,exact,Hyperoglyphe bythites,(Ginsburg 1954),273310,Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae,Hyperoglyphe,,bythites,,0
1705905526,TPY,Tilapia bythobates,Stiassny Schliewen & Dominey 1992,,,,,,,,,,,,,,,,0
1702304402,NXC,Caranx caballus,Günther 1868,,273271,exact,Caranx caballus,Günther 1868,273271,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Caranx,,caballus,,0
1570702301,PFD,Plataplochilus cabindae,(Boulenger 1911),,,,,,,,,,,,,,,,0
1732111001,EIC,Eleotrica cableae,Ginsburg 1933,,280635,exact,Eleotrica cableae,Ginsburg 1933,280635,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Eleotrica,,cableae,,0
1705905527,TIR,Tilapia cabrae,Boulenger 1899,,,,,,,,,,,,,,,,0
1700206101,CBR,Serranus cabrilla,(Linnaeus 1758),,127041,exact,Serranus cabrilla,(Linnaeus 1758),127041,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Serranus,,cabrilla,,1
5630100306,LVJ,Larus cachinnans,Pallas 1811,,137140,exact,Larus cachinnans,Pallas 1811,137140,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,,cachinnans,,1
1400203301,HEU,Chela cachius,(Hamilton 1822),,280139,exact,Chela cachius,(Hamilton 1822),280139,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chela,,cachius,,0
1780102401,SJC,Scorpaenopsis cacopsis,Jenkins 1901,,277519,exact,Scorpaenopsis cacopsis,Jenkins 1901,277519,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaenopsis,,cacopsis,,0
2294200202,UPC,Eunephrops cadenasi,Chace 1939,,382842,exact,Eunephrops cadenasi,Chace 1939,382842,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Eunephrops,,cadenasi,,0
1830309302,WZA,Pegusa cadenati,Chabanaud 1954,,274307,exact,Pegusa cadenati,Chabanaud 1954,274307,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Pegusa,,cadenati,,0
1721335204,UJB,Uranoscopus cadenati,Poll 1959,,274032,exact,Uranoscopus cadenati,Poll 1959,274032,Animalia,Chordata,Actinopterygii,Perciformes,Uranoscopidae,Uranoscopus,,cadenati,,0
1830403121,YQF,Cynoglossus cadenati,Chabanaud 1947,,274195,exact,Cynoglossus cadenati,Chabanaud 1947,274195,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae,Cynoglossus,,cadenati,,0
1706202308,IBO,Chromis cadenati,Whitley 1951,,273715,exact,Chromis cadenati,Whitley 1951,273715,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,,cadenati,,0
1311100202,MZC,Lestidiops cadenati,(Maul 1962),,272089,exact,Lestidiops cadenati,(Maul 1962),272089,Animalia,Chordata,Actinopterygii,Aulopiformes,Paralepididae,Lestidiops,,cadenati,,0
1432201002,DMT,Coloconger cadenati,Kanazawa 1961,,277411,exact,Coloconger cadenati,Kanazawa 1961,277411,Animalia,Chordata,Actinopterygii,Anguilliformes,Colocongridae,Coloconger,,cadenati,,0
1310200302,UJA,Aulopus cadenati,Poll 1953,,272042,exact,Aulopus cadenati,Poll 1953,272042,Animalia,Chordata,Actinopterygii,Aulopiformes,Aulopidae,Aulopus,,cadenati,,0
1830303606,YNY,Synaptura cadenati,Chabanaud 1948,,274314,exact,Synaptura cadenati,Chabanaud 1948,274314,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Synaptura,,cadenati,,0
2250100109,QLC,Squilla cadenati,Manning 1970,,409343,exact,Squilla cadenati,Manning 1970,409343,Animalia,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Squilla,,cadenati,,0
1920102801,GOC,Opeatogenys cadenati,Briggs 1957,,272527,exact,Opeatogenys cadenati,Briggs 1957,272527,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Opeatogenys,,cadenati,,0
1771501901,EOC,Entomacrodus cadenati,Springer 1967,,277240,exact,Entomacrodus cadenati,Springer 1967,277240,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Entomacrodus,,cadenati,,0
1780200808,IBK,Lepidotrigla cadmani,Regan 1915,,274886,exact,Lepidotrigla cadmani,Regan 1915,274886,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Lepidotrigla,,cadmani,,0
2294200101,NTK,Acanthacaris caeca,(A. Milne Edwards 1881),,293250,exact,Acanthacaris caeca,A. Milne-Edwards 1881,293250,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Acanthacaris,,caeca,,0
1830301901,YFA,Typhlachirus caecus,Hardenberg 1931,,283074,exact,Typhlachirus caecus,Hardenberg 1931,283074,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Typhlachirus,,caecus,,0
1580601401,DUC,Dipulus caecus,Waite 1905,,280555,exact,Dipulus caecus,Waite 1905,280555,Animalia,Chordata,Actinopterygii,Ophidiiformes,Bythitidae,Dipulus,,caecus,,0
3070500501,LQK,Lithopoma caelatum,(Gmelin 1791),,413408,exact,Lithopoma caelatum,(Gmelin 1791),413408,Animalia,Mollusca,Gastropoda,,Turbinidae,Lithopoma,,caelatum,,0
1410200619,AUC,Arius caelatus,Valenciennes 1840,,308414,exact,Arius caelatus,Valenciennes 1840,281661,Animalia,Chordata,Actinopterygii,Siluriformes,Ariidae,Arius,,caelatus,,0
1480600513,CQL,Coelorinchus caelorhincus,(Risso 1810),,398381,exact,Coelorinchus caelorhincus,(Risso 1810),398381,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,Coelorinchus,,caelorhincus,,1
1100400204,BYC,Bathyraja caeluronigricans,Ishiyama & Ishihara 1977,,271510,exact,Bathyraja caeluronigricans,Ishiyama & Ishihara 1977,271510,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,,caeluronigricans,,0
2281202901,YFN,Cryphiops caementarius,(Molina 1782),,587013,exact,Cryphiops (Cryphiops) caementarius,(Molina 1782),587013,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Cryphiops,Cryphiops,caementarius,,0
1700011201,CJC,Caesio caerulaurea,Lacép?de 1801,,219995,exact,Caesio caerulaurea,Lacep?de 1801,219995,Animalia,Chordata,Actinopterygii,Perciformes,Caesionidae,Caesio,,caerulaurea,,0
5610201201,HBE,Halobaena caerulea,(Gmelin 1789),,212645,exact,Halobaena caerulea,(Gmelin 1789),212645,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Halobaena,,caerulea,,0
3071800104,OVC,Oliva caerulea,(Roding 1798),,208388,exact,Oliva caerulea,(Röding 1798),208388,Animalia,Mollusca,Gastropoda,Neogastropoda,Olividae,Oliva,,caerulea,,0
3071900102,LQC,Patella caerulea,Linnaeus 1758,,140677,exact,Patella caerulea,Linnaeus 1758,140677,Animalia,Mollusca,Gastropoda,,Patellidae,Patella,,caerulea,,1
1760801005,SEU,Seriolella caerulea,Guichenot 1848,,282756,exact,Seriolella caerulea,Guichenot 1848,282756,Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae,Seriolella,,caerulea,,0
1703211201,LRC,Paracaesio caerulea,(Katayama 1934),,278684,exact,Paracaesio caerulea,(Katayama 1934),278684,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Paracaesio,,caerulea,,0
1100404002,BVC,Breviraja caerulea,Stehmann 1976,,183028,exact,Breviraja caerulea,Stehmann 1976,105879,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Breviraja,,caerulea,,0
1710300101,BMF,Bathymaster caeruleofasciatus,Gilbert & Burke 1912,,279415,exact,Bathymaster caeruleofasciatus,Gilbert & Burke 1912,279415,Animalia,Chordata,Actinopterygii,Perciformes,Bathymasteridae,Bathymaster,,caeruleofasciatus,,0
1706200802,HSJ,Chrysiptera caeruleolineata,(Allen 1973),,276828,exact,Chrysiptera caeruleolineata,(Allen 1973),276828,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera,,caeruleolineata,,0
1702311403,NGC,Carangoides caeruleopinnatus,(Rüppell 1830),,218400,exact,Carangoides caeruleopinnatus,(Rüppell 1830),276241,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Carangoides,,caeruleopinnatus,,0
1706309503,JIP,Anampses caeruleopunctatus,Rüppell 1829,,218920,exact,Anampses caeruleopunctatus,Rüppell 1829,218920,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Anampses,,caeruleopunctatus,,0
1700204273,EWC,Epinephelus caeruleopunctatus,(Bloch 1790),,218213,exact,Epinephelus caeruleopunctatus,(Bloch 1790),218247,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelus,,caeruleopunctatus,,0
1703919101,BSC,Pagrus caeruleostictus,(Valenciennes 1830),,127062,exact,Pagrus caeruleostictus,(Valenciennes 1830),127062,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Pagrus,,caeruleostictus,,1
1771302101,NCE,Notoclinops caerulepunctus,Hardy 1989,,281777,exact,Notoclinops caerulepunctus,Hardy 1989,281777,Animalia,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Notoclinops,,caerulepunctus,,0
7872600302,PKZ,Pterocladiella caerulescens,Santelices & Hommersand 1997,,374576,exact,Pterocladiella caerulescens,(Kützing) Santelices & Hommersand 1997,374576,Plantae,Rhodophyta,Florideophyceae,Gelidiales,Pterocladiaceae,Pterocladiella,,caerulescens,,0
1400215001,GNA,Gnathopogon caerulescens,(Sauvage 1883),,,,,,,,,,,,,,,,0
1701408604,EHA,Etheostoma caeruleum,Storer 1845,,,,,,,,,,,,,,,,0
1706333302,GFR,Gomphosus caeruleus,Lacép?de 1801,,218976,exact,Gomphosus caeruleus,Lacep?de 1801,218976,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Gomphosus,,caeruleus,,0
1381301901,TSC,Tricuspidalestes caeruleus,(Matthes 1964),,,,,,,,,,,,,,,,0
1732122701,IYA,Sicyopterus caeruleus,(Commerson 1800),,219563,exact,Sicyopterus caeruleus,(Lacep?de 1800),219563,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Sicyopterus,,caeruleus,,0
1210501302,CPI,Sardinops caeruleus,(Girard 1854),,309911,exact,Sardinops caeruleus,(Girard 1854),217452,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardinops,,caeruleus,,0
1705938001,LHE,Labidochromis caeruleus,Fryer 1956,,,,,,,,,,,,,,,,0
1706301701,FRE,Frontilabrus caeruleus,Randall & Condé 1989,,280802,exact,Frontilabrus caeruleus,Randall & Condé 1989,280802,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Frontilabrus,,caeruleus,,0
1760600103,UBA,Cubiceps caeruleus,Regan 1914,,273675,exact,Cubiceps caeruleus,Regan 1914,273675,Animalia,Chordata,Actinopterygii,Perciformes,Nomeidae,Cubiceps,,caeruleus,,0
1705903001,HSE,Champsochromis caeruleus,(Boulenger 1908),,,,,,,,,,,,,,,,0
1231400101,AQC,Asquamiceps caeruleus,Markle 1980,,272852,exact,Asquamiceps caeruleus,Markle 1980,272852,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,Asquamiceps,,caeruleus,,0
1070401502,ORP,Chiloscyllium caerulopunctatum,Pellegrin 1914,,220026,exact,Chiloscyllium caerulopunctatum,Pellegrin 1914,399526,Animalia,Chordata,Elasmobranchii,Orectolobiformes,Hemiscylliidae,Chiloscyllium,,caerulopunctatum,,0
2296000101,ACX,Acanthaxius caespitosa,(Squires 1979),,477480,exact,Acanthaxius caespitosa,(Squires 1979),741396,Animalia,Arthropoda,Malacostraca,Decapoda,Axiidae,Acanthaxius,,caespitosa,,0
3072500101,VSK,Vasum caestus,(Broderip 1833),,575609,exact,Vasum caestus,(Broderip 1833),575609,Animalia,Mollusca,Gastropoda,Neogastropoda,Turbinellidae,Vasum,,caestus,,0
1732123901,TKC,Tamanka cagayanensis,(Aurich 1938),,,,,,,,,,,,,,,,0
5610200409,HJW,Pterodroma cahow,(Nichols & Mowbray 1916),,343974,exact,Pterodroma cahow,(Nichols & Mowbray 1916),343974,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,,cahow,,0
1160100201,PEC,Erpetoichthys calabaricus,Smith 1865,,280711,exact,Erpetoichthys calabaricus,Smith 1865,280711,Animalia,Chordata,Actinopterygii,Polypteriformes,Polypteridae,Erpetoichthys,,calabaricus,,0
6930300402,NXK,Echinothrix calamaris,(Pallas 1774),,213377,exact,Echinothrix calamaris,(Pallas 1774),213377,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Echinothrix,,calamaris,,0
1703903405,CMV,Calamus calamus,(Valenciennes 1830),,159242,exact,Calamus calamus,(Valenciennes 1830),159242,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Calamus,,calamus,,0
2310100113,KPK,Calappa calappa,(Linnaeus 1758),,209498,exact,Calappa calappa,(Linnaeus 1758),209498,Animalia,Arthropoda,Malacostraca,Decapoda,Calappidae,Calappa,,calappa,,0
1772000901,FOC,Foetorepus calauropomus,(Richardson 1844),,276341,exact,Foetorepus calauropomus,(Richardson 1844),276341,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,Foetorepus,,calauropomus,,0
1400202405,LCB,Labeo calbasu,(Hamilton 1822),,281238,exact,Labeo calbasu,(Hamilton 1822),281238,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,,calbasu,,0
3070500401,TMZ,Astralium calcar,(Linnaeus 1758),,413386,exact,Astralium calcar,(Linnaeus 1758),413386,Animalia,Mollusca,Gastropoda,,Turbinidae,Astralium,,calcar,,0
1772001401,REK,Repomucenus calcaratus,(Macleay 1881),,282559,exact,Repomucenus calcaratus,(MacLeay 1881),282559,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,Repomucenus,,calcaratus,,0
7870900501,FMK,Phymatolithon calcareum,(Pallas) Adey & Mc Kibbin 1970,,145199,exact,Phymatolithon calcareum,(Pallas) W.H.Adey & D.L.McKibbin 1970,145199,Plantae,Rhodophyta,Florideophyceae,Corallinales,Hapalidiaceae,Phymatolithon,,calcareum,,1
1700116701,GIP,Lates calcarifer,(Bloch 1790),,278957,exact,Lates calcarifer,(Bloch 1790),278957,Animalia,Chordata,Actinopterygii,Perciformes,Latidae,Lates,,calcarifer,,0
1090101401,DCA,Deania calcea,(Lowe 1839),,105903,exact,Deania calcea,(Lowe 1839),105903,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,Deania,,calcea,,1
3164100105,ONF,Spondylus calcifer,Carpenter 1857,,543661,exact,Spondylus calcifer,Carpenter 1857,207886,Animalia,Mollusca,Bivalvia,Pectinoida,Spondylidae,Spondylus,,calcifer,,0
2281202316,HJL,Macrobrachium caledonicum,(J. Roux 1926),,587155,exact,Macrobrachium caledonicum,(Roux 1926),587155,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,,caledonicum,,0
2291500202,RRK,Parribacus caledonicus,Holthuis 1960,,382925,exact,Parribacus caledonicus,Holthuis 1960,382925,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,Parribacus,,caledonicus,,0
6191300202,SDZ,Seriatopora caliendrum,Ehrenberg 1834,,206969,exact,Seriatopora caliendrum,Ehrenberg 1834,206969,Animalia,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Seriatopora,,caliendrum,,0
4060100301,CSL,Zalophus californianus,(Lesson 1828),,255003,exact,Zalophus californianus,(Lesson 1828),255003,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Zalophus,,californianus,,0
3164000203,TEY,Tagelus californianus,(Conrad 1837),,507361,exact,Tagelus californianus,(Conrad 1837),507361,Animalia,Mollusca,Bivalvia,Veneroida,Solecurtidae,Tagelus,,californianus,,0
3161000102,MUJ,Mytilus californianus,Conrad 1837,,367837,exact,Mytilus californianus,Conrad 1837,367837,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,,californianus,,1
3020300101,DDC,Dondersia californica,Haeth 1911,,387404,exact,Dondersia californica,Heath 1911,606409,Animalia,Mollusca,Solenogastres,Pholidoskepia,Dondersiidae,Dondersia,,californica,,0
3161200822,AQF,Mactra californica,Conrad 1837,,,,,,,,,,,,,,,,0
2283600501,YSK,Lysmata californica,(Stimpson 1866),,515363,exact,Lysmata californica,(Stimpson 1866),515363,Animalia,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Lysmata,,californica,,0
1110100202,TTC,Torpedo californica,Ayres 1855,,271680,exact,Torpedo californica,Ayres 1855,271680,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,,californica,,0
1090300406,SUC,Squatina californica,Ayres 1859,,271667,exact,Squatina californica,Ayres 1859,271667,Animalia,Chordata,Elasmobranchii,Squatiniformes,Squatinidae,Squatina,,californica,,0
1706318901,OJC,Oxyjulis californica,(Günther 1861),,240727,exact,Oxyjulis californica,(Günther 1861),240727,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Oxyjulis,,californica,,0
1100700803,MYF,Myliobatis californica,Gill 1865,,271485,exact,Myliobatis californica,Gill 1865,271485,Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Myliobatis,,californica,,0
3020200101,RTW,Prochaetoderma californicum,Schwabl 1963,,544986,exact,Prochaetoderma californicum,Schwabl 1963,544986,Animalia,Mollusca,Caudofoveata,Chaetodermatida,Prochaetodermatidae,Prochaetoderma,,californicum,,0
6941400101,TKG,Parastichopus californicus,(Stimpson 1857),,711954,exact,Parastichopus californicus,(Stimpson 1857),529363,Animalia,Echinodermata,Holothuroidea,Aspidochirotida,Stichopodidae,Parastichopus,,californicus,,0
3161500202,DXC,Donax californicus,Conrad 1837,,494696,exact,Donax californicus,Conrad 1837,494696,Animalia,Mollusca,Bivalvia,Veneroida,Donacidae,Donax,,californicus,,0
1830804603,YSF,Paralichthys californicus,(Ayres 1859),,275809,exact,Paralichthys californicus,(Ayres 1859),275809,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,,californicus,,0
1080400702,CTN,Mustelus californicus,Gill 1864,,271381,exact,Mustelus californicus,Gill 1864,271381,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,,californicus,,0
1711501401,EUK,Eucryphycus californicus,(Starks & Mann 1911),,280736,exact,Eucryphycus californicus,(Starks & Mann 1911),280736,Animalia,Chordata,Actinopterygii,Perciformes,Zoarcidae,Eucryphycus,,californicus,,0
3161100705,KIK,Chione californiensis,(Broderip 1835),,507499,exact,Chione californiensis,(Broderip 1835),507499,Animalia,Mollusca,Bivalvia,Veneroida,Veneridae,Chione,,californiensis,,0
2300200101,ERK,Petrochirus californiensis,Bouvier 1895,,368345,exact,Petrochirus californiensis,Bouvier 1895,368345,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Petrochirus,,californiensis,,0
2295900103,ISF,Callianassa californiensis,Dana 1854,,465346,exact,Callianassa californiensis,Dana 1854,465347,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassa,,californiensis,,0
2280100104,YPS,Penaeus californiensis,Holmes 1900,,584944,exact,Penaeus californiensis,Holmes 1900,584944,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Penaeus,,californiensis,,0
1703600401,XEC,Xenistius californiensis,(Steindachner 1876),,283178,exact,Xenistius californiensis,(Steindachner 1876),283178,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Xenistius,,californiensis,,0
1732124901,TFL,Typhlogobius californiensis,Steindachner 1879,,283075,exact,Typhlogobius californiensis,Steindachner 1879,283075,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Typhlogobius,,californiensis,,0
1704700501,MDA,Medialuna californiensis,(Steindachner 1876),,281541,exact,Medialuna californiensis,(Steindachner 1876),281541,Animalia,Chordata,Actinopterygii,Perciformes,Kyphosidae,Medialuna,,californiensis,,0
1630203801,AFC,Atherinopsis californiensis,Girard 1854,,279813,exact,Atherinopsis californiensis,Girard 1854,279813,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Atherinopsis,,californiensis,,0
1705937703,UDL,Pseudotropheus callainos,Stauffer & Hert 1992,,,,,,,,,,,,,,,,0
1400201332,BBK,Barbus callensis,Valenciennes 1842,,,,,,,,,,,,,,,,0
1412702501,LHC,Callichthys callichthys,(Linnaeus 1758),,,,,,,,,,,,,,,,0
3161102101,ITL,Pitar callicomatus,(Dall 1902),,,,,,,,,,,,,,,,0
1705931701,LLC,Lamprologus callipterus,Boulenger 1906,,,,,,,,,,,,,,,,0
3161103101,KKC,Circentia callipyga,(Born 1778),,,,,,,,,,,,,,,,0
1400208703,YPC,Cyprinella callistia,(Jordan 1877),,,,,,,,,,,,,,,,0
3040200101,HMX,Heteroschismoides callithrix,(Dall 1889),,761636,exact,Heteroschismoides callithrix,(Dall 1889),378018,Animalia,Mollusca,Scaphopoda,Gadilida,Entalinidae,Heteroschismoides,,callithrix,,0
7872100201,BLX,Ballia callitricha,(C. Agardh) Kutzing 1843,,214079,exact,Ballia callitricha,(C.Agardh) Kützing 1843,214079,Plantae,Rhodophyta,Florideophyceae,Balliales,Balliaceae,Ballia,,callitricha,,0
1705932001,RRC,Reganochromis calliurus,(Boulenger 1901),,,,,,,,,,,,,,,,0
3070200402,HQK,Thais calloensis,(Gray 1828),,,,,,,,,,,,,,,,0
1120300102,CHJ,Callorhinchus callorynchus,(Linnaeus 1758),,278468,exact,Callorhinchus callorynchus,(Linnaeus 1758),278468,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhinchus,,callorynchus,,0
1782300901,LCY,Liparis callyodon,(Pallas 1814),,274505,exact,Liparis callyodon,(Pallas 1814),274505,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,,callyodon,,0
1900300501,LFC,Lophodiodon calori,(Bianconi 1854),,219974,exact,Lophodiodon calori,(Bianconi 1854),219974,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,Lophodiodon,,calori,,0
1783200101,AIU,Apistops caloundra,(De Vis 1886),,279643,exact,Apistops caloundra,(De Vis 1886),279643,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Apistidae,Apistops,,caloundra,,0
1180100101,AAC,Amia calva,Linnaeus 1766,,157877,exact,Amia calva,Linnaeus 1766,157877,Animalia,Chordata,Actinopterygii,Amiiformes,Amiidae,Amia,,calva,,0
1480602801,KUC,Kumba calvifrons,Iwamoto & Sazonov 1994,,275373,exact,Kumba calvifrons,Iwamoto & Sazonov 1994,275373,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,Kumba,,calvifrons,,0
1705900201,AGV,Altolamprologus calvus,(Poll 1978),,,,,,,,,,,,,,,,0
6370100103,BKZ,Brachionus calyciflorus,Pallas,,134980,exact,Brachionus calyciflorus,Pallas 1766,134980,Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,,calyciflorus,,1
1400703801,TUA,Tuberoschistura cambodgiensis,Kottelat 1990,,,,,,,,,,,,,,,,0
1705905528,TAM,Tilapia cameronensis,Holly 1927,,,,,,,,,,,,,,,,0
1412801301,HPC,Hemipsilichthys cameroni,(Steindachner 1907),,,,,,,,,,,,,,,,0
1705905529,TJC,Tilapia camerunensis,Lönnberg 1903,,,,,,,,,,,,,,,,0
6150900101,QBW,Suberites caminatus,Ridley & Dendy 1886,,134273,exact,Suberites caminatus,Ridley & Dendy 1886,134273,Animalia,Porifera,Demospongiae,Hadromerida,Suberitidae,Suberites,,caminatus,,1
1480600107,QMC,Macrourus caml,McMillan Iwamoto Stewart & Smith 2012,,712470,exact,Macrourus caml,McMillan Iwamoto Stewart & Smith 2012,712470,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,Macrourus,,caml,,0
1100400145,JRM,Raja campbelli,Wallace 1967,,298875,exact,Raja campbelli,Wallace 1967,217393,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,,campbelli,,0
1732114601,ISM,Istigobius campbelli,(Jordan & Snyder 1901),,278032,exact,Istigobius campbelli,(Jordan & Snyder 1901),278032,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Istigobius,,campbelli,,0
