TAXOCODE,3A_CODE,Scientific_name,Author,,AphiaID,Match type,ScientificName,Authority,AphiaID_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,in_ERMS
14309XXXXX,IKX,Muraenesocidae,,,125430,exact,Muraenesocidae,,125430,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenesocidae,,,,,1
16501009XX,GXE,Cestraeus spp,Valenciennes 1836,,268691,exact,Cestraeus,Valenciennes 1836,268691,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Cestraeus,,,,0
13801009XX,VXX,Astyanax spp,,,268424,exact,Astyanax,Baird & Girard 1854,268424,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Astyanax,,,,0
143XXXXXXX,XAX,Anguilliformes,,,10295,exact,Anguilliformes,,10295,Animalia,Chordata,Actinopterygii,Anguilliformes,,,,,,1
31606006XX,IZX,Pinctada spp,,,138396,exact,Pinctada,Röding 1798,138396,Animalia,Mollusca,Bivalvia,Pterioida,Pteriidae,Pinctada,,,,1
30705002XX,UXS,Turbo spp,,,151576,exact,Turbo,Linnaeus 1758,151576,Animalia,Mollusca,Gastropoda,,Turbinidae,Turbo,,,,1
14122XXXXX005,PXZ,Leiarius marmoratus x P. reticulatum,,,,,,,,,,,,,,,,,0
14122090XX001,PXW,Pseudopl. corruscans x P. reticulatum,,,,,,,,,,,,,,,,,0
17719001XX001,GXC,Channa maculata x C. argus,,,743356,exact,Channa maculata,(Lacep?de 1801),743356,Animalia,Chordata,Actinopterygii,Perciformes,Channidae,Channa,,maculata,,0
17059051XX002,AXV,Oreochromis andersonii x O. niloticus,,,279194,exact,Oreochromis andersonii,(Castelnau 1861),279194,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,,andersonii,,0
14110002XX001,IXP,Ictalurus punctatus x I. furcatus,,,465537,exact,Ictalurus punctatus,(Rafinesque 1818),465537,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,,punctatus,,1
13801076XX001,TXB,P. mesopotamicus x P. brachypomus,,,,,,,,,,,,,,,,,0
19008XXXXX,JHX,Molidae,,,125609,exact,Molidae,,125609,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,,,,,1
17325XXXXX,JBX,Microdesmidae,,,151423,exact,Microdesmidae,,151423,Animalia,Chordata,Actinopterygii,Perciformes,Microdesmidae,,,,,0
19509001XX,JEX,Himantolophus spp,,,125799,exact,Himantolophus,Reinhardt 1837,125799,Animalia,Chordata,Actinopterygii,Lophiiformes,Himantolophidae,Himantolophus,,,,1
14501XXXXX,JGX,Halosauridae,,,125500,exact,Halosauridae,,125500,Animalia,Chordata,Actinopterygii,Notacanthiformes,Halosauridae,,,,,1
16202XXXXX,XJX,Grammicolepididae,,,125614,exact,Grammicolepididae,,125614,Animalia,Chordata,Actinopterygii,Zeiformes,Grammicolepididae,,,,,1
19201XXXXX,JMX,Gobiesocidae,,,125477,exact,Gobiesocidae,,125477,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,,,,,1
12901003XX,JZX,Elops spp,,,157873,exact,Elops,Linnaeus 1766,157873,Animalia,Chordata,Actinopterygii,Elopiformes,Elopidae,Elops,,,,0
16103XXXXX,QNX,Diretmidae,,,125457,exact,Diretmidae,,125457,Animalia,Chordata,Actinopterygii,Beryciformes,Diretmidae,,,,,1
17714XXXXX,XYX,Clinidae,,,125530,exact,Clinidae,,125530,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,,,,,1
17067XXXXX,YZX,Cirrhitidae,,,151475,exact,Cirrhitidae,,151475,Animalia,Chordata,Actinopterygii,Perciformes,Cirrhitidae,,,,,0
15805XXXXX,YXX,Carapidae,,,125504,exact,Carapidae,,125504,Animalia,Chordata,Actinopterygii,Ophidiiformes,Carapidae,,,,,1
17720XXXXX,YVX,Callionymidae,,,125522,exact,Callionymidae,,125522,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,,,,,1
14803018XX,VKX,Bregmaceros spp,,,125727,exact,Bregmaceros,Thompson 1840,125727,Animalia,Chordata,Actinopterygii,Gadiformes,Bregmacerotidae,Bregmaceros,,,,1
15207XXXXX,JQX,Ateleopodidae,,,125437,exact,Ateleopodidae,,125437,Animalia,Chordata,Actinopterygii,Ateleopodiformes,Ateleopodidae,,,,,1
12305XXXXX,JXX,Argentinidae,,,125508,exact,Argentinidae,,125508,Animalia,Chordata,Actinopterygii,Osmeriformes,Argentinidae,,,,,1
19502XXXXX,XPX,Antennariidae,,,125484,exact,Antennariidae,,125484,Animalia,Chordata,Actinopterygii,Lophiiformes,Antennariidae,,,,,1
17204XXXXX,XOX,Ammodytidae,,,125516,exact,Ammodytidae,,125516,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,,,,,1
14322XXXXX,JWX,Colocongridae,,,151816,exact,Colocongridae,,151816,Animalia,Chordata,Actinopterygii,Anguilliformes,Colocongridae,,,,,0
30746XXXXX,JVX,Terebridae,,,160424,exact,Terebridae,Mörch 1852,160424,Animalia,Mollusca,Gastropoda,Neogastropoda,Terebridae,,,,,1
30706XXXXX,JTX,Strombidae,,,23123,exact,Strombidae,Rafinesque 1815,23123,Animalia,Mollusca,Gastropoda,Littorinimorpha,Strombidae,,,,,1
64918001XX,JPX,Serpula spp,,,129580,exact,Serpula,Linnaeus 1758,129580,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Serpula,,,,1
30702XXXXX,JLX,Muricidae,,,148,exact,Muricidae,Rafinesque 1815,148,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,,,,,1
