"Code"	"sppFAO"	"area"	"desc"	"areaType"	"status"	"AphiaID"	"WoRMSname"	"ID"
"1"	"raj.27.1012"	"RAJ"	"27.10"	"Rays and skates (Rajidae) (mainly thornback ray (Raja clavata)) in Subareas 10 and 12 (Azores grounds and north of Azores)"	"IC_Sub-areas"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.10"
"2"	"raj.27.1012"	"RAJ"	"27.10.a"	"Rays and skates (Rajidae) (mainly thornback ray (Raja clavata)) in Subareas 10 and 12 (Azores grounds and north of Azores)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.10.a"
"3"	"raj.27.1012"	"RAJ"	"27.10.a.1"	"Rays and skates (Rajidae) (mainly thornback ray (Raja clavata)) in Subareas 10 and 12 (Azores grounds and north of Azores)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.10.a.1"
"4"	"raj.27.1012"	"RAJ"	"27.10.a.2"	"Rays and skates (Rajidae) (mainly thornback ray (Raja clavata)) in Subareas 10 and 12 (Azores grounds and north of Azores)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.10.a.2"
"5"	"raj.27.1012"	"RAJ"	"27.10.b"	"Rays and skates (Rajidae) (mainly thornback ray (Raja clavata)) in Subareas 10 and 12 (Azores grounds and north of Azores)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.10.b"
"6"	"raj.27.1012"	"RAJ"	"27.12"	"Rays and skates (Rajidae) (mainly thornback ray (Raja clavata)) in Subareas 10 and 12 (Azores grounds and north of Azores)"	"IC_Sub-areas"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.12"
"7"	"raj.27.1012"	"RAJ"	"27.12.a"	"Rays and skates (Rajidae) (mainly thornback ray (Raja clavata)) in Subareas 10 and 12 (Azores grounds and north of Azores)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.12.a"
"8"	"raj.27.1012"	"RAJ"	"27.12.a.1"	"Rays and skates (Rajidae) (mainly thornback ray (Raja clavata)) in Subareas 10 and 12 (Azores grounds and north of Azores)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.12.a.1"
"9"	"raj.27.1012"	"RAJ"	"27.12.a.2"	"Rays and skates (Rajidae) (mainly thornback ray (Raja clavata)) in Subareas 10 and 12 (Azores grounds and north of Azores)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.12.a.2"
"10"	"raj.27.1012"	"RAJ"	"27.12.a.3"	"Rays and skates (Rajidae) (mainly thornback ray (Raja clavata)) in Subareas 10 and 12 (Azores grounds and north of Azores)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.12.a.3"
