"Country_Code";"CFR";"Event_Code";"Event_Start_Date";"Event_End_Date";"License_Ind";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"Port_Name";"IRCS_Code";"IRCS";"Vms_Code";"Gear_Main_Code";"Gear_Sec_Code";"Loa";"Lbp";"Ton_Ref";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Year";"Com_Month";"Com_Day";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Decision_Date";"Decision_Seg_Code";"Construction_Year";"Construction_Place"
"POL";"DEU000070300";"IMP";20060309;20060329;"Y";"PL02006";"WLA-127";"<NO NAME GIVEN>";345;"WLADYSLAWOWO";"Y";"SPG2811";"N";"OTB";"OTM";"25.4";"22.7";"93";"93";"";NA;"165";"0";2;1972;3;24;"MFL";"DEU";"";"";NA;NA;1972;NA
"POL";"DEU000070300";"MOD";20060330;20071022;"Y";"PL02006";"WLA-127";"<NO NAME GIVEN>";345;"WLADYSLAWOWO";"Y";"SPG2811";"Y";"OTB";"OTM";"25.4";"22.7";"93";"93";"";NA;"165";"0";2;1972;3;24;"MFL";"";"";"";NA;NA;1972;NA
"POL";"DEU000070300";"MOD";20071023;20091109;"Y";"PL02006";"WLA-127";"<NO NAME GIVEN>";345;"WLADYSLAWOWO";"Y";"SPG2811";"Y";"OTB";"OTM";"25.4";"22.7";"93";"93";"";NA;"165";"0";2;1972;3;24;"MFL";"";"";"";NA;NA;1972;NA
"POL";"DEU000070300";"DES";20091110;20091110;"N";"PL02006";"WLA-127";"<NO NAME GIVEN>";345;"WLADYSLAWOWO";"Y";"SPG2811";"Y";"OTB";"OTM";"25.4";"22.7";"93";"93";"";NA;"165";"0";2;1972;3;24;"MFL";"";"";"";NA;NA;1972;NA
"POL";"DEU000370606";"IMP";20061205;20120521;"Y";"PL02018";"SWI-48";"<NO NAME GIVEN>";118;"SWINOUJSCIE";"Y";"SPS2590";"N";"OTB";"OTM";"11.34";"10.75";"23.11";"23.11";"";NA;"147";"0";2;1998;9;1;"MFL";"DEU";"";"";NA;NA;1998;NA
"POL";"DEU000370606";"MOD";20120522;20161204;"Y";"PL02018";"SWI-48";"<NO NAME GIVEN>";118;"SWINOUJSCIE";"Y";"SPS2590";"N";"OTB";"OTM";"11.34";"10.75";"23.11";"23.11";"";NA;"147";"0";2;1998;9;1;"MFL";"";"";"";NA;NA;1998;NA
"POL";"DEU000370606";"DES";20161205;20161205;"N";"PL02018";"SWI-48";"<NO NAME GIVEN>";118;"SWINOUJSCIE";"Y";"SPS2590";"N";"OTB";"OTM";"11.34";"10.75";"23.11";"23.11";"";NA;"147";"0";2;1998;9;1;"MFL";"";"";"";NA;NA;1998;NA
"POL";"DEU001280602";"IMP";20140408;21001231;"Y";"PL02280";"KOL-288";"<NO NAME GIVEN>";225;"KOLOBRZEG";"N";"";"Y";"OTB";"OTM";"12.01";"10.1";"31.48";"31.48";"";NA;"110";"0";2;2001;12;18;"MFL";"DEU";"";"";NA;NA;2001;NA
"POL";"DEU002120300";"IMP";20171002;20180805;"Y";"PL02309";"GDY-58";"POLONUS";352;"GDYNIA";"Y";"SNLE";"Y";"OTB";"OTM";"80.35";"73.65";"2348";"2348";"";NA;"3000";"536";2;1992;12;31;"MFL";"DEU";"";"PA";NA;NA;1992;NA
"POL";"DEU002120300";"MOD";20180806;21001231;"Y";"PL02309";"GDY-58";"POLONUS";352;"GDYNIA";"Y";"SNLE";"Y";"OTB";"OTM";"80.35";"73.65";"2348";"2348";"";NA;"3000";"536";2;1992;12;31;"MFL";"";"";"";NA;NA;1992;NA
"POL";"DEU107000301";"CEN";20040501;20081027;"Y";"PL00014";"GDY-157";"WIESBADEN";352;"GDYNIA";"Y";"SNBH";"Y";"OTB";"OTM";"91.98";"84.9";"3071";"3071";"";NA;"3530";"588";2;1973;12;31;"MFL";"";"";"";NA;NA;1973;NA
"POL";"DEU107000301";"RET";20081028;20081028;"N";"PL00014";"GDY-157";"WIESBADEN";352;"GDYNIA";"Y";"SNBH";"N";"OTB";"OTM";"91.98";"84.9";"3071";"3071";"";NA;"3530";"588";2;1973;12;31;"MFL";"";"";"";NA;NA;1973;NA
"POL";"DEU200640201";"CEN";20040501;20080909;"Y";"PL00005";"GDY-40";"MERCATOR";352;"GDYNIA";"Y";"SPG2669";"Y";"OTB";"OTM";"26.09";"23.45";"120";"120";"128.65";NA;"296";"0";2;1973;1;5;"MFL";"";"";"";NA;NA;1972;NA
"POL";"DEU200640201";"DES";20080910;20080910;"N";"PL00005";"GDY-40";"MERCATOR";352;"GDYNIA";"Y";"SPG2669";"N";"OTB";"OTM";"26.09";"23.45";"120";"120";"128.65";NA;"296";"0";2;1973;1;5;"MFL";"";"";"";NA;NA;1972;NA
