"Country_Code";"CFR";"Event_Code";"Event_Start_Date";"Event_End_Date";"License_Ind";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"Port_Name";"IRCS_Code";"IRCS";"Vms_Code";"Gear_Main_Code";"Gear_Sec_Code";"Loa";"Lbp";"Ton_Ref";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Year";"Com_Month";"Com_Day";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Decision_Date";"Decision_Seg_Code";"Construction_Year";"Construction_Place"
"IRL";"BEL010322007";"IMP";20151014;21001231;"Y";"394";"SO394";"DONNA JULIE II";"SO";"SLIGO";"Y";"EIQL8";"N";"OTB";"GND";"11.5";"";"12.4";"12.4";"";NA;"93.26";"9.6";3;2007;8;20;"MFL";"BEL";"";"PA";NA;NA;2007;NA
"IRL";"BEL010871987";"IMP";20121221;20130807;"Y";"628";"S628";"SEAN ANTHONY";"S";"SKIBBEREEN";"Y";"EIND4";"Y";"TBB";"NO";"20.06";"";"68";"68";"";NA;"221";"0";2;1987;1;1;"MFL";"BEL";"";"PA";NA;NA;1986;NA
"IRL";"BEL010871987";"MOD";20130808;20130808;"N";"628";"S628";"SEAN ANTHONY";"S";"SKIBBEREEN";"Y";"EIND4";"Y";"TBB";"NO";"20.06";"";"68";"68";"";NA;"221";"0";2;1987;1;1;"MFL";"";"";"";NA;NA;1986;NA
"IRL";"BEL010871987";"MOD";20130809;20170710;"Y";"628";"S628";"SEAN ANTHONY";"S";"SKIBBEREEN";"Y";"EIND4";"Y";"TBB";"NO";"20.06";"";"68";"68";"";NA;"221";"0";2;1987;1;1;"MFL";"";"";"";NA;NA;1986;NA
"IRL";"BEL010871987";"DES";20170711;20170711;"N";"628";"S628";"SEAN ANTHONY";"S";"SKIBBEREEN";"Y";"EIND4";"Y";"TBB";"NO";"20.06";"";"68";"68";"";NA;"221";"0";2;1987;1;1;"MFL";"";"";"";NA;NA;1986;NA
"IRL";"BEL015181969";"IMP";19990713;20021231;"Y";"118";"WD118";"KAREN ANN";"WD";"WEXFORD";"Y";"EI5539";"N";"DRB";"NK";"24.8";"";"136";"136";"";NA;"390";"0";2;1969;1;1;"4GZ";"BEL";"";"";NA;NA;1969;NA
"IRL";"BEL015181969";"MOD";20030101;20030430;"Y";"118";"WD118";"KAREN ANN";"WD";"WEXFORD";"Y";"EI5539";"Y";"DRB";"NK";"24.8";"";"136";"136";"";NA;"390";"0";2;1969;1;1;"MFL";"";"";"";NA;NA;1969;NA
"IRL";"BEL015181969";"MOD";20030501;20041220;"Y";"118";"WD118";"KAREN ANN";"WD";"WEXFORD";"Y";"EI5539";"Y";"DRB";"NK";"24.8";"";"136";"136";"";NA;"390";"0";2;1969;1;1;"MFL";"";"";"";NA;NA;1969;NA
"IRL";"BEL015181969";"MOD";20041221;20050705;"Y";"118";"WD118";"KAREN ANN";"WD";"WEXFORD";"Y";"EI5539";"Y";"DRB";"NO";"24.8";"";"136";"136";"";NA;"390";"0";2;1969;1;1;"MFL";"";"";"";NA;NA;1969;NA
"IRL";"BEL015181969";"MOD";20050706;20051205;"Y";"118";"WD118";"KAREN ANN";"WD";"WEXFORD";"Y";"EI5539";"Y";"DRB";"NO";"24.8";"";"136";"136";"";NA;"390";"0";2;1969;1;1;"MFL";"";"";"";NA;NA;1969;NA
"IRL";"BEL015181969";"DES";20051206;20051206;"N";"118";"WD118";"KAREN ANN";"WD";"WEXFORD";"Y";"EI5539";"Y";"DRB";"NO";"24.8";"";"136";"136";"";NA;"390";"0";2;1969;1;1;"MFL";"";"";"";NA;NA;1969;NA
"IRL";"BEL030341988";"IMP";20041001;20050705;"Y";"34";"WD34";"JOHNNY K";"WD";"WEXFORD";"Y";"EI2492";"Y";"OTM";"DRB";"20.04";"";"68";"68";"";NA;"221";"0";2;1988;11;28;"MFL";"BEL";"";"";NA;NA;1988;NA
"IRL";"BEL030341988";"MOD";20050706;20070630;"Y";"34";"WD34";"JOHNNY K";"WD";"WEXFORD";"Y";"EI2492";"Y";"OTM";"DRB";"20.04";"";"68";"68";"";NA;"221";"0";2;1988;11;28;"MFL";"";"";"";NA;NA;1988;NA
"IRL";"BEL030341988";"MOD";20070701;20101221;"Y";"34";"WD34";"JOHNNY K";"WD";"WEXFORD";"Y";"EI2492";"Y";"OTM";"DRB";"20.04";"";"68";"68";"";NA;"221";"0";2;1988;11;28;"MFL";"";"";"";NA;NA;1988;NA
"IRL";"BEL030341988";"MOD";20101222;20101222;"N";"34";"WD34";"JOHNNY K";"WD";"WEXFORD";"Y";"EI2492";"Y";"DRB";"OTB";"20.04";"";"68";"68";"";NA;"221";"0";2;1988;11;28;"MFL";"";"";"";NA;NA;1988;NA
"IRL";"BEL030341988";"MOD";20101223;21001231;"Y";"34";"WD34";"JOHNNY K";"WD";"WEXFORD";"Y";"EI2492";"Y";"DRB";"OTB";"20.04";"";"68";"68";"";NA;"221";"0";2;1988;11;28;"MFL";"";"";"";NA;NA;1988;NA
"IRL";"BEL030471980";"IMP";19981007;19981007;"Y";"47";"WD47";"SATURNUS";"WD";"WEXFORD";"N";"";"N";"OTB";"PTM";"27.55";"";"152";"152";"";NA;"524";"0";3;1998;10;7;"4G3";"BEL";"";"";NA;NA;1980;NA
"IRL";"BEL030471980";"MOD";19981008;19981012;"Y";"47";"WD47";"SATURNUS";"WD";"WEXFORD";"N";"";"N";"OTB";"PTM";"27.55";"";"152";"152";"";NA;"524";"0";NA;1998;10;7;"4G3";"";"";"";NA;NA;NA;NA
"IRL";"BEL030471980";"MOD";19981013;19981221;"Y";"47";"WD47";"SATURNUS";"WD";"WEXFORD";"N";"";"N";"OTB";"PTM";"27.55";"";"152";"152";"";NA;"524";"0";NA;1998;10;7;"4G1";"";"";"";NA;NA;NA;NA
"IRL";"BEL030471980";"MOD";19981222;20021231;"Y";"47";"WD47";"SATURNUS";"WD";"WEXFORD";"N";"";"N";"OTB";"PTM";"27.55";"";"152";"152";"152";NA;"524";"0";NA;1998;10;7;"4G1";"";"";"";NA;NA;NA;NA
"IRL";"BEL030471980";"MOD";20030101;20030206;"Y";"47";"WD47";"SATURNUS";"WD";"WEXFORD";"Y";"EI6187";"N";"OTB";"PTM";"27.55";"";"152";"152";"";NA;"524";"0";3;1998;10;7;"MFL";"";"";"";NA;NA;1980;NA
"IRL";"BEL030471980";"RET";20030207;20030207;"N";"47";"WD47";"SATURNUS";"WD";"WEXFORD";"Y";"EI6187";"Y";"DRB";"NK";"27.55";"";"152";"152";"";NA;"524";"0";3;1998;10;7;"MFL";"";"";"";NA;NA;1980;NA
"IRL";"BEL030471980";"CHA";20050201;20050222;"N";"47";"WD47";"SATURNUS";"WD";"WEXFORD";"Y";"EI6187";"Y";"DRB";"NO";"27.55";"";"152";"152";"";NA;"524";"0";3;1998;10;7;"MFL";"";"";"";NA;NA;1980;NA
