"Country_Code";"CFR";"Event_Code";"Event_Start_Date";"Event_End_Date";"License_Ind";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"Port_Name";"IRCS_Code";"IRCS";"Vms_Code";"Gear_Main_Code";"Gear_Sec_Code";"Loa";"Lbp";"Ton_Ref";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Year";"Com_Month";"Com_Day";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Decision_Date";"Decision_Seg_Code";"Construction_Year";"Construction_Place"
"NLD";"BEL000041982";"IMP";20120112;20120402;"Y";"BEL000041982";"BR-9";"ASTRID";"BR";"OOSTBURG-BRESKEN";"N";"";"N";"OTB";"LHP";"14.36";NA;"14";"14";"";NA;"83";"0";2;2012;1;12;"MFL";"BEL";"";"";NA;NA;1982;NA
"NLD";"BEL000041982";"MOD";20120403;20120613;"N";"BEL000041982";"BR-9";"ASTRID";"BR";"OOSTBURG-BRESKEN";"N";"";"N";"OTB";"LHP";"14.36";NA;"14";"14";"";NA;"83";"0";2;2012;1;12;"MFL";"";"";"";NA;NA;1982;NA
"NLD";"BEL000041982";"MOD";20120614;20150122;"Y";"BEL000041982";"BR-9";"ASTRID";"BR";"OOSTBURG-BRESKEN";"N";"";"Y";"OTB";"LHP";"14.36";NA;"14";"14";"";NA;"83";"0";2;2012;1;12;"MFL";"";"";"";NA;NA;1982;NA
"NLD";"BEL000041982";"MOD";20150123;20160121;"Y";"BEL000041982";"BR-9";"ASTRID";"BR";"OOSTBURG-BRESKEN";"Y";"PA2442";"Y";"OTB";"LHP";"14.36";NA;"14";"14";"";NA;"83";"0";2;2012;1;12;"MFL";"";"";"";NA;NA;1982;NA
"NLD";"BEL000041982";"MOD";20160122;20171129;"Y";"BEL000041982";"BR-9";"JACK.SON";"BR";"OOSTBURG-BRESKEN";"Y";"PA2442";"Y";"GNS";"OTB";"14.36";NA;"14";"14";"";NA;"83";"0";2;2012;1;12;"MFL";"";"";"";NA;NA;1982;NA
"NLD";"BEL000041982";"MOD";20171130;21001231;"Y";"";"BR-9";"BOURIC";"BR";"OOSTBURG-BRESKEN";"Y";"PA2442";"Y";"OTB";"FPO";"14.36";NA;"14";"14";"";NA;"83";"0";2;2012;1;12;"MFL";"";"";"";NA;NA;1982;NA
"NLD";"BEL000071985";"IMP";20180601;21001231;"Y";"BEL000071985";"OL-5";"JACOB SR.";"OL";"OOSTDONGERADEEL";"Y";"PDKV";"Y";"TBB";"NO";"19.1";NA;"57";"57";"";NA;"187";"0";2;1985;3;22;"MFL";"BEL";"";"";NA;NA;1985;NA
"NLD";"BEL001191970";"IMP";19920630;19961231;"Y";"BEL001191970";"WR-32";"DEO VOLENTE";"WR";"WIERINGEN";"Y";"PDPG";"N";"TBB";"PTM";"22.55";NA;"66";"66";"";NA;"220";"13";2;1992;6;30;"E17";"BEL";"";"";NA;NA;1970;NA
"NLD";"BEL001191970";"MOD";19970101;20010130;"Y";"BEL001191970";"WR-32";"DEO VOLENTE";"WR";"WIERINGEN";"Y";"PDPG";"N";"TBB";"PTM";"22.55";NA;"66";"66";"";NA;"220";"13";2;1992;6;30;"4J4";"";"";"";NA;NA;1970;NA
"NLD";"BEL001191970";"MOD";20010131;20021231;"Y";"BEL001191970";"WR-27";"VISAREND";"WR";"WIERINGEN";"Y";"PDPG";"N";"TBB";"PTM";"22.55";NA;"66";"66";"";NA;"220";"13";2;1992;6;30;"4J4";"";"";"";NA;NA;1970;NA
"NLD";"BEL001191970";"MOD";20030101;20030902;"Y";"BEL001191970";"WR-27";"VISAREND";"WR";"WIERINGEN";"Y";"PDPG";"N";"TBB";"OTB";"22.55";NA;"66";"66";"";NA;"220";"13";2;1992;6;30;"MFL";"";"";"";NA;NA;1970;NA
"NLD";"BEL001191970";"MOD";20030903;20041231;"Y";"BEL001191970";"WR-27";"VISAREND";"WR";"WIERINGEN";"Y";"PDPG";"Y";"TBB";"OTB";"22.55";NA;"66";"66";"";NA;"220";"13";2;1992;6;30;"MFL";"";"";"";NA;NA;1970;NA
"NLD";"BEL001191970";"MOD";20050101;20060323;"Y";"BEL001191970";"WR-27";"VISAREND";"WR";"WIERINGEN";"Y";"PDPG";"Y";"TBB";"OTB";"22.55";NA;"66";"66";"";NA;"220";"13";2;1992;6;30;"MFL";"";"";"";NA;NA;1970;NA
"NLD";"BEL001191970";"MOD";20060324;21001231;"Y";"BEL001191970";"WR-27";"VISAREND";"WR";"WIERINGEN";"Y";"PDPG";"Y";"TBB";"OTT";"22.55";NA;"66";"66";"";NA;"220";"13";2;1992;6;30;"MFL";"";"";"";NA;NA;1970;NA
"NLD";"BEL001391987";"IMP";19971110;19980602;"Y";"BEL001391987";"WK-119";"FROUKJE";"WK";"WORKUM";"N";"";"N";"GNS";"OTB";"9.8";NA;"9";"9";"";NA;"66";"0";2;1997;11;10;"4J5";"BEL";"";"";NA;NA;1987;NA
"NLD";"BEL001391987";"MOD";19980603;19981101;"Y";"BEL001391987";"TX-50";"DENEB";"TX";"TEXEL";"N";"";"N";"GNS";"OTB";"9.8";NA;"9";"9";"";NA;"66";"0";2;1997;11;10;"4J5";"";"";"";NA;NA;1987;NA
"NLD";"BEL001391987";"MOD";19981102;20021231;"Y";"BEL001391987";"TX-50";"DENEB";"TX";"TEXEL";"N";"";"N";"GNS";"OTB";"11.1";NA;"9";"9";"";NA;"66";"0";2;1997;11;10;"4J5";"";"";"";NA;NA;1987;NA
"NLD";"BEL001391987";"MOD";20030101;20101231;"Y";"BEL001391987";"TX-50";"DENEB";"TX";"TEXEL";"N";"";"N";"TBB";"OTM";"11.1";NA;"9";"9";"";NA;"66";"0";2;1997;11;10;"MFL";"";"";"";NA;NA;1987;NA
"NLD";"BEL001391987";"MOD";20110101;21001231;"Y";"BEL001391987";"TX-50";"DENEB";"TX";"TEXEL";"N";"";"N";"TBB";"OTM";"11.1";NA;"9";"9";"";NA;"66";"0";2;1997;11;10;"MFL";"";"";"";NA;NA;1987;NA
"NLD";"BEL002011991";"IMP";19940817;19940823;"Y";"BEL002011991";"BRU-201";"ADRIANA MARIA";"BRU";"BRUINISSE";"Y";"PCDU";"N";"OTB";"OTM";"23.93";NA;"160";"160";"";NA;"220";"398";2;1994;8;17;"Z18";"BEL";"";"";NA;NA;1989;NA
"NLD";"BEL002011991";"MOD";19940824;19950807;"Y";"BEL002011991";"BRU-201";"ADRIANA MARIA";"BRU";"BRUINISSE";"Y";"PCDU";"N";"OTB";"OTM";"23.93";NA;"160";"160";"";NA;"220";"398";2;1994;8;17;"E17";"";"";"";NA;NA;1989;NA
